region,province,temp_moy_an,temp_max_mois,temp_min_mois,precip_totale_an,humidite_moy_an,amplitude_thermique,elevation_m,lai_haute_veg,lai_basse_veg,couverture_haute_veg,couverture_basse_veg,type_sol,zone_bioclim,total_cas,statut_vecteur,latitude,longitude
Casablanca-Settat,Médiouna,18.309128166666667,25.708405,11.0243225,360.9917631514299,73.2632701025641,14.684082499999999,30.515654,2.4154053,1.0759277,0.0,0.0,0.0,2,0,non_documente,33.644338,-7.458642
Casablanca-Settat,Nouaceur,18.141800897435896,25.729288,10.708067,363.7911082401585,72.54285846794872,15.021221,129.59613,2.8877041,1.9664917,0.22617885,0.44052124,2.0,2,0,non_documente,33.40474114285714,-7.768628
Casablanca-Settat,Settat,18.470017294871795,28.285976,9.459706,327.93387075063225,61.627301942307696,18.82627,414.87143,1.8033488,1.9513671,0.5484466,0.3846644,2.0,2,323,confirme,32.87128773333333,-7.598133633333333
Casablanca-Settat,Sidi Bennour,18.438487871794873,26.51937,10.782135,288.24041032988146,68.96896118589744,15.737234999999998,174.29079,4.8557305,1.0220511,0.079688236,0.8896214,2.0,2,0,non_documente,32.712988357142855,-8.478239035714285
Dakhla-Oued Ed-Dahab,Aousserd,25.391674532051283,34.946056,15.028438,39.7325476218945,28.944207660256414,19.917617999999997,284.75446,0.0,0.0,0.0,4.0871757e-07,2.0,3,0,non_documente,22.856048428571427,-13.898051714285714
Dakhla-Oued Ed-Dahab,Oued Ed-Dahab,24.546943653846153,33.947174,14.575592,42.038931929503676,31.53648196794872,19.371581999999997,305.85785,0.0,0.0,0.0,5.722046e-07,2.0,3,0,non_documente,23.2185442,-15.611058
Drâa-Tafilalet,Errachidia,19.902526457051284,33.12082,6.407318,109.89438559488063,30.383177907051284,26.713502000000002,1138.4822,3.237934,0.65644836,0.021744728,0.1826461,2.0,5,29,indice_indirect,31.756618875,-4.25923265625
Drâa-Tafilalet,Midelt,14.203489048717948,27.122658,1.8028055,366.102062237047,44.5135198525641,25.3198525,1690.0232,5.339193,0.5781114,0.13198853,0.4372703,2.0,1,2,non_documente,32.60154227777778,-4.702345222222222
Drâa-Tafilalet,Ouarzazate,17.577224978846154,29.673388,5.5119033,169.9600955638322,32.8757139423077,24.1614847,1436.5282,3.7108898,0.8015986,0.13559198,0.25120193,2.0,5,965,confirme,30.796022608695655,-6.906213217391304
Drâa-Tafilalet,Tinghir,15.71659468525641,28.353733,2.9094741,206.8230565578686,34.26740632051282,25.444258899999998,1730.67,4.5014453,0.5219254,0.036325764,0.3845187,2.0,5,2791,confirme,31.4841664516129,-5.601890806451613
Drâa-Tafilalet,Zagora,22.216570076923077,35.053165,9.590938,68.0612370805617,24.497595083333334,25.462227,926.4991,2.9734468,1.066819,0.015924362,0.08092883,2.0,3,3,confirme,30.437697476190475,-5.758145380952381
Fès-Meknès,Boulemane,13.729666519230769,26.055975,2.2975302,441.14172642867135,50.881565025641024,23.7584448,1498.4658,4.481022,0.63057214,0.4616387,0.33482933,2.0,1,274,confirme,33.36334447058824,-4.324019235294117
Fès-Meknès,El Hajeb,15.812711442307691,27.72022,5.381354,621.5350650286589,58.27720971153847,22.338866000000003,951.77423,2.923242,2.1863403,0.65973073,0.33406362,4.0,4,18,indice_indirect,33.6638869,-5.4269362
Fès-Meknès,Fès,18.201580041666666,30.309967,8.056712,553.1510808539774,58.91022165384615,22.253255000000003,577.62463,3.2596638,1.8110453,0.53083235,0.41982198,4.0,4,52,confirme,34.03396541666667,-4.971317666666667
Fès-Meknès,Guigou,12.131502395384615,24.724112,0.35814413,511.3903552406491,53.68451373076923,24.365967870000002,1771.8248,4.1188965,0.7961833,0.69636893,0.127454,2.0,1,0,non_documente,33.07274066666667,-4.973649
Fès-Meknès,Ifrane,13.066408603205128,25.120514,2.0167542,717.8833236816482,57.437709570512816,23.1037598,1421.4152,2.1835632,2.2758179,0.8197518,0.1771746,3.0,1,3,non_documente,33.490701375,-5.17182425
Fès-Meknès,Meknès,17.358340730769232,29.215826,7.4251037,575.1516526992075,60.929241025641026,21.7907223,538.5527,3.6127503,1.6888244,0.6223506,0.37339425,4.0,4,111,indice_indirect,33.8863024,-5.559566
Fès-Meknès,Moulay Yacoub,18.91941683974359,30.677748,9.262707,563.7605906587942,60.30699151923076,21.415041000000002,350.51776,2.5410285,2.106079,0.5722849,0.34197065,4.0,4,325,indice_indirect,34.21787110526316,-5.207205947368421
Fès-Meknès,Sefrou,16.010858505128205,28.276693,5.376629,659.7915374533693,58.80005628205128,22.900064,918.91437,4.1891856,1.4218459,0.4981048,0.49379313,3.0,4,848,confirme,33.85250385714286,-4.663104619047619
Fès-Meknès,Taounate,16.92411750128205,28.466606,6.650183,713.8931127757096,61.707427685897436,21.816423,662.0752,2.6343808,2.1087377,0.6601831,0.2958837,2.0,4,1427,confirme,34.62643230508474,-4.627347101694916
Fès-Meknès,Taza,16.232854027564105,28.682905,5.5252447,579.9720821891107,58.17661521153846,23.157660300000003,924.8342,3.3820124,1.3432854,0.5255551,0.3265103,2.0,4,1613,confirme,34.17463683333333,-4.071058861111111
Guelmim-Oued Noun,Assa-Zag,21.901763916666667,34.69457,11.063873,65.6871197999243,35.593720724358974,23.630696999999998,579.4007,0.0,0.2625834,0.0002009074,0.15106417,2.0,3,0,non_documente,28.488011166666666,-9.307605916666667
Guelmim-Oued Noun,Guelmim,19.14594582371795,28.761154,11.049052,145.88450960469606,55.79935142948718,17.712102,436.4275,2.215684,0.4274615,0.02805822,0.23462242,2.0,7,15,non_documente,28.939833588235295,-10.095350235294116
Guelmim-Oued Noun,Sidi Ifni,18.404715538461538,26.790924,11.417389,223.552483072463,63.776083416666665,15.373535,337.1688,4.01827,0.34780544,0.09402466,0.3679456,2.0,2,1,non_documente,29.329367333333337,-10.045011
Guelmim-Oued Noun,Tan-Tan,19.515426339743588,25.979021,13.320384,93.90890380783945,62.878206288461534,12.658636999999999,166.87312,0.111070424,0.022216797,0.0,0.0025316477,2.0,7,0,non_documente,28.292212555555555,-11.175606
Laâyoune-Sakia El Hamra,Boujdour,21.668546974358975,29.309479,14.245514,40.39869270146972,47.81624833974359,15.063965,171.69756,0.0,1.4123535,0.0,0.007253617,2.0,7,0,non_documente,25.684099749999998,-13.7793865
Laâyoune-Sakia El Hamra,Es-Semara,21.417587189102562,30.652008,13.082428,52.67735553612389,45.935764897435895,17.56958,299.8455,0.0,0.2797648,0.0,0.0009300907,3.0,7,0,non_documente,26.852133499999997,-11.440657833333333
Laâyoune-Sakia El Hamra,Laâyoune,20.650721666666666,26.848541,14.285065,49.71278918085199,57.47527587179487,12.563476000000001,87.5683,0.0,0.7226318,0.0,0.0034682036,2.0,7,0,non_documente,26.9518142,-13.116914
Laâyoune-Sakia El Hamra,Tarfaya,20.340336564102564,25.227285,14.884349,58.269489582323544,64.08773747435897,10.342935999999998,38.72304,0.0,0.13785808,0.0,0.0066076517,0.0,7,0,non_documente,27.749939333333334,-12.81996
Marrakech-Safi,Al Haouz,14.416293913461537,25.59826,3.6894314,430.1902274513471,49.365409,21.9088286,1515.0326,4.90568,1.0847574,0.42613798,0.38240492,2.0,1,714,confirme,31.12268092857143,-7.98555719047619
Marrakech-Safi,Chichaoua,17.131828157692308,27.498526,7.3500776,322.7482682936307,55.00696139102565,20.1484484,773.2846,5.1198015,0.7342976,0.106683895,0.32840523,2.0,0,5080,confirme,31.38902631707317,-8.87450587804878
Marrakech-Safi,El Kelâa des Sraghna,18.726857019230767,30.180756,7.701254,386.4436747233027,51.7362077051282,22.479502,691.65137,4.8103604,1.1746806,0.26420224,0.5540486,2.0,0,223,non_documente,31.980947101694913,-7.334881898305085
Marrakech-Safi,Essaouira,18.269849298076924,26.962261,10.154068,285.41604962284816,61.26254588461538,16.808193000000003,422.92535,4.2679152,0.6115287,0.14234436,0.77289754,2.0,2,733,confirme,31.37997657142857,-9.509090666666665
Marrakech-Safi,Marrakech,18.371788055128206,29.635876,7.4659166,366.0031173121507,53.25001480128205,22.1699594,681.22424,4.0327663,1.4654071,0.4027851,0.3774419,2.0,0,8,confirme,31.65903496153846,-7.910879115384616
Marrakech-Safi,Rehamna,18.6274358525641,28.01241,9.509837,254.9985477337733,60.39252201923077,18.502572999999998,385.05035,4.9993653,0.88432616,0.049861234,0.7156477,2.0,2,17,non_documente,32.39084726666667,-8.0485468
Marrakech-Safi,Safi,18.409129314102564,26.121449,11.159492,282.72559932397013,68.99656992948718,14.961956999999998,160.87794,1.7647759,1.1063286,0.0144351665,0.7431591,2.0,2,4,non_documente,32.211854521739134,-9.111342565217392
Marrakech-Safi,Youssoufia,18.671662875,27.758982,9.998598,254.67740421705156,62.11363534615384,17.760384000000002,330.93634,4.358437,0.6351126,0.023947936,0.6231805,2.0,2,3,non_documente,32.21199552631579,-8.579817684210527
Oriental,Berkane,17.314197545512823,27.861572,6.9911194,361.9793517781999,64.84711148076924,20.8704526,307.6204,4.8089485,1.1886568,0.193573,0.7146575,2.0,4,12,non_documente,34.90061938095238,-2.366517380952381
Oriental,Driouch,16.549410967948717,26.869448,7.1777315,422.744086557479,67.24619722435898,19.6917165,501.8456,4.341647,0.6595681,0.11150568,0.51836795,2.0,4,190,non_documente,34.985093863636365,-3.472826954545454
Oriental,Figuig,18.72244991346154,32.583893,4.804352,132.4648649929545,34.509036756410254,27.779541000000002,1108.1818,0.58569336,0.4556478,0.0,0.020499209,2.0,5,0,non_documente,32.30314616666667,-1.9777988333333336
Oriental,Guercif,16.615031122435898,28.667145,5.127838,273.76937373530177,50.18100873076923,23.539307,893.185,4.223826,0.88897705,0.14309692,0.21472514,2.0,0,64,non_documente,33.89014975,-3.2760968333333333
Oriental,Jerada,16.041159811538463,28.491554,4.0842185,312.0683058475584,53.23392106410256,24.407335500000002,990.9809,4.0479193,0.41070557,0.20807055,0.3874044,2.0,0,0,non_documente,34.136558388888886,-2.1913030555555557
Oriental,Nador,18.131133416666664,28.352415,8.958307,335.99064812170553,66.75801451923077,19.394108000000003,161.38011,3.964864,1.8630099,0.061428495,0.6597112,2.0,2,233,indice_indirect,35.09963222222222,-2.953555611111111
Oriental,Oujda-Angad,15.932673373717948,27.354351,4.71026,410.31779032586354,61.669589185897436,22.644091000000003,769.67303,4.5261474,0.74094236,0.46283022,0.49273896,2.0,4,0,non_documente,34.6629273,-1.9401392000000002
Oriental,Taourirt,17.21796356346154,28.980133,5.9271545,297.59834412959754,55.088297884615386,23.0529785,716.66455,4.72583,0.77282715,0.1850586,0.37326473,2.0,0,2,indice_indirect,34.316071,-2.83614675
Rabat-Salé-Kénitra,Khemisset,17.442334400641023,28.414116,7.968984,500.6986939914324,64.38430721153846,20.445132,470.67252,2.92655,1.7585856,0.34436247,0.634645,2.0,4,15,confirme,33.72857848148148,-6.138607444444444
Rabat-Salé-Kénitra,Kénitra,18.37791906730769,26.871264,10.63539,513.5409768806019,73.13577271153846,16.235874000000003,83.78484,3.0911255,1.4932327,0.51535165,0.34227443,2.0,2,10,non_documente,34.280489375,-6.4572044375
Rabat-Salé-Kénitra,Rabat,18.321823509615385,26.115143,10.713776,450.5175726636886,74.7263765576923,15.401367,113.90892,3.3256836,1.9117432,0.4401245,0.5265739,3.0,2,0,non_documente,33.9866145,-6.840221
Rabat-Salé-Kénitra,Salé,18.214796006410257,26.264557,10.487701,455.4517694787445,74.55577162179488,15.776856,130.5326,3.505188,1.797699,0.38037872,0.5840243,3.0,2,2,non_documente,34.035829500000006,-6.69691
