id,commune,province,region,latitude,longitude,osm_id
104,Ait Iaaza,Taroudant,Souss-Massa,30.503031,-8.800539,2889037
105,Ait Ichou,Khemisset,Rabat-Salé-Kénitra,33.532156,-6.039912,2808315
106,Ait Igas,Taroudant,Souss-Massa,30.587306,-8.720421,2889035
107,Ait Ikkou,Khemisset,Rabat-Salé-Kénitra,33.654406,-6.084796,2808313
108,Ait Imour,Marrakech,Marrakech-Safi,31.548793,-8.343696,2824276
109,Ait Issafen,Tiznit,Souss-Massa,29.571202,-9.32499,2888769
110,Ait Izdeg,Midelt,Drâa-Tafilalet,32.648649,-4.744624,2826647
111,Ait M'Hamed,Azilal,Béni Mellal-Khénifra,31.854783,-6.514304,2887315
112,Ait Mait,Driouch,Oriental,35.07632,-3.34678,2428510
113,Ait Makhlouf,Taroudant,Souss-Massa,30.60771,-8.917076,2882914
114,Ait Malek,Kénitra,Rabat-Salé-Kénitra,33.949809,-6.472433,2808224
115,Ait Mazigh,Azilal,Béni Mellal-Khénifra,32.00787,-6.354025,2887230
116,Ait Melloul,Inezgane-Aït Melloul,Souss-Massa,30.339251,-9.498141,2529626
117,Ait Milk,Chtouka-Aït Baha,Souss-Massa,29.95568,-9.42363,2832955
118,Ait Mimoune,Khemisset,Rabat-Salé-Kénitra,33.663547,-5.83759,2808115
119,Ait Mzal,Chtouka-Aït Baha,Souss-Massa,30.035231,-9.126369,2832997
120,Ait Naamane,El Hajeb,Fès-Meknès,33.672044,-5.292433,2819554
121,Ait Ouaarda,Azilal,Béni Mellal-Khénifra,32.141378,-6.53308,2887191
122,Ait Ouabelli,Tata,Souss-Massa,29.143656,-8.593791,2885839
123,Ait Ouadrim,Chtouka-Aït Baha,Souss-Massa,30.018535,-9.254324,2832962
124,Ait Ouafqa,Tiznit,Souss-Massa,29.409163,-9.1224,2888754
125,Ait Ouallal,Zagora,Drâa-Tafilalet,30.882948,-5.9099,2884963
126,Ait Ouallal,Meknès,Fès-Meknès,33.857121,-5.682363,3551736
127,Ait Ouassif,Tinghir,Drâa-Tafilalet,31.290637,-6.208646,2887609
128,Ait Ouikhalfen,Meknès,Fès-Meknès,33.617091,-5.735952,3666748
129,Ait Oullal Bitit,Fès,Fès-Meknès,33.823066,-5.129175,2808813
130,Ait Oum El Bekht,Khénifra,Béni Mellal-Khénifra,32.655311,-5.929227,2882843
131,Ait Oumdis,Ouarzazate,Drâa-Tafilalet,31.489372,-7.075358,2887284
132,Ait Ouqabli,Béni Mellal,Béni Mellal-Khénifra,32.320219,-6.012975,2887160
133,Ait Ouribel,Khemisset,Rabat-Salé-Kénitra,33.770706,-6.11783,2808192
134,Ait Ourir,Marrakech,Marrakech-Safi,31.561443,-7.672963,3535290
135,Ait Saadelli,Khénifra,Béni Mellal-Khénifra,32.625503,-5.361433,2826597
136,Ait Said,Essaouira,Marrakech-Safi,31.436666,-9.461202,2820965
137,Ait Sebaa Lajrouf,Ifrane,Fès-Meknès,33.737336,-5.044262,2808814
138,Ait Sedrate Jbel El Oulia,Tinghir,Drâa-Tafilalet,31.641507,-5.953975,2887493
139,Ait Sedrate Jbel El Soufla,Tinghir,Drâa-Tafilalet,31.510677,-5.958674,2887495
140,Ait Sedrate Sahl Charkia,Tinghir,Drâa-Tafilalet,31.17429,-6.054771,2887616
141,Ait Sedrate Sahl El Gharbia,Tinghir,Drâa-Tafilalet,31.089057,-6.149029,2887615
142,Ait Siberne,Khemisset,Rabat-Salé-Kénitra,33.848132,-5.865402,2808139
143,Ait Sidi Daoud,Marrakech,Marrakech-Safi,31.610031,-7.671967,3535285
144,Ait Taguella,Azilal,Béni Mellal-Khénifra,31.935466,-6.739462,2887335
145,Ait Taleb,Rehamna,Marrakech-Safi,32.383541,-8.185672,2881792
146,Ait Tamlil,Azilal,Béni Mellal-Khénifra,31.483706,-6.848471,2887285
147,Ait Yaazem,Meknès,Fès-Meknès,33.744491,-5.615193,2808105
148,Ait Yadine,Khemisset,Rabat-Salé-Kénitra,33.947603,-5.994622,2808144
149,Ait Yahya,Midelt,Drâa-Tafilalet,32.252935,-5.175913,2827199
150,Ait Youl,Tinghir,Drâa-Tafilalet,31.311535,-5.979211,2887500
151,Ait Zineb,Ouarzazate,Drâa-Tafilalet,30.999632,-7.124266,2887637
152,Ajdir,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,34.769951,-3.940339,2754002
153,Ajdir,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.197139,-3.912523,5954840
154,Akarma,El Kelâa des Sraghna,Marrakech-Safi,31.899763,-7.632837,2881848
155,Akhfennir,Tan-Tan,Guelmim-Oued Noun,27.936774,-11.901876,2891051
156,Akka,Tata,Souss-Massa,29.339261,-8.153306,2885797
157,Akka Ighane,Tata,Souss-Massa,29.964907,-7.596022,2885777
158,Aklim,Berkane,Oriental,34.88388,-2.521129,5955547
159,Aknoul,Taza,Fès-Meknès,34.652819,-3.865798,2754008
160,Al Aioun,Berkane,Oriental,34.577477,-2.503523,2527996
161,Al Aroui,Nador,Oriental,35.021062,-2.995705,2443011
162,Al Bahraoyine,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,35.757193,-5.713893,2763071
163,Al Barkanyene,Berkane,Oriental,35.057037,-2.562727,2443019
164,Al Hamra,Chefchaouen,Tanger-Tétouan-Al Hoceïma,35.349107,-5.362013,2533871
165,Al Haouafate,Sidi Slimane,Rabat-Salé-Kénitra,34.462169,-5.991918,2808866
166,Al Hoceïma,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.236042,-3.938905,2431058
167,Al Khalfia,Fquih Ben Salah,Béni Mellal-Khénifra,32.538998,-6.534738,2882587
168,Al Kharroub,Tétouan,Tanger-Tétouan-Al Hoceïma,35.404995,-5.6826,2563434
169,Al Machouar Stinia,Meknès,Fès-Meknès,33.88682,-5.560077,2561178
170,Al Mahbass,Assa-Zag,Guelmim-Oued Noun,27.565503,-8.992992,2891023
171,Al Manzla,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,35.549065,-5.847322,2752819
172,Al Oued,Chefchaouen,Tanger-Tétouan-Al Hoceïma,35.265003,-5.320284,2533866
173,Al Ouidane,Marrakech,Marrakech-Safi,31.630347,-7.836058,2824270
174,Allougoum,Ouarzazate,Drâa-Tafilalet,29.955454,-6.824971,2885772
175,Allyène,Fahs-Anjra,Tanger-Tétouan-Al Hoceïma,35.728378,-5.414194,4778554
176,Almis Marmoucha,Boulemane,Fès-Meknès,33.241015,-4.164299,2817781
177,Alnif,Tinghir,Drâa-Tafilalet,31.113154,-5.139801,2884873
178,Amalou,Taroudant,Souss-Massa,30.180436,-8.751825,2889076
179,Amejjaou,Driouch,Oriental,35.13794,-3.241723,2428514
180,Amellagou,Errachidia,Drâa-Tafilalet,32.023269,-4.936591,2827164
181,Amersid,Midelt,Drâa-Tafilalet,32.678844,-4.487887,2826644
182,Amerzgane,Ouarzazate,Drâa-Tafilalet,30.958967,-7.278353,2887635
183,Ameur,Salé,Rabat-Salé-Kénitra,34.092255,-6.665704,5129977
184,Ameur Chamalia,Sidi Slimane,Rabat-Salé-Kénitra,34.374793,-6.204133,4830108
185,Ameur Seflia,Kénitra,Rabat-Salé-Kénitra,34.275716,-6.350384,3549789
186,Amgala,Es-Semara,Laâyoune-Sakia El Hamra,26.35451,-11.698286,3666591
187,Amghras,Al Haouz,Marrakech-Safi,31.215429,-8.172545,3534192
188,Amizmiz,Al Haouz,Marrakech-Safi,31.220478,-8.251466,3534189
189,Ammelne,Chtouka-Aït Baha,Souss-Massa,29.732095,-8.96756,2888730
190,Amouguer,Midelt,Drâa-Tafilalet,32.26753,-4.91284,2827144
191,Amskroud,Inezgane-Aït Melloul,Souss-Massa,30.486031,-9.381609,2758267
192,Amtar,Chefchaouen,Tanger-Tétouan-Al Hoceïma,35.18488,-4.766257,2533874
193,Amtdi,Assa-Zag,Guelmim-Oued Noun,29.202795,-9.198894,2885851
194,Anemzi,Khénifra,Béni Mellal-Khénifra,32.284742,-5.384223,2826605
195,Anergui,Béni Mellal,Béni Mellal-Khénifra,32.072165,-5.928429,2887217
196,Anezi,Tiznit,Souss-Massa,29.676661,-9.359851,2888706
197,Anfeg,Tiznit,Souss-Massa,29.419951,-9.250318,2888756
198,Anjra,Fahs-Anjra,Tanger-Tétouan-Al Hoceïma,35.690961,-5.538052,2752881
199,Anougal,Al Haouz,Marrakech-Safi,31.119495,-8.278811,3535502
200,Anzou,El Kelâa des Sraghna,Marrakech-Safi,31.675953,-7.234898,2887282
201,Aoufous,Errachidia,Drâa-Tafilalet,31.730461,-4.132452,2827232
202,Aouguenz,Chtouka-Aït Baha,Souss-Massa,29.825989,-9.162928,2833005
203,Aouint Lahna,Assa-Zag,Guelmim-Oued Noun,28.537724,-9.770313,2890962
204,Aouint Yghomane,Guelmim,Guelmim-Oued Noun,28.469608,-10.400177,2885953
205,Aoulouz,Taroudant,Souss-Massa,30.660866,-8.185286,2888851
206,Aourir,Agadir-Ida Ou Tanane,Souss-Massa,30.521139,-9.610881,2758263
207,Aousserd,Aousserd,Dakhla-Oued Ed-Dahab,22.715409,-14.634455,5199604
208,Aqesri,Agadir-Ida Ou Tanane,Souss-Massa,30.592379,-9.516125,2758272
209,Aquermoud,Essaouira,Marrakech-Safi,31.771497,-9.538393,2821062
210,Aquouass Briech,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,35.551651,-5.958055,2752817
211,Arazane,Taroudant,Souss-Massa,30.466883,-8.533076,2889064
212,Arbaa Aït Abdellah,Sidi Ifni,Guelmim-Oued Noun,29.334417,-9.878277,2886015
213,Arbaa Aït Ahmed,Chtouka-Aït Baha,Souss-Massa,29.765059,-9.344184,2888707
214,Arbaa Rasmouka,Tiznit,Souss-Massa,29.803286,-9.525534,2888250
215,Arbaa Sahel,Tiznit,Souss-Massa,29.612253,-9.931382,2888223
216,Arbaa Taourirt,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,34.904653,-3.911639,2440712
217,Arbaoua,Larache,Tanger-Tétouan-Al Hoceïma,34.913497,-5.939344,2753073
218,Arekmane,Nador,Oriental,35.059828,-2.701566,2443016
219,Argana,Taroudant,Souss-Massa,30.735598,-9.06068,2835856
220,Asjen,Ouezzane,Tanger-Tétouan-Al Hoceïma,34.88136,-5.64852,2563396
221,Askaouen,Al Haouz,Marrakech-Safi,30.694026,-7.783883,2888821
222,Asni,Al Haouz,Marrakech-Safi,31.156314,-7.920543,3535453
223,Asrir,Guelmim,Guelmim-Oued Noun,28.815782,-10.112357,2885915
224,Assa,Assa-Zag,Guelmim-Oued Noun,28.615563,-9.423054,2890965
225,Assads,Taroudant,Souss-Massa,30.206951,-8.889566,2875684
226,Assahrij,El Kelâa des Sraghna,Marrakech-Safi,31.788886,-7.154068,2881888
227,Assais,Taroudant,Souss-Massa,30.922298,-9.217291,2820932
228,Assaisse,Ouarzazate,Drâa-Tafilalet,30.568617,-7.624178,2888822
229,Assaki,Al Haouz,Marrakech-Safi,30.554904,-8.038249,2888846
230,Assebbab,Guercif,Oriental,33.940624,-3.555837,2816173
231,Assif El Mal,Chichaoua,Marrakech-Safi,31.261935,-8.460893,2830941
232,Assilah,Larache,Tanger-Tétouan-Al Hoceïma,35.476958,-6.021511,2752822
233,Assoul,Tinghir,Drâa-Tafilalet,31.965247,-5.170158,2827202
234,Atiamim,Youssoufia,Marrakech-Safi,32.077867,-8.548272,2827870
