id,commune,province,region,latitude,longitude,osm_id
319,Bni Bounsar,Taounate,Fès-Meknès,34.865039,-4.438346,2507407
320,Bni Bouzra,Chefchaouen,Tanger-Tétouan-Al Hoceïma,35.269903,-4.890961,2533869
321,Bni Chegdale,Fquih Ben Salah,Béni Mellal-Khénifra,32.442026,-6.925938,2882498
322,Bni Darkoul,Chefchaouen,Tanger-Tétouan-Al Hoceïma,35.044883,-5.092923,2563408
323,Bni Drar,Oujda-Angad,Oriental,34.860196,-1.989793,2502042
324,Bni Faghloum,Chefchaouen,Tanger-Tétouan-Al Hoceïma,34.908387,-5.137755,3587216
325,Bni Frassen,Taounate,Fès-Meknès,34.362529,-4.384648,2758242
326,Bni Garfett,Larache,Tanger-Tétouan-Al Hoceïma,35.233407,-5.84809,2563435
327,Bni Gmil,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.063971,-4.412576,2516841
328,Bni Gmil Maksouline,Taounate,Fès-Meknès,35.020925,-4.443126,2516842
329,Bni Guil,Figuig,Oriental,32.448134,-1.79068,4761855
330,Bni Hadifa,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,34.997616,-4.187683,2444640
331,Bni Harchen,Tétouan,Tanger-Tétouan-Al Hoceïma,35.521899,-5.652037,2563432
332,Bni Hassane,Azilal,Béni Mellal-Khénifra,32.034735,-6.923799,2887241
333,Bni Hilal,Sidi Bennour,Casablanca-Settat,32.803281,-8.378644,2823033
334,Bni Idder,Tétouan,Tanger-Tétouan-Al Hoceïma,35.44226,-5.52833,2563438
335,Bni Karrich,Tétouan,Tanger-Tétouan-Al Hoceïma,35.514406,-5.422365,2533870
336,Bni Khaled,Oujda-Angad,Oriental,34.864929,-2.00701,2502041
337,Bni Khloug,Settat,Casablanca-Settat,32.646977,-7.388922,2879993
338,Bni Leit,Chefchaouen,Tanger-Tétouan-Al Hoceïma,35.303146,-5.432619,2533872
339,Bni Lent,Taza,Fès-Meknès,34.339484,-4.18444,2758245
340,Bni M'Hamed Sijelmassa,Errachidia,Drâa-Tafilalet,31.225717,-4.221155,2884755
341,Bni Mansour,Chefchaouen,Tanger-Tétouan-Al Hoceïma,35.1511,-4.908588,2563398
342,Bni Marghnine,Driouch,Oriental,35.177738,-3.580196,2428513
343,Bni Mathar,Jerada,Oriental,33.97511,-1.995065,4772795
344,Bni Oual,Ouezzane,Tanger-Tétouan-Al Hoceïma,34.674996,-5.650943,2810029
345,Bni Oukil,Fquih Ben Salah,Béni Mellal-Khénifra,32.580613,-6.860969,2879641
346,Bni Oukil Oulad M'Hand,Nador,Oriental,34.968024,-2.999192,2444880
347,Bni Oulid,Taounate,Fès-Meknès,34.536746,-4.407412,2755010
348,Bni Ounjel Tafraout,Taounate,Fès-Meknès,34.665962,-4.351932,2754007
349,Bni Quolla,Ouezzane,Tanger-Tétouan-Al Hoceïma,34.754619,-5.539473,2753084
350,Bni Rzine,Taounate,Fès-Meknès,35.048878,-4.705031,2563406
351,Bni Said,Tétouan,Tanger-Tétouan-Al Hoceïma,35.420319,-5.177728,2533865
352,Bni Salah,Chefchaouen,Tanger-Tétouan-Al Hoceïma,34.989816,-5.063952,2563391
353,Bni Selmane,Chefchaouen,Tanger-Tétouan-Al Hoceïma,35.163659,-5.023396,2563399
354,Bni Sidel Jbel,Nador,Oriental,35.217206,-3.07614,2443014
355,Bni Sidel Louta,Nador,Oriental,35.101713,-3.129996,2444883
356,Bni Smih,Chefchaouen,Tanger-Tétouan-Al Hoceïma,35.138512,-4.764663,2563405
357,Bni Smir,Fquih Ben Salah,Béni Mellal-Khénifra,32.782061,-6.604319,2879695
358,Bni Snous,Moulay Yacoub,Fès-Meknès,34.354836,-5.200933,2813636
359,Bni Tadjite,Errachidia,Drâa-Tafilalet,32.331829,-3.363171,2527831
360,Bni Tsiriss,Sidi Bennour,Casablanca-Settat,32.728343,-8.114281,2823006
361,Bni Yagrine,Settat,Casablanca-Settat,32.727531,-7.553972,2879992
362,Bni Yakhlef,Mohammedia,Casablanca-Settat,33.654099,-7.338321,2522574
363,Bni Ykhlef,Khouribga,Béni Mellal-Khénifra,32.976657,-6.847754,2879639
364,Bni Zoli,Zagora,Drâa-Tafilalet,30.483903,-5.861977,2884978
365,Bni Zrantel,Béni Mellal,Béni Mellal-Khénifra,32.761883,-6.160386,2879734
366,Bou Azmou,Tinghir,Drâa-Tafilalet,32.025883,-5.50409,2827183
367,Bou Fekrane,El Hajeb,Fès-Meknès,33.757545,-5.488592,2808073
368,Bou Jedyane,Ouezzane,Tanger-Tétouan-Al Hoceïma,35.092056,-5.736156,2563446
369,Bouabout,Chichaoua,Marrakech-Safi,31.299853,-9.221887,2820955
370,Bouabout Amdlane,Chichaoua,Marrakech-Safi,31.187248,-9.227333,2830876
371,Bouadel,Taounate,Fès-Meknès,34.545656,-4.523145,2754985
372,Bouanane,Figuig,Oriental,32.208896,-2.841412,2527830
373,Bouarfa,Figuig,Oriental,32.52846,-1.96238,2527827
374,Bouarg,Nador,Oriental,35.125338,-2.88155,2443017
375,Bouarouss,Taounate,Fès-Meknès,34.39842,-4.825662,2755031
376,Bouchabel,Moulay Yacoub,Fès-Meknès,34.392494,-5.060549,2755088
377,Bouchane,Youssoufia,Marrakech-Safi,32.343892,-8.371347,2881799
378,Bouchaouene,Guercif,Oriental,32.793267,-3.055194,2527826
379,Bouchfaa,Taza,Fès-Meknès,34.091223,-4.280886,2758637
380,Boudinar,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.200045,-3.639856,2428503
381,Boudnib,Errachidia,Drâa-Tafilalet,31.950518,-3.607431,2827114
382,Boughriba,Berkane,Oriental,34.925147,-2.503666,2457842
383,Bouguargouh,Settat,Casablanca-Settat,33.088269,-7.319026,2822772
384,Bouguedra,Safi,Marrakech-Safi,32.230544,-8.956423,2827839
385,Bouhlou,Taza,Fès-Meknès,34.152958,-4.383282,2758654
386,Bouhmame,Sidi Bennour,Casablanca-Settat,32.602535,-8.543844,2823041
387,Bouhouda,Taounate,Fès-Meknès,34.636773,-4.51454,2754982
388,Bouizakarne,Guelmim,Guelmim-Oued Noun,29.175121,-9.710874,2885863
389,Boujdour,Boujdour,Laâyoune-Sakia El Hamra,26.159975,-14.395792,3552424
390,Boujniba,Khouribga,Béni Mellal-Khénifra,32.892955,-6.776912,2879650
391,Boukhrisse,Béni Mellal,Béni Mellal-Khénifra,32.848272,-6.189838,2879756
392,Boukraa,Laâyoune,Laâyoune-Sakia El Hamra,26.533514,-12.901019,3409841
393,Boulanouare,Khouribga,Béni Mellal-Khénifra,32.872192,-6.788169,2879635
394,Boulaouane,Sidi Bennour,Casablanca-Settat,32.856576,-8.070257,2823000
395,Boulemane,Boulemane,Fès-Meknès,33.364344,-4.730452,2817776
396,Boumaiz,Sidi Slimane,Rabat-Salé-Kénitra,34.299068,-5.970051,2819619
397,Boumalne Dadès,Tinghir,Drâa-Tafilalet,31.35849,-5.954968,2887514
398,Boumerieme,Midelt,Drâa-Tafilalet,32.823696,-3.653793,2527825
399,Boumia,Midelt,Drâa-Tafilalet,32.676453,-5.138269,2826600
400,Bounaamane,Tiznit,Souss-Massa,29.551529,-9.799549,2888241
401,Bounrar,Taroudant,Souss-Massa,30.309909,-8.769711,2889077
402,Bouqachmir,Khemisset,Rabat-Salé-Kénitra,33.504449,-5.892479,2808310
403,Bourd,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,34.745126,-4.046494,2754009
404,Bourrous,Marrakech,Marrakech-Safi,31.758407,-7.791864,2881814
405,Bouskoura,Nouaceur,Casablanca-Settat,33.476841,-7.650035,2522564
406,Boutferda,Béni Mellal,Béni Mellal-Khénifra,32.270933,-5.74707,2882830
407,Boutrouch,Tiznit,Souss-Massa,29.33132,-9.374414,2888803
408,Bouya Omar,El Kelâa des Sraghna,Marrakech-Safi,31.771306,-7.218857,2881885
409,Bouyablane,Taza,Fès-Meknès,33.769696,-4.0646,2816187
410,Bouzemmour,Essaouira,Marrakech-Safi,31.014374,-9.373292,2820934
411,Bouzeroual,Zagora,Drâa-Tafilalet,30.511903,-6.027997,2884986
412,Bouznika,Benslimane,Casablanca-Settat,33.758333,-7.200444,2522586
413,Brachoua,Skhirate-Témara,Rabat-Salé-Kénitra,33.716514,-6.649352,2808245
414,Braksa,Khouribga,Béni Mellal-Khénifra,33.0134,-6.357337,2879800
415,Brarha,Taounate,Fès-Meknès,34.457643,-4.348047,3551462
416,Brikcha,Ouezzane,Tanger-Tétouan-Al Hoceïma,34.945422,-5.610425,2563395
417,Bzou,El Kelâa des Sraghna,Marrakech-Safi,32.094896,-7.043185,2887243
418,Casablanca,Casablanca,Casablanca-Settat,33.567126,-7.604327,4072985
419,Ceuta,M'diq-Fnideq,Tanger-Tétouan-Al Hoceïma,35.894431,-5.350125,1822781
420,Chahda,Safi,Marrakech-Safi,32.335938,-8.906139,5173348
421,Chaibate,El Jadida,Casablanca-Settat,33.022884,-8.330424,2822969
422,Chakran,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,34.911085,-3.987043,2440971
423,Charqaoua,Moulay Yacoub,Fès-Meknès,34.173303,-5.404669,2813754
424,Chbanate,Sidi Kacem,Rabat-Salé-Kénitra,34.268891,-5.735332,2813784
425,Chbika,Tan-Tan,Guelmim-Oued Noun,28.235429,-11.450483,2890946
426,Chefchaouen,Chefchaouen,Tanger-Tétouan-Al Hoceïma,35.171888,-5.280613,4666456
427,Chellalate,Mohammedia,Casablanca-Settat,33.609839,-7.435409,2522567
428,Cherrat,Benslimane,Casablanca-Settat,33.771203,-7.101197,2522587
429,Chichaoua,Chichaoua,Marrakech-Safi,31.536905,-8.76027,2821119
430,Choara,El Kelâa des Sraghna,Marrakech-Safi,31.786451,-7.31754,2881881
431,Chorfa M'Daghra,Errachidia,Drâa-Tafilalet,31.857112,-4.195746,2827228
432,Chouafaa,Larache,Tanger-Tétouan-Al Hoceïma,34.942876,-6.173194,2753065
433,Chougrane,Khouribga,Béni Mellal-Khénifra,32.95874,-6.344729,2879774
434,Chouihia,Berkane,Oriental,34.811646,-2.655951,2502043
435,Chtaiba,El Kelâa des Sraghna,Marrakech-Safi,32.186222,-7.335093,2881961
436,Chtouka,El Jadida,Casablanca-Settat,33.287055,-8.170931,2806140
437,Dakhla,Oued Ed-Dahab,Dakhla-Oued Ed-Dahab,23.723184,-15.945489,3594851
438,Daoura,Tarfaya,Laâyoune-Sakia El Hamra,27.488401,-12.865681,3409842
439,Dar Bel Amri,Sidi Slimane,Rabat-Salé-Kénitra,34.178933,-6.070094,2819622
440,Dar Bouazza,Casablanca,Casablanca-Settat,33.524154,-7.789019,2522565
441,Dar Chaffai,Settat,Casablanca-Settat,32.542399,-7.500289,2879971
442,Dar Chaoui,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,35.573141,-5.768198,2752820
443,Dar El Hamra,Sefrou,Fès-Meknès,33.706483,-4.396361,2816262
444,Dar El Kebdani,Driouch,Oriental,35.139784,-3.333235,2428505
445,Dar Gueddari,Sidi Slimane,Rabat-Salé-Kénitra,34.420233,-6.083617,2808867
446,Dar Jamaa,Al Haouz,Marrakech-Safi,31.25219,-8.395711,3534190
447,Dar Laaslouji,Sidi Slimane,Rabat-Salé-Kénitra,34.380609,-5.956837,2812413
448,Dar Oulad Zidouh,Fquih Ben Salah,Béni Mellal-Khénifra,32.341443,-6.905635,2882508
449,Dar Oum Soltane,Meknès,Fès-Meknès,33.930087,-5.627698,2561241
450,Dar Si Aissa,Safi,Marrakech-Safi,32.385728,-9.029012,2827829
451,Dardara,Chefchaouen,Tanger-Tétouan-Al Hoceïma,35.120506,-5.367755,2563413
452,Dayat Aoua,Ifrane,Fès-Meknès,33.569858,-4.970153,2819543
453,Dcheira,Laâyoune,Laâyoune-Sakia El Hamra,27.030794,-12.758245,3409848
454,Dcheïra El Jihadia,Inezgane-Aït Melloul,Souss-Massa,30.379916,-9.534705,5163321
455,Debdou,Guercif,Oriental,33.984345,-3.040439,2791816
456,Demnate,Azilal,Béni Mellal-Khénifra,31.72864,-7.014252,2887276
457,Deroua,Nouaceur,Casablanca-Settat,33.378455,-7.536383,2522562
458,Dir El Ksiba,Béni Mellal,Béni Mellal-Khénifra,32.57368,-6.048401,2882856
459,Dkhissa,Meknès,Fès-Meknès,33.943954,-5.505824,2759270
460,Douirane,Chichaoua,Marrakech-Safi,31.195317,-8.69731,2830933
461,Drargua,Inezgane-Aït Melloul,Souss-Massa,30.447579,-9.474151,2758268
462,Driouch,Driouch,Oriental,34.973647,-3.385133,4765785
463,Dzouz,El Kelâa des Sraghna,Marrakech-Safi,31.858801,-7.309073,2881936
464,Echatea El Abied,Guelmim,Guelmim-Oued Noun,28.950301,-10.544737,2885943
465,Echemmaia,Youssoufia,Marrakech-Safi,32.066047,-8.648383,2827869
466,Eddachra,El Kelâa des Sraghna,Marrakech-Safi,32.206527,-7.166281,2881973
467,Eddir,Inezgane-Aït Melloul,Souss-Massa,30.555834,-9.238715,2835860
468,El Aamria,El Kelâa des Sraghna,Marrakech-Safi,32.212422,-7.253939,2881967
469,El Argoub,Oued Ed-Dahab,Dakhla-Oued Ed-Dahab,23.751719,-15.248627,3594852
470,El Atef,Taourirt,Oriental,33.787498,-2.894814,2814412
471,El Attaouia,El Kelâa des Sraghna,Marrakech-Safi,31.832926,-7.341103,2881940
472,El Beddouza,Safi,Marrakech-Safi,32.537923,-9.211373,2827823
473,El Bibane,Taounate,Fès-Meknès,34.628622,-4.862646,2753138
474,El Borj,Khénifra,Béni Mellal-Khénifra,33.034468,-5.607037,2875667
475,El Borouj,Khouribga,Béni Mellal-Khénifra,32.507919,-7.201326,2879991
476,El Bsabsa,Taounate,Fès-Meknès,34.314097,-4.723774,2755027
477,El Faid,Taroudant,Souss-Massa,30.54259,-8.230114,2890502
478,El Foqra,Khouribga,Béni Mellal-Khénifra,32.695468,-6.966642,2879632
479,El Gantour,Youssoufia,Marrakech-Safi,32.226853,-8.468559,2827886
480,El Gara,Berrechid,Casablanca-Settat,33.273411,-7.232734,2522578
481,El Ghiate,Safi,Marrakech-Safi,31.983232,-9.147223,2827802
482,El Gouraani,Youssoufia,Marrakech-Safi,32.314307,-8.765159,2827834
483,El Gouzate,Taza,Fès-Meknès,34.501014,-4.131337,2758253
484,El Guerdane,Taroudant,Souss-Massa,30.366575,-9.016893,2835901
485,El Hagounia,Es-Semara,Laâyoune-Sakia El Hamra,27.305209,-12.250885,3409843
486,El Hajeb,El Hajeb,Fès-Meknès,33.682102,-5.37421,2827093
487,El Hammam,Khénifra,Béni Mellal-Khénifra,33.286012,-5.637384,2826630
488,El Hanchane,Essaouira,Marrakech-Safi,31.52097,-9.434552,2821032
489,El Jadida,El Jadida,Casablanca-Settat,33.229331,-8.499533,2806096
490,El Kansera,Khemisset,Rabat-Salé-Kénitra,34.022964,-5.960878,2808148
491,El Kbab,Khénifra,Béni Mellal-Khénifra,32.66894,-5.474752,2826610
492,El Kelâat Es-Sraghna,El Kelâa des Sraghna,Marrakech-Safi,32.052027,-7.403042,2881950
493,El Koudia El Beida,Taroudant,Souss-Massa,30.354792,-9.122946,2835877
494,El Ksiba,Béni Mellal,Béni Mellal-Khénifra,32.560942,-6.0347,2882858
495,El Maader El Kabir,Tiznit,Souss-Massa,29.826435,-9.65386,2888249
496,El Majjatia Ouled Taleb,Casablanca,Casablanca-Settat,33.470994,-7.528514,2522570
497,El Mansouria,Mohammedia,Casablanca-Settat,33.730353,-7.269332,2522585
498,El Marbouh,El Kelâa des Sraghna,Marrakech-Safi,32.114567,-7.40437,2881957
499,El Marsa,Laâyoune,Laâyoune-Sakia El Hamra,27.062845,-13.403553,3409844
500,El Menzeh,Skhirate-Témara,Rabat-Salé-Kénitra,33.857228,-6.856177,2498870
501,El Menzel,Sefrou,Fès-Meknès,33.839552,-4.549654,2816236
502,El Mers,Boulemane,Fès-Meknès,33.427759,-4.54436,2817718
503,El Orjane,Taza,Fès-Meknès,33.450615,-3.771579,2817793
504,El Ouatia,Tan-Tan,Guelmim-Oued Noun,28.482963,-11.334325,2890949
505,En-nzala,Midelt,Drâa-Tafilalet,32.45544,-4.373512,2827121
506,Enjil,Boulemane,Fès-Meknès,33.095458,-4.557709,2817777
507,Er-Rich,Errachidia,Drâa-Tafilalet,32.261007,-4.494269,2827129
508,Er-Rissani,Errachidia,Drâa-Tafilalet,31.262379,-4.113117,2884894
509,Er-Rteb,Errachidia,Drâa-Tafilalet,31.613333,-4.231026,2884802
510,Erfoud,Errachidia,Drâa-Tafilalet,31.432909,-4.234919,2884805
511,Ermila,Boulemane,Fès-Meknès,33.208933,-3.830882,2817788
512,Ermilate,Sidi Slimane,Rabat-Salé-Kénitra,34.437179,-6.142112,2812414
513,Errachidia,Errachidia,Drâa-Tafilalet,31.930158,-4.435441,2827224
514,Errafiaya,El Kelâa des Sraghna,Marrakech-Safi,32.145437,-7.262058,2881959
515,Errouha,Zagora,Drâa-Tafilalet,30.469787,-5.718619,2884987
516,Es-Sfalat,Errachidia,Drâa-Tafilalet,31.236284,-4.289519,2884752
517,Es-Sifa,Errachidia,Drâa-Tafilalet,31.32865,-4.30896,2884760
518,Esbiaat,Youssoufia,Marrakech-Safi,32.201183,-8.639529,2827882
519,Essaouira,Essaouira,Marrakech-Safi,31.447689,-9.759936,2821038
520,Ezzaouite,Essaouira,Marrakech-Safi,31.32284,-9.423644,2820948
521,Ezzhiliga,Khouribga,Béni Mellal-Khénifra,33.312307,-6.534388,2808267
522,Fam El Hisn,Assa-Zag,Guelmim-Oued Noun,28.744379,-8.850987,2885844
523,Fask,Guelmim,Guelmim-Oued Noun,28.784666,-9.889414,2885857
524,Fdalate,Mohammedia,Casablanca-Settat,33.582704,-7.278643,2522571
525,Fennassa Bab El Hit,Taounate,Fès-Meknès,34.644672,-4.386751,2754995
526,Ferkla El Oulia,Tinghir,Drâa-Tafilalet,31.440345,-5.12749,2884857
527,Ferkla Es-Soufla,Tinghir,Drâa-Tafilalet,31.588971,-5.030834,2884860
528,Fezna,Errachidia,Drâa-Tafilalet,31.560007,-4.538574,2884811
529,Fezouane,Berkane,Oriental,34.904554,-2.235925,2457840
530,Fezouata,Zagora,Drâa-Tafilalet,30.21805,-5.606017,2884988
531,Fifi,Chefchaouen,Tanger-Tétouan-Al Hoceïma,34.946623,-5.234482,2563390
532,Figuig,Figuig,Oriental,32.123561,-1.251569,2527821
533,Fkih Ben Salah,Fquih Ben Salah,Béni Mellal-Khénifra,32.505573,-6.681381,2882500
534,Fnideq,M'diq-Fnideq,Tanger-Tétouan-Al Hoceïma,35.827314,-5.373004,2504445
535,Foqra Oulad Aameur,Berrechid,Casablanca-Settat,33.132468,-7.504736,2822741
536,Foum El Anceur,Béni Mellal,Béni Mellal-Khénifra,32.349011,-6.220881,2882612
537,Foum El Oued,Laâyoune,Laâyoune-Sakia El Hamra,26.99022,-13.340585,3417102
538,Foum Jemaa,El Kelâa des Sraghna,Marrakech-Safi,31.967781,-6.998352,2887247
539,Foum Oudi,Béni Mellal,Béni Mellal-Khénifra,32.24992,-6.385348,2882584
540,Foum Zguid,Ouarzazate,Drâa-Tafilalet,29.999473,-6.951426,2885774
541,Fraita,El Kelâa des Sraghna,Marrakech-Safi,31.937034,-7.292784,2881935
542,Freija,Taroudant,Souss-Massa,30.491844,-8.717653,2889050
543,Fritissa,Guercif,Oriental,33.697003,-3.438199,2759236
544,Fès,Fès,Fès-Meknès,34.025967,-5.007945,2799557
545,Galaz,Taounate,Fès-Meknès,34.557841,-4.853491,2754983
546,Galdamane,Taza,Fès-Meknès,34.145427,-3.927282,2758623
547,Gdana,Settat,Casablanca-Settat,32.962088,-7.962953,2866433
548,Ghafsai,Taounate,Fès-Meknès,34.627423,-4.911103,2753146
549,Ghassate,Ouarzazate,Drâa-Tafilalet,31.157518,-6.850431,2887628
550,Gheris El Ouloui,Errachidia,Drâa-Tafilalet,31.728788,-4.942171,2884818
551,Gheris Es-Soufli,Errachidia,Drâa-Tafilalet,31.699471,-4.829433,2884814
552,Ghiata Al Gharbia,Taza,Fès-Meknès,34.176858,-4.275397,2758248
553,Ghmate,Al Haouz,Marrakech-Safi,31.419568,-7.796729,3535313
554,Ghouazi,Moulay Yacoub,Fès-Meknès,34.441502,-5.303146,2755114
555,Gleibat El Foula,Aousserd,Dakhla-Oued Ed-Dahab,23.358259,-13.764395,5199595
556,Gmassa,Chichaoua,Marrakech-Safi,31.421215,-8.381205,2830962
557,Goulmima,Errachidia,Drâa-Tafilalet,31.684426,-4.949415,2884815
558,Gourrama,Errachidia,Drâa-Tafilalet,32.419876,-4.129542,2827120
559,Gteter,Taourirt,Oriental,34.298287,-3.02579,2759211
560,Guefait,Jerada,Oriental,34.259492,-2.267855,2528009
561,Guelmim,Guelmim,Guelmim-Oued Noun,28.995381,-10.069196,2885914
562,Gueltat Zemmour,Boujdour,Laâyoune-Sakia El Hamra,25.220881,-12.945523,3552440
563,Guenfouda,Jerada,Oriental,34.449687,-1.996053,2528007
564,Guercif,Guercif,Oriental,34.235159,-3.351055,2759217
565,Guers Tiaallaline,Errachidia,Drâa-Tafilalet,32.22165,-4.431756,2827133
566,Guettaya,Béni Mellal,Béni Mellal-Khénifra,32.573484,-6.28169,2882868
567,Gueznaia,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,35.651536,-5.912431,5883675
568,Guigou,Boulemane,Fès-Meknès,33.376314,-4.831317,2817772
569,Guir,Errachidia,Drâa-Tafilalet,32.309007,-3.987665,2827116
570,Guisser,Settat,Casablanca-Settat,32.764316,-7.508314,2879998
571,Gzenaya Al Janoubia,Taza,Fès-Meknès,34.635463,-3.918805,3551645
572,H'Ssyia,Zagora,Drâa-Tafilalet,30.725166,-5.173196,2884881
573,Had Al Gharbia,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,35.485824,-5.925867,2752818
574,Had Bouhssoussen,Khénifra,Béni Mellal-Khénifra,33.13067,-6.134251,2826620
575,Had Boumoussa,Fquih Ben Salah,Béni Mellal-Khénifra,32.274143,-6.979303,2882503
576,Had Bradia,Béni Mellal,Béni Mellal-Khénifra,32.421399,-6.507727,2882576
577,Had Dra,Essaouira,Marrakech-Safi,31.613807,-9.547448,2821043
578,Had Kourt,Ouezzane,Tanger-Tétouan-Al Hoceïma,34.611079,-5.726922,2753075
579,Had Soualem,Nouaceur,Casablanca-Settat,33.423778,-7.838695,2806132
580,Haddada,Kénitra,Rabat-Salé-Kénitra,34.192463,-6.507501,2804281
581,Haouza,Es-Semara,Laâyoune-Sakia El Hamra,27.183426,-11.187234,3666695
582,Haouzia,El Jadida,Casablanca-Settat,33.207998,-8.414604,2806098
583,Harbil,Marrakech,Marrakech-Safi,31.787683,-8.119131,2824264
584,Harhoura,Skhirate-Témara,Rabat-Salé-Kénitra,33.928707,-6.958885,2498874
585,Hassi Berkane,Nador,Oriental,34.807937,-2.933148,2444882
586,Hattane,Khouribga,Béni Mellal-Khénifra,32.840562,-6.806845,2879646
587,Hel Merbaa,Fquih Ben Salah,Béni Mellal-Khénifra,32.430942,-6.6121,2882572
588,Hiadna,El Kelâa des Sraghna,Marrakech-Safi,32.247731,-7.602329,2881860
589,Hilala,Chtouka-Aït Baha,Souss-Massa,30.051272,-8.985616,2832999
590,Hjar Ennhal,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,35.636339,-5.897609,2758747
591,Houara Oulad Raho,Guercif,Oriental,34.197105,-3.298308,2816174
592,Houderrane,Khemisset,Rabat-Salé-Kénitra,33.718673,-6.313515,2808293
593,Hrara,Safi,Marrakech-Safi,32.422342,-9.176608,2827822
594,Iaazzanene,Nador,Oriental,35.232686,-3.124718,2443015
595,Ibdar,Tiznit,Souss-Massa,29.442812,-9.381896,2888760
596,Ibn Yacoub,Tata,Souss-Massa,30.010637,-7.842543,2885778
597,Ichamraren,Chichaoua,Marrakech-Safi,31.125275,-9.12808,2830875
598,Ida Ou Aazza,Essaouira,Marrakech-Safi,31.161106,-9.738566,2820905
599,Ida Ou Gailal,Taroudant,Souss-Massa,30.665853,-8.61619,2889026
600,Ida Ou Gougmar,Tiznit,Souss-Massa,29.515198,-9.35705,2888774
601,Ida Ou Guelloul,Agadir-Ida Ou Tanane,Souss-Massa,30.940799,-9.70034,2820879
602,Ida Ou Kazzou,Agadir-Ida Ou Tanane,Souss-Massa,30.940423,-9.585862,2820889
603,Ida Ou Moumen,Taroudant,Souss-Massa,30.581462,-9.006066,2882900
604,Ida Ougnidif,Chtouka-Aït Baha,Souss-Massa,29.91226,-8.980975,2833003
605,Ida Ougoummad,Al Haouz,Marrakech-Safi,30.722875,-8.231122,2888880
606,Idelsane,Ouarzazate,Drâa-Tafilalet,30.925068,-6.596215,2887627
607,Idmine,Agadir-Ida Ou Tanane,Souss-Massa,30.61009,-9.373041,2814076
608,Ifarni,Driouch,Oriental,35.001824,-3.638535,2431913
609,Ifrane,Ifrane,Fès-Meknès,33.523019,-5.12338,2819511
610,Ifrane Atlas-Saghir,Tiznit,Souss-Massa,29.21663,-9.504956,2885853
611,Ighil,Al Haouz,Marrakech-Safi,31.005889,-8.36168,3535491
612,Ighil N'Oumgoun,Azilal,Béni Mellal-Khénifra,31.499918,-6.258334,2887513
613,Ighoud,Chichaoua,Marrakech-Safi,31.851332,-8.854882,2827857
614,Ighrem N'Ougdal,Ouarzazate,Drâa-Tafilalet,31.186435,-7.412208,2887631
615,Ighzrane,Taza,Fès-Meknès,33.764064,-4.260334,2816261
616,Igli,Taroudant,Souss-Massa,30.598775,-8.557063,2889063
617,Igoudar Mnabha,Taroudant,Souss-Massa,30.650842,-8.442884,2890489
618,Iguerferouane,Al Haouz,Marrakech-Safi,31.411062,-7.68927,3535442
619,Iguidi,Al Haouz,Marrakech-Safi,30.830658,-7.973889,2888818
620,Ihaddaden,Nador,Oriental,35.198226,-2.982204,2457862
621,Ijarmaouas,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.051873,-3.738352,2428506
622,Ijoukak,Al Haouz,Marrakech-Safi,31.00529,-8.065277,3535466
623,Ikniouen,Tinghir,Drâa-Tafilalet,31.188009,-5.603876,2887545
624,Iksane,Nador,Oriental,35.089476,-3.024675,2443010
625,Imaouen,Taroudant,Souss-Massa,30.023649,-8.613285,2875705
626,Imgdal,Al Haouz,Marrakech-Safi,31.105405,-8.123291,3535465
627,Imgrade,Essaouira,Marrakech-Safi,31.113747,-9.581131,2820909
628,Imi Mqourn,Chtouka-Aït Baha,Souss-Massa,30.172988,-9.215399,2832989
629,Imi N'Fast,Guelmim,Guelmim-Oued Noun,29.11643,-10.097465,2885997
630,Imi N'Oulaoune,Azilal,Béni Mellal-Khénifra,31.412013,-6.536584,2887622
631,Imi N'Tayart,Taroudant,Souss-Massa,30.270992,-8.384632,2888923
632,Imi N'Tlit,Essaouira,Marrakech-Safi,31.230696,-9.589742,2820911
633,Imider,Tinghir,Drâa-Tafilalet,31.40082,-5.810563,2887541
634,Imilchil,Tinghir,Drâa-Tafilalet,32.074594,-5.634477,2827179
635,Imilmaiss,Taroudant,Souss-Massa,30.879462,-8.82206,2888992
636,Imindounit,Chichaoua,Marrakech-Safi,31.030716,-8.523187,2830937
637,Imintanoute,Chichaoua,Marrakech-Safi,31.178292,-8.842537,2830905
638,Imlil,Azilal,Béni Mellal-Khénifra,31.761772,-7.011813,2887275
639,Imlili,Oued Ed-Dahab,Dakhla-Oued Ed-Dahab,22.663676,-15.746035,3679581
640,Imoulass,Taroudant,Souss-Massa,30.753507,-8.770091,2888984
641,Imouzzer,Agadir-Ida Ou Tanane,Souss-Massa,30.671732,-9.56193,2758273
642,Imouzzer Kandar,Sefrou,Fès-Meknès,33.728711,-5.007126,2808815
643,Imouzzer Marmoucha,Boulemane,Fès-Meknès,33.469745,-4.296834,2817708
