rang,Commune,Province,Region_std,n_cas,suggestion_referentiel,score_suggestion,cumsum_pct
1053,Souk Lhad,Chefchaouen,Tanger-Tétouan-Al Hoceïma,1,Oued Malha,0.632,94.19669226225635
1054,Souk Tlat,Sidi Kacem,Rabat-Salé-Kénitra,1,Selfat,0.533,94.21145894861193
1055,Souk laarbia,Taounate,Fès-Meknès,1,Oudka,0.471,94.22622563496752
1056,Sraghna,Sefrou,Fès-Meknès,1,Mtarnagha,0.625,94.24099232132309
1057,Syba,Agadir-Ida Ou Tanane,Souss-Massa,1,Imsouane,0.333,94.25575900767868
1058,Syba,Azilal,Béni Mellal-Khénifra,1,Tabant,0.4,94.27052569403426
1059,Syba,Essaouira,Marrakech-Safi,1,Bizdad,0.4,94.28529238038983
1060,Sidi Ahmed Zerrouk,Taza,Fès-Meknès,1,Bab Marzouka,0.4,94.30005906674542
1061,El wahda,Taza,Fès-Meknès,1,Outat El Haj,0.4,94.314825753101
1062,Elguenzra,Khemisset,Rabat-Salé-Kénitra,1,El Kansera,0.526,94.32959243945659
1063,Tamassint,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Targuist,0.471,94.34435912581216
1064,Tamsemen,Driouch,Oriental,1,Temsamane,0.471,94.35912581216775
1065,Tamsslout,Taroudant,Souss-Massa,1,Tamaloukte,0.737,94.37389249852333
1066,Tamzirt,Ouarzazate,Drâa-Tafilalet,1,Tarmigt,0.714,94.38865918487892
1067,Syba,Tinghir,Drâa-Tafilalet,1,Outerbat,0.333,94.40342587123449
1068,TAOUNATE Centre,Taounate,Fès-Meknès,1,Taounate,0.696,94.41819255759007
1069,TAOUNATEDouar,Taounate,Fès-Meknès,1,Taounate,0.762,94.43295924394566
1070,Tabarante,Taounate,Fès-Meknès,1,Tafrant,0.75,94.44772593030125
1071,Tabarrant,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Chakran,0.5,94.46249261665682
1072,Tabolkhirte,Tinghir,Drâa-Tafilalet,1,Tinghir,0.444,94.4772593030124
1073,Tabrent,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Targuist,0.533,94.49202598936799
1074,Ait hadouch,Tinghir,Drâa-Tafilalet,1,Ait Youl,0.632,94.50679267572357
1075,Ait halli ait Daoud,Khemisset,Rabat-Salé-Kénitra,1,Sebt Aït Rahou,0.545,94.52155936207915
1076,Ait hamou yahya,Boulemane,Fès-Meknès,1,Almis Marmoucha,0.533,94.53632604843473
1077,Ait hamoyahya,Tinghir,Drâa-Tafilalet,1,Aït Hani,0.571,94.55109273479032
1078,Ait kassi,Tinghir,Drâa-Tafilalet,1,Ait Ouassif,0.8,94.5658594211459
1079,Ait Sdrat Ghrbia,Ouarzazate,Drâa-Tafilalet,1,Ait Oumdis,0.385,94.58062610750147
1080,Ait Sdrat Shel Charqia,Ouarzazate,Drâa-Tafilalet,1,Skoura Ahl El Oust,0.4,94.59539279385706
1081,Ait Tislit,Béni Mellal,Béni Mellal-Khénifra,1,Ait Ouqabli,0.571,94.61015948021264
1082,Ait Tisslit,Béni Mellal,Béni Mellal-Khénifra,1,Ait Ouqabli,0.545,94.62492616656822
1083,Ait aabou,Tinghir,Drâa-Tafilalet,1,Ait Youl,0.706,94.6396928529238
1084,Ait ali imider,Tinghir,Drâa-Tafilalet,1,Imider,0.6,94.65445953927939
1085,Ait maala,Azilal,Béni Mellal-Khénifra,1,Ait Blal,0.706,94.66922622563497
1086,Ait mahdi,Tinghir,Drâa-Tafilalet,1,Aït Hani,0.706,94.68399291199054
1087,Ait moussa,Zagora,Drâa-Tafilalet,1,Ait Ouallal,0.667,94.69875959834613
1088,Tahar Souk,Taounate,Fès-Meknès,1,Thar Es-Souk,0.818,94.71352628470171
1089,Tahar-Souk,Taounate,Fès-Meknès,1,Thar Es-Souk,0.818,94.7282929710573
1090,Taienest,Taza,Fès-Meknès,1,Taïnaste,0.75,94.74305965741287
1091,Takyout,El Kelâa des Sraghna,Marrakech-Safi,1,Taouzint,0.667,94.75782634376846
1092,Tamadite,Taounate,Fès-Meknès,1,Tamedit,0.8,94.77259303012404
1093,Tamait Oufella,Agadir-Ida Ou Tanane,Souss-Massa,1,Ida Ou Guelloul,0.483,94.78735971647963
1094,Tamaounza,Agadir-Ida Ou Tanane,Souss-Massa,1,Taghazout,0.556,94.8021264028352
1095,Taza haut,Taza,Fès-Meknès,1,Taza,0.615,94.81689308919078
1096,Tazitount,Chichaoua,Marrakech-Safi,1,Ain Tazitounte,0.783,94.83165977554637
1097,Tazourakht,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Arbaa Taourirt,0.5,94.84642646190196
1098,Tidrara,Al Haouz,Marrakech-Safi,1,Tisrasse,0.533,94.86119314825753
1099,Tidsi,Taroudant,Souss-Massa,1,Tindine,0.667,94.87595983461311
1100,Bensheikh,Al Haouz,Marrakech-Safi,1,Ouneine,0.375,94.8907265209687
1101,Berraca,Nador,Oriental,1,Beni Ansar,0.353,94.90549320732427
1102,Berraka,Nador,Oriental,1,Hassi Berkane,0.5,94.92025989367986
1103,Biban,Taounate,Fès-Meknès,1,El Bibane,0.714,94.93502658003544
1104,Taouiyalt,Taroudant,Souss-Massa,1,Taroudant,0.667,94.94979326639103
1105,Taoujdate,El Hajeb,Fès-Meknès,1,Ait Boubidmane,0.522,94.9645599527466
1106,Targha,Chefchaouen,Tanger-Tétouan-Al Hoceïma,1,Amtar,0.545,94.97932663910218
1107,Tasouite,Tinghir,Drâa-Tafilalet,1,Assoul,0.571,94.99409332545777
1108,Tassaltant,Al Haouz,Marrakech-Safi,1,Taouyalte,0.526,95.00886001181335
1109,Tassaltant,Azilal,Béni Mellal-Khénifra,1,Tabant,0.625,95.02362669816893
1110,Tassaltant,Marrakech,Marrakech-Safi,1,Tasoultante,0.762,95.03839338452451
1111,Douar tarouate,Ouezzane,Tanger-Tétouan-Al Hoceïma,1,Teroual,0.476,95.0531600708801
1112,Douar tiaret bni frassen,Taza,Fès-Meknès,1,Oulad Chrif,0.343,95.06792675723568
1113,Douar zrarda,Taounate,Fès-Meknès,1,Oulad Daoud,0.522,95.08269344359125
1114,Dr Lamharig,Sidi Kacem,Rabat-Salé-Kénitra,1,Zirara,0.353,95.09746012994684
1115,Dr Zhair Bouata,Sidi Kacem,Rabat-Salé-Kénitra,1,Zirara,0.476,95.11222681630242
1116,Dr lagraa,Rehamna,Marrakech-Safi,1,Sidi Ali Labrahla,0.538,95.12699350265801
1117,Ehahane,Essaouira,Marrakech-Safi,1,El Hanchane,0.778,95.14176018901358
1118,El Bassatine,Meknès,Fès-Meknès,1,Mrhassiyine,0.522,95.15652687536917
1119,El Hana,El Kelâa des Sraghna,Marrakech-Safi,1,El Aamria,0.625,95.17129356172475
1120,El Qods,El Kelâa des Sraghna,Marrakech-Safi,1,El Marbouh,0.471,95.18606024808032
1121,El Yasmine,Sidi Kacem,Rabat-Salé-Kénitra,1,Ain Jemaa,0.421,95.20082693443591
1122,Douar Bahi,Azilal,Béni Mellal-Khénifra,1,Zaouiat Ahansal,0.48,95.2155936207915
1123,Ait boyoussef,Tinghir,Drâa-Tafilalet,1,Ait Ouassif,0.75,95.23036030714708
1124,Ait gmat,Tinghir,Drâa-Tafilalet,1,Aït Hani,0.625,95.24512699350265
1125,Tassaltnt,Al Haouz,Marrakech-Safi,1,Taouyalte,0.556,95.25989367985824
1126,Taughmerte,Taroudant,Souss-Massa,1,Toughmart,0.737,95.27466036621382
1127,Bin Jradi,Taza,Fès-Meknès,1,Bab Boudir,0.421,95.28942705256941
1128,Bit Ghouleme,Taza,Fès-Meknès,1,Bni Lent,0.5,95.30419373892498
1129,Bit ghoulem,Taza,Fès-Meknès,1,Bni Lent,0.526,95.31896042528057
1130,Bkakacha,Settat,Casablanca-Settat,1,Dar Chaffai,0.421,95.33372711163615
1131,Bni Amer,El Kelâa des Sraghna,Marrakech-Safi,1,Oulad Amer,0.556,95.34849379799174
1132,Bni Koulla,Ouezzane,Tanger-Tétouan-Al Hoceïma,1,Bni Quolla,0.8,95.36326048434731
1133,Bni Saden,Sefrou,Fès-Meknès,1,Bir Tamtam,0.421,95.3780271707029
1134,Bni ahmed,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Bni Hadifa,0.632,95.39279385705848
1135,Bnimaati,Settat,Casablanca-Settat,1,Mniaa,0.615,95.40756054341406
1136,Tifirte,Azilal,Béni Mellal-Khénifra,1,Tifni,0.667,95.42232722976964
1137,Tighrmatine,Tinghir,Drâa-Tafilalet,1,Tilmi,0.5,95.43709391612522
1138,Tiguenziouine,Al Haouz,Marrakech-Safi,1,Tighedouine,0.75,95.4518606024808
1139,Tikiouine,Marrakech,Marrakech-Safi,1,Sid Zouine,0.632,95.46662728883639
1140,Ait amar ouissa,Tinghir,Drâa-Tafilalet,1,Ait Ouassif,0.615,95.48139397519196
1141,Douar ouled salem ain gdah,Taounate,Fès-Meknès,1,Oued Jemaa,0.5,95.49616066154755
1142,Douar sidi saoud,Taounate,Fès-Meknès,1,Oulad Daoud,0.667,95.51092734790313
1143,Urbaine,Chefchaouen,Tanger-Tétouan-Al Hoceïma,1,Bni Selmane,0.444,95.5256940342587
1144,Wawirzagh,Azilal,Béni Mellal-Khénifra,1,Ait Mazigh,0.526,95.54046072061429
1145,Z .cheikh,Béni Mellal,Béni Mellal-Khénifra,1,Ouled Yaïch,0.3,95.55522740696988
1146,Tinzerte,Taroudant,Souss-Massa,1,Tinzart,0.8,95.56999409332546
1147,Tirset,Azilal,Béni Mellal-Khénifra,1,Tisqi,0.545,95.58476077968103
1148,Tisi Ousli,Taza,Fès-Meknès,1,Oued Amlil,0.4,95.59952746603662
1149,Tislite,Azilal,Béni Mellal-Khénifra,1,Tisqi,0.667,95.6142941523922
1150,Ait Guirt,Azilal,Béni Mellal-Khénifra,1,Ait Ouaarda,0.6,95.62906083874779
1151,Ait Guirte,Azilal,Béni Mellal-Khénifra,1,Ait Taguella,0.636,95.64382752510336
1152,Ait Hammou Said,Ouarzazate,Drâa-Tafilalet,1,Ait Oumdis,0.56,95.65859421145895
1153,Ait Iaala,Tinghir,Drâa-Tafilalet,1,Aït Elfarsi,0.5,95.67336089781453
1154,Ait Moumen,Taza,Fès-Meknès,1,Bab Marzouka,0.455,95.68812758417012
1155,Ait Moussa Fadma,Ouarzazate,Drâa-Tafilalet,1,Ait Oumdis,0.538,95.70289427052569
1156,Ait Rouadi,Béni Mellal,Béni Mellal-Khénifra,1,Ait Ouqabli,0.762,95.71766095688128
1157,Ait Sadrat J oulioa,Tinghir,Drâa-Tafilalet,1,Ait Sedrate Jbel El Oulia,0.773,95.73242764323686
1158,Tizi Oussli,Taza,Fès-Meknès,1,Oued Amlil,0.381,95.74719432959245
1159,Ainjamaa,Meknès,Fès-Meknès,1,Aïn Orma,0.625,95.76196101594802
1160,Ait Abou,Khemisset,Rabat-Salé-Kénitra,1,Ait Ikkou,0.706,95.7767277023036
1161,Zaazaa,Larache,Tanger-Tétouan-Al Hoceïma,1,Zaaroura,0.571,95.79149438865919
1162,Zagmouzne,Taroudant,Souss-Massa,1,Talgjount,0.556,95.80626107501476
1163,Tizki Akesri Tamraght,Agadir-Ida Ou Tanane,Souss-Massa,1,Aqesri,0.37,95.82102776137035
1164,Tlat Lamzam,Azilal,Béni Mellal-Khénifra,1,Ait Blal,0.421,95.83579444772593
1165,Tlat louta,Nador,Oriental,1,Bni Sidel Louta,0.56,95.85056113408152
1166,Tmaloust,Ouezzane,Tanger-Tétouan-Al Hoceïma,1,Masmouda,0.5,95.86532782043709
1167,Tnin Ait Rkha,Tiznit,Souss-Massa,1,Ait Erkha,0.727,95.88009450679267
1168,Tnine el ouleja,Taounate,Fès-Meknès,1,Ras El Oued,0.538,95.89486119314826
1169,Touelaa,Tétouan,Tanger-Tétouan-Al Hoceïma,1,Oued Laou,0.625,95.90962787950384
1170,Touibla,Tétouan,Tanger-Tétouan-Al Hoceïma,1,Tétouan,0.571,95.92439456585942
1171,Touilaa,Tétouan,Tanger-Tétouan-Al Hoceïma,1,Tétouan,0.571,95.939161252215
1172,Tozrigutte,Tinghir,Drâa-Tafilalet,1,Outerbat,0.444,95.95392793857059
1173,Trifa II,Berkane,Oriental,1,Saidia,0.286,95.96869462492617
1174,Trik Alouahda,Taza,Fès-Meknès,1,Tahla,0.444,95.98346131128174
1175,Zoualet,Meknès,Fès-Meknès,1,Toulal,0.615,95.99822799763733
1176,____,Ouarzazate,Drâa-Tafilalet,1,Toundoute,0.0,96.01299468399291
1177,agouti,Tinghir,Drâa-Tafilalet,1,Assoul,0.5,96.0277613703485
1178,ain chaib,Taroudant,Souss-Massa,1,Lamhadi,0.5,96.04252805670407
1179,ainzora,Nador,Oriental,1,Zaïo,0.545,96.05729474305966
1180,ait aatab,Azilal,Béni Mellal-Khénifra,1,Ait Ouaarda,0.7,96.07206142941524
1181,Z'Mamra,Taounate,Fès-Meknès,1,Zarkat,0.615,96.08682811577081
1182,Z'Rarka,Taounate,Fès-Meknès,1,Zarkat,0.769,96.1015948021264
1183,Z.Ahansal,Béni Mellal,Béni Mellal-Khénifra,1,Kasba Tadla,0.4,96.11636148848199
1184,Z.S.A.Kader,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Zouaiat sidi Abdelkader,0.471,96.13112817483757
1185,Ain Chifa,Sefrou,Fès-Meknès,1,Ain Timguenai,0.545,96.14589486119314
1186,Ain Johra,Khemisset,Rabat-Salé-Kénitra,1,Ait Ouribel,0.5,96.16066154754873
1187,Ain K ara,Moulay Yacoub,Fès-Meknès,1,Ain Taoujdate,0.545,96.17542823390431
1188,Ain Taoujtat,El Hajeb,Fès-Meknès,1,Ait Boubidmane,0.462,96.1901949202599
1189,AinDoreij,Ouezzane,Tanger-Tétouan-Al Hoceïma,1,Ain Dfali,0.556,96.20496160661547
1190,Ainchgag,Sefrou,Fès-Meknès,1,Ain Timguenai,0.476,96.21972829297106
1191,Douar Ibzazn,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Rouadi,0.444,96.23449497932664
1192,Douar Lazrak,Inezgane-Aït Melloul,Souss-Massa,1,Ouad Essafa,0.522,96.24926166568223
1193,Douar Lhouari,Sidi Kacem,Rabat-Salé-Kénitra,1,Oulad Nouel,0.5,96.2640283520378
1194,Douar Matil,Chichaoua,Marrakech-Safi,1,Oulad M'Rabet,0.583,96.27879503839338
1195,Douar Skhira moulay bouchta,Taounate,Fès-Meknès,1,Bni Bouchibet,0.4,96.29356172474897
1196,"Douar Tahchoucht, Tamraght",Agadir-Ida Ou Tanane,Souss-Massa,1,Ida Ou Kazzou,0.308,96.30832841110455
1197,Douar ait ichout,Sefrou,Fès-Meknès,1,Aït Seghrouchen,0.387,96.32309509746013
1198,Douar amghizide,Azilal,Béni Mellal-Khénifra,1,Zaouiat Ahansal,0.4,96.33786178381571
1199,Douar bni zgyiene,Taounate,Fès-Meknès,1,Bni Rzine,0.615,96.3526284701713
1200,D.Tabarine,Tiznit,Souss-Massa,1,Ibdar,0.4,96.36739515652688
1201,Zaouia S K,Tétouan,Tanger-Tétouan-Al Hoceïma,1,Zaouiat Sidi Kacem,0.714,96.38216184288245
1202,Zaouite ait Ishaq,Khénifra,Béni Mellal-Khénifra,1,Aït Ishaq,0.692,96.39692852923804
1203,Zeagngan,Nador,Oriental,1,Zeghanghane,0.737,96.41169521559362
1204,Zelten,Essaouira,Marrakech-Safi,1,Tahelouante,0.471,96.4264619019492
1205,Zerhounia,Meknès,Fès-Meknès,1,Ouislane,0.353,96.44122858830478
1206,Zouagha,Fès,Fès-Meknès,1,Louadaine,0.5,96.45599527466037
1207,ait tazarin,Tinghir,Drâa-Tafilalet,1,Aït Elfarsi,0.636,96.47076196101595
1208,ait tazrine,Tinghir,Drâa-Tafilalet,1,Aït Hani,0.632,96.48552864737152
1209,ait aliyahya,Tinghir,Drâa-Tafilalet,1,Aït Hani,0.6,96.50029533372711
1210,ait alouane,Tinghir,Drâa-Tafilalet,1,Ait Ouassif,0.636,96.5150620200827
1211,ait amer,Tinghir,Drâa-Tafilalet,1,Aït Elfarsi,0.632,96.52982870643828
1212,ait bouallal,Tinghir,Drâa-Tafilalet,1,Ait Youl,0.7,96.54459539279385
1213,ait boubker,Tinghir,Drâa-Tafilalet,1,Ait Youl,0.632,96.55936207914944
1214,ait boulmane,Tinghir,Drâa-Tafilalet,1,Ait Youl,0.7,96.57412876550502
1215,ait bouyossef,Tinghir,Drâa-Tafilalet,1,Ait Ouassif,0.75,96.58889545186061
1216,ait boyousef,Tinghir,Drâa-Tafilalet,1,Ait Youl,0.7,96.60366213821618
1217,ait boyoysef,Tinghir,Drâa-Tafilalet,1,Ait Ouassif,0.609,96.61842882457177
1218,Zaouia Nezzaghia,Settat,Casablanca-Settat,1,Oulad Sghir,0.519,96.63319551092735
1219,Douar Bouzgar Sidi Boushab,Agadir-Ida Ou Tanane,Souss-Massa,1,Ait Aissi Ihahane,0.372,96.64796219728294
1220,Douar Chaoui Onarqui,El Kelâa des Sraghna,Marrakech-Safi,1,Oulad Cherki,0.438,96.66272888363851
1221,Douar Elhomane,Inezgane-Aït Melloul,Souss-Massa,1,Ouad Essafa,0.48,96.6774955699941
1222,Douar Elmchaâ oudka,Taounate,Fès-Meknès,1,Ras El Oued,0.533,96.69226225634968
1223,amsa,Tétouan,Tanger-Tétouan-Al Hoceïma,1,Azla,0.5,96.70702894270525
1224,anonizme,Tinghir,Drâa-Tafilalet,1,Alnif,0.462,96.72179562906084
1225,arroui,Nador,Oriental,1,Al Aroui,0.714,96.73656231541642
1226,"b,s,louta",Nador,Oriental,1,Selouane,0.588,96.751329001772
1227,b.bouayach,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Bni Bouayach,0.818,96.76609568812758
1228,bab merzk,Taza,Fès-Meknès,1,Bab Marzouka,0.762,96.78086237448316
1229,ait hdouch,Tinghir,Drâa-Tafilalet,1,Ait Youl,0.667,96.79562906083875
1230,ait hmed,Tinghir,Drâa-Tafilalet,1,Aït Hani,0.625,96.81039574719433
1231,ait hmoudene,Tinghir,Drâa-Tafilalet,1,Ait Youl,0.6,96.8251624335499
1232,ait iaala,Tinghir,Drâa-Tafilalet,1,Aït Elfarsi,0.5,96.83992911990549
1233,ait idit,Tinghir,Drâa-Tafilalet,1,Aït Hani,0.625,96.85469580626108
1234,ait mahdi,Tinghir,Drâa-Tafilalet,1,Aït Hani,0.706,96.86946249261666
1235,ait messoud,Tinghir,Drâa-Tafilalet,1,Ait Youl,0.632,96.88422917897223
1236,ait oglif,Tinghir,Drâa-Tafilalet,1,Ait Youl,0.706,96.89899586532782
1237,ait ouglif,Tinghir,Drâa-Tafilalet,1,Ait Youl,0.778,96.9137625516834
1238,ait sakri,Tinghir,Drâa-Tafilalet,1,Aït Hani,0.706,96.92852923803899
1239,bni enssar,Agadir-Ida Ou Tanane,Souss-Massa,1,Aziar,0.4,96.94329592439456
1240,Admam,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Senada,0.545,96.95806261075015
1241,Afellaisen,Chichaoua,Marrakech-Safi,1,Afalla Issen,0.818,96.97282929710573
1242,Agadir n'ait taleb,Taroudant,Souss-Massa,1,Ahmar Laglalcha,0.242,96.98759598346132
1243,Agadir tassaout,Al Haouz,Marrakech-Safi,1,Lalla Takarkoust,0.581,97.00236266981689
1244,Agdal,Fès,Fès-Meknès,1,Ain Bida,0.462,97.01712935617248
1245,Agdime,Tinghir,Drâa-Tafilalet,1,Imider,0.5,97.03189604252806
1246,Aghbalo K,Sefrou,Fès-Meknès,1,Aghbalou Aqorar,0.667,97.04666272888363
1247,ait zelten,Essaouira,Marrakech-Safi,1,Tahelouante,0.476,97.06142941523922
1248,ait ziad,Tinghir,Drâa-Tafilalet,1,Aït Hani,0.625,97.0761961015948
1249,aitali oyahya,Tinghir,Drâa-Tafilalet,1,Aït Hani,0.476,97.09096278795039
1250,almasjid,Nador,Oriental,1,Al Aroui,0.5,97.10572947430596
1251,alouahda,Taza,Fès-Meknès,1,Oulad Zbair,0.526,97.12049616066155
1252,amassine tondout,Tinghir,Drâa-Tafilalet,1,Assoul,0.455,97.13526284701713
1253,amdnagh,Tinghir,Drâa-Tafilalet,1,Tinghir,0.429,97.15002953337272
1254,amejjaw,Driouch,Oriental,1,Amejjaou,0.8,97.16479621972829
1255,Ai Boussalef,Taza,Fès-Meknès,1,Bouyablane,0.545,97.17956290608387
1256,Ain Chgaga,Sefrou,Fès-Meknès,1,Mtarnagha,0.526,97.19432959243946
1257,bohrou,Tinghir,Drâa-Tafilalet,1,Bou Azmou,0.533,97.20909627879504
1258,booujediane,Larache,Tanger-Tétouan-Al Hoceïma,1,Souaken,0.444,97.22386296515062
1259,bouachiba,Azilal,Béni Mellal-Khénifra,1,Ouaoula,0.5,97.2386296515062
1260,boujdian,Larache,Tanger-Tétouan-Al Hoceïma,1,Souaken,0.533,97.25339633786179
1261,boujdiane,Larache,Tanger-Tétouan-Al Hoceïma,1,Souaken,0.5,97.26816302421737
1262,bouqorra,Ouezzane,Tanger-Tétouan-Al Hoceïma,1,Kalaat Booqorra,0.609,97.28292971057294
1263,bouramana,Driouch,Oriental,1,Ourdana,0.75,97.29769639692853
1264,bab zitouba,Taza,Fès-Meknès,1,Bab Marzouka,0.696,97.31246308328411
1265,bani Saden,Sefrou,Fès-Meknès,1,Aït Seghrouchen,0.48,97.32722976963969
1266,ben souda,Fès,Fès-Meknès,1,Ain Bou Ali,0.5,97.34199645599527
1267,beni bouyafrour,Nador,Oriental,1,Bni Bouifrou,0.815,97.35676314235086
1268,bibane,Taounate,Fès-Meknès,1,El Bibane,0.8,97.37152982870644
1269,bin jradi,Taza,Fès-Meknès,1,Bab Boudir,0.421,97.38629651506201
1270,bizamame,Ouarzazate,Drâa-Tafilalet,1,Ouarzazate,0.444,97.4010632014176
1271,DD Mohamed,Driouch,Oriental,1,M'Hajer,0.471,97.41582988777319
1272,Dar-Louhra,Taounate,Fès-Meknès,1,Mançoura,0.556,97.43059657412877
1273,Dchar Ben Dibane,Larache,Tanger-Tétouan-Al Hoceïma,1,Ksar el-Kebir,0.345,97.44536326048434
1274,De Passage,Agadir-Ida Ou Tanane,Souss-Massa,1,Ait Aissi Ihahane,0.444,97.46012994683993
1275,De Passage,Ouarzazate,Drâa-Tafilalet,1,Idelsane,0.556,97.47489663319551
1276,Demna,Taounate,Fès-Meknès,1,Oued Jemaa,0.533,97.4896633195511
1277,Demnate K.,Chichaoua,Marrakech-Safi,1,Imintanoute,0.476,97.50443000590667
1278,Diour sabone,Al Haouz,Marrakech-Safi,1,Ouirgane,0.6,97.51919669226226
1279,DiourEssalam,Sidi Kacem,Rabat-Salé-Kénitra,1,Zirara,0.444,97.53396337861784
1280,"Douar Afa, Azrarague",Agadir-Ida Ou Tanane,Souss-Massa,1,Ida Ou Kazzou,0.424,97.54873006497343
1281,Douar Agafay,Agadir-Ida Ou Tanane,Souss-Massa,1,Adaghas,0.421,97.563496751329
1282,Douar Ait Bousset,Chtouka-Aït Baha,Souss-Massa,1,Arbaa Aït Ahmed,0.5,97.57826343768458
1283,Douar Asserssif,Agadir-Ida Ou Tanane,Souss-Massa,1,Aqesri,0.286,97.59303012404017
1284,Aglou,Agadir-Ida Ou Tanane,Souss-Massa,1,Taghazout,0.571,97.60779681039574
1285,Agouidir,Chichaoua,Marrakech-Safi,1,Ighoud,0.571,97.62256349675133
1286,Aguidir,Chichaoua,Marrakech-Safi,1,Ait Hadi,0.533,97.63733018310691
1287,idaogaylat,Taroudant,Souss-Massa,1,Ida Ou Gailal,0.696,97.6520968694625
1288,igermaouas,Driouch,Oriental,1,Amejjaou,0.444,97.66686355581807
1289,bouzlne,Taza,Fès-Meknès,1,Bouyablane,0.706,97.68163024217365
1290,centre,El Kelâa des Sraghna,Marrakech-Safi,1,Zemrane,0.462,97.69639692852924
1291,dalas,Béni Mellal,Béni Mellal-Khénifra,1,Dir El Ksiba,0.235,97.71116361488482
1292,douar OUDAD,Taounate,Fès-Meknès,1,Oulad Daoud,0.636,97.7259303012404
1293,douar ain sora,Taounate,Fès-Meknès,1,Oulad Daoud,0.48,97.74069698759598
1294,dr Afra,Ouarzazate,Drâa-Tafilalet,1,Afra,0.727,97.75546367395157
1295,dr doultma,Essaouira,Marrakech-Safi,1,Sidi Boulaalam,0.5,97.77023036030715
1296,dépisté à azrou,Larache,Tanger-Tétouan-Al Hoceïma,1,Rissana Janoubia,0.452,97.78499704666272
1297,farkhana,Nador,Oriental,1,Arekmane,0.625,97.79976373301831
1298,ghigou,Sefrou,Fès-Meknès,1,Aït Seghrouchen,0.381,97.8145304193739
1299,ghorm El Alem,Béni Mellal,Béni Mellal-Khénifra,1,Foum El Anceur,0.593,97.82929710572948
1300,had mssila,Taza,Fès-Meknès,1,Msila,0.667,97.84406379208505
1301,hamria,Ouezzane,Tanger-Tétouan-Al Hoceïma,1,Lamrabih,0.571,97.85883047844064
1302,Aghwatime,Al Haouz,Marrakech-Safi,1,Aghouatim,0.778,97.87359716479622
1303,iminifri,Azilal,Béni Mellal-Khénifra,1,Tifni,0.462,97.88836385115181
1304,imzoudar,Tinghir,Drâa-Tafilalet,1,Imider,0.571,97.90313053750738
1305,izourka,Tinghir,Drâa-Tafilalet,1,Outerbat,0.533,97.91789722386297
1306,jmaat abdellah,Al Haouz,Marrakech-Safi,1,Tameslouht,0.167,97.93266391021855
1307,jnan ward,Fès,Fès-Meknès,1,Ain Kansra,0.421,97.94743059657412
1308,A.ali Youssef,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Aït Youssef Ou Ali,0.645,97.96219728292971
1309,A.maatouf,Taounate,Fès-Meknès,1,Ain Maatouf,0.8,97.9769639692853
1310,A/ Chefk,Al Haouz,Marrakech-Safi,1,Ahl Tifnoute,0.316,97.99173065564088
1311,hamria,Taounate,Fès-Meknès,1,Zarkat,0.5,98.00649734199645
1312,harmomo,Sefrou,Fès-Meknès,1,Ahermoumou,0.706,98.02126402835204
1313,harmomou,Sefrou,Fès-Meknès,1,Ahermoumou,0.778,98.03603071470762
1314,hay dari,Agadir-Ida Ou Tanane,Souss-Massa,1,Tadrart,0.533,98.0507974010632
1315,hdida,Tinghir,Drâa-Tafilalet,1,Tinejdad,0.462,98.06556408741878
1316,iatachne,Tinghir,Drâa-Tafilalet,1,Aït Hani,0.375,98.08033077377436
1317,iazanenn,Nador,Oriental,1,Iaazzanene,0.778,98.09509746012995
1318,ibrghosne,Tinghir,Drâa-Tafilalet,1,Tinghir,0.375,98.10986414648553
1319,Corona,Driouch,Oriental,1,Ourdana,0.615,98.1246308328411
1320,D G,Sidi Kacem,Rabat-Salé-Kénitra,1,Sidi Kacem,0.308,98.13939751919669
1321,D ouar Bénimalek,Ouezzane,Tanger-Tétouan-Al Hoceïma,1,Beni Malek,0.692,98.15416420555228
1322,D.Irahalen,Ouarzazate,Drâa-Tafilalet,1,Siroua,0.375,98.16893089190786
1323,Bani sadden,Sefrou,Fès-Meknès,1,Aït Seghrouchen,0.462,98.18369757826343
1324,Baraacca,Taza,Fès-Meknès,1,Jbarna,0.571,98.19846426461902
1325,Baracca,Ouarzazate,Drâa-Tafilalet,1,Afra,0.545,98.2132309509746
1326,Becheine,Taza,Fès-Meknès,1,Barkine,0.533,98.22799763733018
1327,Ben CHEIKH,Al Haouz,Marrakech-Safi,1,Ouneine,0.353,98.24276432368576
1328,Ben Charrou,Béni Mellal,Béni Mellal-Khénifra,1,Bni Bataou,0.571,98.25753101004135
1329,D.Jihadia,Al Haouz,Marrakech-Safi,1,Sti Fadma,0.444,98.27229769639693
1330,D.Jihadia,Tata,Souss-Massa,1,Adis,0.462,98.2870643827525
