rang,Commune,Province,Region_std,n_cas,suggestion_referentiel,score_suggestion,cumsum_pct
604,7Eme Bsi,Taza,Fès-Meknès,1,Msila,0.462,87.56645008860012
605,tarmouchte,Tinghir,Drâa-Tafilalet,1,Outerbat,0.444,87.5812167749557
606,tasouite,Tinghir,Drâa-Tafilalet,1,Assoul,0.571,87.59598346131128
607,tassouit,Tinghir,Drâa-Tafilalet,1,Assoul,0.714,87.61075014766686
608,taynza,Tinghir,Drâa-Tafilalet,1,Tinejdad,0.286,87.62551683402245
609,tazakhte,Tinghir,Drâa-Tafilalet,1,Taghzoute N'Ait Atta,0.357,87.64028352037803
610,tazintest,Taroudant,Souss-Massa,1,Tizi N'Test,0.8,87.6550502067336
611,tighmatine,Tinghir,Drâa-Tafilalet,1,Tilmi,0.533,87.66981689308919
612,,Meknès,Fès-Meknès,1,Toulal,0.0,87.68458357944478
613,,Rehamna,Marrakech-Safi,1,Tamda,0.0,87.69935026580035
614,,Safi,Marrakech-Safi,1,Talmest,0.0,87.71411695215593
615,Jabriénne,Ouezzane,Tanger-Tétouan-Al Hoceïma,1,Aïn Béida,0.333,87.72888363851152
616,Jamaat Lamrasla,Safi,Marrakech-Safi,1,Lamrasla,0.696,87.7436503248671
617,Jamat sidi ghayat,Al Haouz,Marrakech-Safi,1,Sidi Badhaj,0.5,87.75841701122268
618,Jemeât old mimoun,Moulay Yacoub,Fès-Meknès,1,Oulad Mimoun,0.621,87.77318369757826
619,Jerf lmlha,Sidi Kacem,Rabat-Salé-Kénitra,1,Ain Jemaa,0.421,87.78795038393385
620,Jida,Tinghir,Drâa-Tafilalet,1,Tinejdad,0.5,87.80271707028943
621,Jiha-Soufla,Taounate,Fès-Meknès,1,Thar Es-Souk,0.522,87.817483756645
622,Jnan Ward,Fès,Fès-Meknès,1,Ain Kansra,0.421,87.83225044300059
623,Jnan kastiyine,Larache,Tanger-Tétouan-Al Hoceïma,1,Ksar el-Kebir,0.296,87.84701712935617
624,Jnan nokbi,Fès,Fès-Meknès,1,Ain Bida,0.556,87.86178381571176
625,Bengrir,El Kelâa des Sraghna,Marrakech-Safi,1,Errafiaya,0.375,87.87655050206733
626,A s s charkia,Tinghir,Drâa-Tafilalet,1,Ait Sedrate Sahl Charkia,0.703,87.89131718842292
627,,Taroudant,Souss-Massa,1,Zaouia Sidi Tahar,0.0,87.9060838747785
628,Beni Saden,Sefrou,Fès-Meknès,1,Bir Tamtam,0.4,87.92085056113409
629,Beni guerfet,Larache,Tanger-Tétouan-Al Hoceïma,1,Bni Garfett,0.783,87.93561724748966
630,Beni-Kissane,Taounate,Fès-Meknès,1,Kissane,0.737,87.95038393384525
631,Beni Chiker Benichiker,Nador,Oriental,1,Beni Chiker,0.667,87.96515062020083
632,Beni Chiker Benichiker,Tinghir,Drâa-Tafilalet,1,M'Semrir,0.2,87.9799173065564
633,Beni Makada,Larache,Tanger-Tétouan-Al Hoceïma,1,Bni Garfett,0.455,87.99468399291199
634,Beni Maraaz,Meknès,Fès-Meknès,1,Nzala Bni Ammar,0.538,88.00945067926757
635,Beni Meraaz,Meknès,Fès-Meknès,1,Ait Yaazem,0.476,88.02421736562316
636,Boumalene,Ouarzazate,Drâa-Tafilalet,1,Toundoute,0.333,88.03898405197873
637,Boumalne k,Tinghir,Drâa-Tafilalet,1,Boumalne Dadès,0.75,88.05375073833432
638,Boumalne kcer,Tinghir,Drâa-Tafilalet,1,Boumalne Dadès,0.741,88.0685174246899
639,Boumardoul,Tinghir,Drâa-Tafilalet,1,Bou Azmou,0.632,88.08328411104549
640,Imgharne,Ouarzazate,Drâa-Tafilalet,1,Idelsane,0.5,88.09805079740106
641,Imgoune,Taroudant,Souss-Massa,1,Bigoudine,0.75,88.11281748375664
642,Imouzar Kendr,Sefrou,Fès-Meknès,1,Imouzzer Kandar,0.786,88.12758417011223
643,Imzilne,Tinghir,Drâa-Tafilalet,1,Imider,0.615,88.14235085646781
644,Irguita,Taroudant,Souss-Massa,1,Igli,0.545,88.15711754282339
645,B.bouayach I,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Bni Bouayach,0.75,88.17188422917897
646,Iwareden,Azilal,Béni Mellal-Khénifra,1,Aït Majden,0.556,88.18665091553456
647,K.Tadla,Béni Mellal,Béni Mellal-Khénifra,1,Kasba Tadla,0.667,88.20141760189014
648,K_Ba_Mohamed,Taounate,Fès-Meknès,1,Sidi Haj M’hamed,0.519,88.21618428824571
649,Kaa Assrass,Chefchaouen,Tanger-Tétouan-Al Hoceïma,1,Al Hamra,0.421,88.2309509746013
650,Kalaa Magoune,Ouarzazate,Drâa-Tafilalet,1,Amerzgane,0.364,88.24571766095688
651,Kalaa Sraghna,El Kelâa des Sraghna,Marrakech-Safi,1,El Kelâat Es-Sraghna,0.727,88.26048434731246
652,Kalaa-Ourache,Taounate,Fès-Meknès,1,Abdelghaya Souahel,0.645,88.27525103366804
653,Kariat,Nador,Oriental,1,Arekmane,0.429,88.29001772002363
654,Karoil,Azilal,Béni Mellal-Khénifra,1,Azilal,0.5,88.30478440637921
655,Karouel,Azilal,Béni Mellal-Khénifra,1,Taounza,0.429,88.31955109273478
656,Kasba,Sefrou,Fès-Meknès,1,Azzaba,0.545,88.33431777909037
657,Kcebia,Sidi Slimane,Rabat-Salé-Kénitra,1,Kceibya,0.769,88.34908446544596
658,Kebdani,Nador,Oriental,1,Iksane,0.462,88.36385115180154
659,"B,bouayach",Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Bni Bouayach,0.818,88.37861783815711
660,"B,chiker",Nador,Oriental,1,Beni Chiker,0.737,88.3933845245127
661,"B,enssar",Nador,Oriental,1,Beni Ansar,0.667,88.40815121086828
662,Issakssi,Azilal,Béni Mellal-Khénifra,1,Tisqi,0.462,88.42291789722387
663,Laabiate,Sidi Slimane,Rabat-Salé-Kénitra,1,Nouirate,0.5,88.43768458357944
664,Laai chikh,Nador,Oriental,1,Beni Chiker,0.571,88.45245126993503
665,Laari Chikh,Taounate,Fès-Meknès,1,Aïn Aïcha,0.5,88.46721795629061
666,B. Bounsar,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Boudinar,0.667,88.4819846426462
667,B. ensar,Nador,Oriental,1,Beni Ansar,0.667,88.49675132900177
668,B.Bchir,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Chakran,0.429,88.51151801535735
669,B.Bouayach II,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Bni Bouayach,0.72,88.52628470171294
670,B.Bouchibat,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Boudinar,0.526,88.54105138806852
671,B.Bouyafroun,Nador,Oriental,1,Bni Bouifrou,0.667,88.5558180744241
672,B.Elain,Chefchaouen,Tanger-Tétouan-Al Hoceïma,1,Bni Selmane,0.556,88.57058476077968
673,"Kelaat M,",Tinghir,Drâa-Tafilalet,1,Kalaat M'Gouna,0.609,88.58535144713527
674,Khandak Zeboua,Tétouan,Tanger-Tétouan-Al Hoceïma,1,Al Kharroub,0.4,88.60011813349084
675,Kharba,Chtouka-Aït Baha,Souss-Massa,1,Tabia,0.545,88.61488481984642
676,Khmalca,Taounate,Fès-Meknès,1,Khlalfa,0.714,88.62965150620201
677,Khmis Anjra,Fahs-Anjra,Tanger-Tétouan-Al Hoceïma,1,Anjra,0.625,88.6444181925576
678,Khmiss AitAmira,Chtouka-Aït Baha,Souss-Massa,1,Ait Mzal,0.348,88.65918487891317
679,Ighrem Amazdar,Tinghir,Drâa-Tafilalet,1,Taghzoute N'Ait Atta,0.412,88.67395156526875
680,Ighrmloulne,Tinghir,Drâa-Tafilalet,1,Aghbalou N'Kerdous,0.483,88.68871825162434
681,Ihchach,Essaouira,Marrakech-Safi,1,El Hanchane,0.444,88.70348493797992
682,Ihoudjine,Azilal,Béni Mellal-Khénifra,1,Imi N'Oulaoune,0.435,88.7182516243355
683,Ihoudjjine,Azilal,Béni Mellal-Khénifra,1,Imi N'Oulaoune,0.417,88.73301831069108
684,Ijfi,Driouch,Oriental,1,Ifarni,0.6,88.74778499704667
685,Ikhourba,Béni Mellal,Béni Mellal-Khénifra,1,Afourar,0.533,88.76255168340225
686,Ben Zit,Marrakech,Marrakech-Safi,1,Jbilate,0.286,88.77731836975782
687,Bendib,Sidi Slimane,Rabat-Salé-Kénitra,1,Kceibya,0.462,88.79208505611341
688,Hmer Iglalcha,Taroudant,Souss-Massa,1,Ahmar Laglalcha,0.786,88.806851742469
689,Khmiss anjra,Fahs-Anjra,Tanger-Tétouan-Al Hoceïma,1,Anjra,0.588,88.82161842882458
690,Kmis Anjra,Fahs-Anjra,Tanger-Tétouan-Al Hoceïma,1,Anjra,0.667,88.83638511518015
691,Kssibat,Chefchaouen,Tanger-Tétouan-Al Hoceïma,1,Tassift,0.571,88.85115180153574
692,Kssibiya,Sidi Kacem,Rabat-Salé-Kénitra,1,Sidi Kacem,0.444,88.86591848789132
693,L Foukani,Driouch,Oriental,1,Ifarni,0.533,88.88068517424689
694,L'Habita,Sefrou,Fès-Meknès,1,Dar El Hamra,0.5,88.89545186060248
695,Laayayta,Béni Mellal,Béni Mellal-Khénifra,1,Kasba Tadla,0.211,88.91021854695806
696,Laazib,Taroudant,Souss-Massa,1,Lamhadi,0.615,88.92498523331365
697,Labita od said,Settat,Casablanca-Settat,1,Oulad Saïd,0.667,88.93975191966922
698,Lakrakra,Settat,Casablanca-Settat,1,Lahouaza,0.5,88.9545186060248
699,Lakrimat,Essaouira,Marrakech-Safi,1,Korimate,0.75,88.96928529238039
700,Lalla Aicha,Ouezzane,Tanger-Tétouan-Al Hoceïma,1,Lamrabih,0.526,88.98405197873598
701,Lalla aicha,Ouezzane,Tanger-Tétouan-Al Hoceïma,1,Lamrabih,0.526,88.99881866509155
702,Lari Chiekh,Nador,Oriental,1,Beni Chiker,0.545,89.01358535144713
703,Lbour,Tinghir,Drâa-Tafilalet,1,Outerbat,0.462,89.02835203780272
704,Lemzar,Zagora,Drâa-Tafilalet,1,Zagora,0.5,89.0431187241583
705,Lhote,Tinghir,Drâa-Tafilalet,1,Outerbat,0.462,89.05788541051388
706,Lhotte,Tinghir,Drâa-Tafilalet,1,Outerbat,0.429,89.07265209686946
707,Lmzam*,Azilal,Béni Mellal-Khénifra,1,Ait M'Hamed,0.353,89.08741878322505
708,Khmiss Anjra,Chefchaouen,Tanger-Tétouan-Al Hoceïma,1,Bni Mansour,0.348,89.10218546958063
709,B.bounsar,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Boudinar,0.706,89.1169521559362
710,Ighil amgoune,Ouarzazate,Drâa-Tafilalet,1,Idelsane,0.476,89.13171884229179
711,Machouar,Al Haouz,Marrakech-Safi,1,Aghouatim,0.588,89.14648552864737
712,Machouar,Tinghir,Drâa-Tafilalet,1,Assoul,0.429,89.16125221500295
713,Mahrek Melak,Settat,Casablanca-Settat,1,Ain Blal,0.4,89.17601890135853
714,Lmzem,El Kelâa des Sraghna,Marrakech-Safi,1,Zemrane,0.5,89.19078558771412
715,M Bakay,Sefrou,Fès-Meknès,1,Matmata,0.429,89.2055522740697
716,M bekay,Sefrou,Fès-Meknès,1,Imouzzer Kandar,0.364,89.22031896042527
717,M'Hannech,Tétouan,Tanger-Tétouan-Al Hoceïma,1,Mallalienne,0.5,89.23508564678086
718,M'Hirija,Guercif,Oriental,1,Lamrija,0.667,89.24985233313645
719,M'Sasa,Taounate,Fès-Meknès,1,Messassa,0.714,89.26461901949203
720,Assifane,Chefchaouen,Tanger-Tétouan-Al Hoceïma,1,Tassift,0.667,89.2793857058476
721,Attaouia Chaaibia,El Kelâa des Sraghna,Marrakech-Safi,1,Laattaouia Ech-Chaybia,0.769,89.29415239220319
722,Aychtoume,Taounate,Fès-Meknès,1,Taounate,0.471,89.30891907855877
723,Azlaf,Nador,Oriental,1,Al Aroui,0.462,89.32368576491436
724,Azou,Tinghir,Drâa-Tafilalet,1,Assoul,0.6,89.33845245126993
725,B Bouyafrou,Nador,Oriental,1,Bni Bouifrou,0.783,89.35321913762552
726,B K,Sidi Kacem,Rabat-Salé-Kénitra,1,Bab Tiouka,0.462,89.3679858239811
727,Marenniene,Fès,Fès-Meknès,1,Louadaine,0.421,89.38275251033669
728,Marjane,Boulemane,Fès-Meknès,1,Boulemane,0.5,89.39751919669226
729,Massira,Ouezzane,Tanger-Tétouan-Al Hoceïma,1,Masmouda,0.533,89.41228588304784
730,Massira,Taza,Fès-Meknès,1,Msila,0.667,89.42705256940343
731,Massira 2,Béni Mellal,Béni Mellal-Khénifra,1,Kasba Tadla,0.4,89.44181925575901
732,Massira 2,Taza,Fès-Meknès,1,Msila,0.571,89.45658594211459
733,Massira I,Taza,Fès-Meknès,1,Msila,0.571,89.47135262847017
734,B Sidel,Nador,Oriental,1,Bni Sidel Jbel,0.667,89.48611931482576
735,B' sabsa,Taounate,Fès-Meknès,1,El Bsabsa,0.75,89.50088600118133
736,"B,M",Béni Mellal,Béni Mellal-Khénifra,1,Beni Mellal,0.286,89.51565268753691
737,"B,Maraghnine",Driouch,Oriental,1,Bni Marghnine,0.8,89.5304193738925
738,M'sasa,Taounate,Fès-Meknès,1,Messassa,0.714,89.54518606024808
739,"M, Bakay",Sefrou,Fès-Meknès,1,Matmata,0.4,89.55995274660366
740,"M,Bouchta M,Bouchta",Taounate,Fès-Meknès,1,Bouhouda,0.519,89.57471943295924
741,M/bouchta,Taounate,Fès-Meknès,1,Bni Bouchibet,0.636,89.58948611931483
742,Maayach,Tinghir,Drâa-Tafilalet,1,Imilchil,0.4,89.60425280567041
743,Houciema,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Al Hoceïma,0.667,89.61901949202598
744,Idaouguelloule,Essaouira,Marrakech-Safi,1,Sidi El Jazouli,0.483,89.63378617838157
745,Idaouzemzeme,Essaouira,Marrakech-Safi,1,Ida Ou Aazza,0.583,89.64855286473716
746,Idaouzemzème,Essaouira,Marrakech-Safi,1,Ida Ou Aazza,0.583,89.66331955109274
747,Ighil Ouderdour,Agadir-Ida Ou Tanane,Souss-Massa,1,Ida Ou Guelloul,0.467,89.67808623744831
748,B.Ensar,Nador,Oriental,1,Beni Ansar,0.706,89.6928529238039
749,B.Gmil Maksouline,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Tifarouine,0.519,89.70761961015948
750,B.Louta,Nador,Oriental,1,Bouarg,0.615,89.72238629651507
751,B.M,Béni Mellal,Béni Mellal-Khénifra,1,Beni Mellal,0.286,89.73715298287064
752,B.S Jbel,Nador,Oriental,1,Bni Sidel Jbel,0.636,89.75191966922623
753,B.S jbel,Nador,Oriental,1,Bni Sidel Jbel,0.636,89.76668635558181
754,Hay Korsi Rue Almasjid,Taroudant,Souss-Massa,1,Sidi Abdellah Ou Said,0.419,89.78145304193738
755,Maksouline,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Tifarouine,0.6,89.79621972829297
756,Malhart,Settat,Casablanca-Settat,1,Mniaa,0.5,89.81098641464855
757,Mallaha,Settat,Casablanca-Settat,1,Lahouaza,0.533,89.82575310100414
758,Mallaha centre,Settat,Casablanca-Settat,1,Machraa Ben Abbou,0.452,89.84051978735971
759,Mhamid 1 N°31,Al Haouz,Marrakech-Safi,1,Oukaimeden,0.273,89.8552864737153
760,Mbarek El Bakay,Sefrou,Fès-Meknès,1,Dar El Hamra,0.593,89.87005316007088
761,Mbarek bakay,Sefrou,Fès-Meknès,1,Mtarnagha,0.476,89.88481984642647
762,Mbarek lbkay,Sefrou,Fès-Meknès,1,Dar El Hamra,0.417,89.89958653278204
763,Mdiq Fnideq,M'diq-Fnideq,Tanger-Tétouan-Al Hoceïma,1,Fnideq,0.706,89.91435321913762
764,Medina,Essaouira,Marrakech-Safi,1,Tafedna,0.615,89.92911990549321
