prov_key,province,region,n_communes,lat,lon,lct_cases,y_epi,lct_rate,y_ento_hard,y_ento_soft,temp_z,precip_z,arid_z,lat_z
sidi ifni,Sidi Ifni,Guelmim-Oued Noun,9,29.329367333333337,-10.045011,0,0,0.0,0,0,0.0,0.0,0.0,-1.1015785926871193
sidi kacem,Sidi Kacem,Rabat-Salé-Kénitra,14,34.27525242857143,-5.628216,1184,1,84.57142857142857,0,1,0.0,0.0,0.0,0.7167270247327807
sidi slimane,Sidi Slimane,Rabat-Salé-Kénitra,21,34.415450666666665,-5.997908190476191,17,1,0.8095238095238095,0,0,0.0,0.0,0.0,0.7682695169201516
skhirate-temara,Skhirate-Témara,Rabat-Salé-Kénitra,14,33.78296578571429,-6.8241349285714294,0,0,0.0,0,0,0.0,0.0,0.0,0.5357427214480665
tan-tan,Tan-Tan,Guelmim-Oued Noun,9,28.292212555555555,-11.175606,0,0,0.0,0,0,0.0,0.0,0.0,-1.4828782634746485
tanger-assilah,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,12,35.616158,-5.822810833333333,7,1,0.5833333333333334,0,0,0.0,0.0,0.0,1.2096976631541412
taounate,Taounate,Fès-Meknès,59,34.62643230508474,-4.627347101694916,1417,1,24.016949152542374,1,0,0.0,0.0,0.0,0.8458348244274774
taourirt,Taourirt,Oriental,8,34.316071,-2.83614675,2,1,0.25,0,1,0.0,0.0,0.0,0.7317335678073642
tarfaya,Tarfaya,Laâyoune-Sakia El Hamra,3,27.749939333333334,-12.81996,0,0,0.0,0,0,0.0,0.0,0.0,-1.682239637052129
taroudant,Taroudant,Souss-Massa,61,30.538088147540982,-8.740010540983606,449,1,7.360655737704918,0,0,0.0,0.0,0.0,-0.6572043696623697
tata,Tata,Souss-Massa,25,29.903712,-8.023498479999999,3,1,0.12,0,1,0.0,0.0,0.0,-0.8904264705440801
taza,Taza,Fès-Meknès,36,34.17463683333333,-4.071058861111111,1588,1,44.111111111111114,1,0,0.0,0.0,0.0,0.6797366987347865
tetouan,Tétouan,Tanger-Tétouan-Al Hoceïma,18,35.49909127777778,-5.421401333333333,82,1,4.555555555555555,1,0,0.0,0.0,0.0,1.1666592434313414
tinghir,Tinghir,Drâa-Tafilalet,31,31.4841664516129,-5.601890806451613,2787,1,89.90322580645162,1,0,0.0,0.0,0.0,-0.3093880614207305
tiznit,Tiznit,Souss-Massa,26,29.529571961538462,-9.560379192307693,19,1,0.7307692307692307,0,0,0.0,0.0,0.0,-1.0279753461318502
youssoufia,Youssoufia,Marrakech-Safi,19,32.21199552631579,-8.579817684210527,3,1,0.15789473684210525,0,0,0.0,0.0,0.0,-0.04180891844226161
zagora,Zagora,Drâa-Tafilalet,21,30.437697476190475,-5.758145380952381,3,1,0.14285714285714285,1,0,0.0,0.0,0.0,-0.6941120046231843
