region,annee,mois,cas_predits,ci_lower_95,ci_upper_95
Béni Mellal-Khénifra,2031,6,92.52023509389778,74.0276295973182,111.01284059047737
Béni Mellal-Khénifra,2031,7,82.25945196375571,64.874871705237,99.64403222227442
Béni Mellal-Khénifra,2031,8,79.71830263364119,62.62413281302918,96.8124724542532
Béni Mellal-Khénifra,2031,9,91.70656741739909,73.33597220040753,110.07716263439065
Béni Mellal-Khénifra,2031,10,97.28261741952193,78.33207589853944,116.23315894050441
Béni Mellal-Khénifra,2031,11,109.64777657018385,89.43918067919836,129.85637246116934
Béni Mellal-Khénifra,2031,12,113.23753799112195,92.72435394686194,133.75072203538198
Béni Mellal-Khénifra,2032,1,112.76180516670598,92.26121026325316,133.2624000701588
Béni Mellal-Khénifra,2032,2,114.800529974817,94.10896477120656,135.49209517842743
Béni Mellal-Khénifra,2032,3,121.052750962447,99.78942077322455,142.31608115166947
Béni Mellal-Khénifra,2032,4,117.94715367912399,96.96900764192755,138.92529971632044
Béni Mellal-Khénifra,2032,5,101.36250320176367,81.96160476812543,120.76340163540192
Béni Mellal-Khénifra,2032,6,92.39159228700447,73.91330924483019,110.86987532917875
Béni Mellal-Khénifra,2032,7,82.12324383287772,64.75127198278742,99.49521568296802
Béni Mellal-Khénifra,2032,8,79.99818130451908,62.8703156295155,97.12604697952266
Béni Mellal-Khénifra,2032,9,91.89244940786756,73.4982264197257,110.28667239600942
Béni Mellal-Khénifra,2032,10,96.76737149645002,77.8644528153864,115.67029017751365
Béni Mellal-Khénifra,2032,11,109.22029258688985,89.04783983903957,129.39274533474014
Béni Mellal-Khénifra,2032,12,113.17185220143003,92.66609345263505,133.677610950225
Béni Mellal-Khénifra,2033,1,112.53045476647698,92.05126958670388,133.00963994625008
Béni Mellal-Khénifra,2033,2,115.34077712969231,94.59875177880448,136.08280248058014
Béni Mellal-Khénifra,2033,3,120.99702543089487,99.73829655099007,142.25575431079966
Béni Mellal-Khénifra,2033,4,118.35947853643084,97.34308498804461,139.37587208481708
Béni Mellal-Khénifra,2033,5,100.74266331842257,81.40329940319356,120.08202723365159
