mun_raw,pop_total,pop_total_male,pop_total_female,pop_under_15,pop_under_15_male,pop_under_15_female,pop_15_59,pop_15_59_male,pop_15_59_female,pop_60,pop_60_male,pop_60_female
Sahel,18236.0,9330.0,8906.0,28.4,28.7,28.2,58.3,58.1,58.5,13.3,13.2,13.3
Saiss,236305.0,114748.0,121557.0,23.8,25.2,22.4,61.9,60.0,63.6,14.4,14.8,13.9
Sbata,101624.0,50478.0,51146.0,20.5,21.2,19.7,61.4,61.8,60.9,18.2,17.0,19.4
Sebt Azzinate,7263.0,3880.0,3383.0,32.0,32.3,31.7,58.4,58.3,58.6,9.6,9.5,9.7
Sebta,,,,,,,,,,,,
Sidi Ali Bel Quassem,13709.0,6949.0,6760.0,31.6,33.1,30.1,57.8,56.4,59.1,10.6,10.5,10.7
Sidi Belyout,136392.0,67809.0,68583.0,15.3,16.2,14.5,61.2,62.6,59.7,23.5,21.2,25.8
Sidi Bernoussi,153621.0,74855.0,78766.0,20.9,22.2,19.8,61.6,61.2,62.0,17.4,16.6,18.2
Sidi Mokhfi,7896.0,4105.0,3791.0,29.3,30.6,27.9,57.4,56.8,58.1,13.3,12.6,14.0
Sidi Moumen,551118.0,272062.0,279056.0,25.7,26.8,24.5,62.1,60.9,63.3,12.2,12.2,12.2
Sidi Othmane,211894.0,104275.0,107619.0,22.9,23.9,21.9,61.4,61.6,61.1,15.8,14.6,16.9
Sidi Yahia El Gharb,39201.0,19107.0,20094.0,28.6,30.2,27.0,59.0,58.1,59.8,12.5,11.7,13.3
Sidi Youssef Ben Ali,107955.0,52185.0,55770.0,22.9,24.0,21.8,61.0,60.7,61.4,16.1,15.3,16.9
Souani,110723.0,53569.0,57154.0,20.3,21.6,19.1,62.3,61.2,63.3,17.5,17.2,17.7
Souissi,20391.0,9850.0,10541.0,15.0,16.5,13.7,56.2,54.7,57.6,28.8,28.8,28.8
Souk El Arbaa,69036.0,34201.0,34835.0,26.7,27.3,26.0,60.1,59.4,60.7,13.3,13.3,13.3
Tabriquet,237048.0,115876.0,121172.0,21.6,22.8,20.4,62.4,61.6,63.2,16.0,15.6,16.5
Timahdite,11570.0,5868.0,5702.0,27.8,28.9,26.7,60.1,59.7,60.6,12.1,11.4,12.8
Tizi Ouasli,5434.0,2580.0,2854.0,26.2,27.2,25.4,55.1,55.6,54.6,18.7,17.2,20.0
Yacoub El Mansour,166573.0,81166.0,85407.0,17.8,18.9,16.8,61.9,62.2,61.5,20.3,18.9,21.6
Zouagha,358435.0,177576.0,180859.0,28.6,29.9,27.3,60.6,59.0,62.1,10.8,11.1,10.6
Zoug-N/A,592.0,,,,,,,,,,,
