rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
128,Sab,Moulay Yacoub,2,Sidi El Abed,0.4,Sabbah,0.667,Skhirate-Témara,25.883201153568855,
129,Sab,Azilal,2,Tabia,0.5,Sabbah,0.667,Skhirate-Témara,26.027397260273972,
130,S.M.B.L,Taounate,2,Bouadel,0.286,Mibladen,0.4,Midelt,26.171593366979092,
131,S-A-Ouhamd,Essaouira,2,Sidi H'Mad Ou Hamed,0.69,Sidi H'Mad Ou Hamed,0.69,Essaouira,26.31578947368421,
132,"S,Fasma",Al Haouz,2,Sti Fadma,0.625,Sti Fadma,0.625,Al Haouz,26.45998558038933,
133,S'Rima,Taounate,2,Rghioua,0.462,Rima,0.8,Settat,26.60418168709445,
134,S A Hamd,Essaouira,2,Sidi H'Mad Ou Hamed,0.593,Ras Ain Rhamna,0.636,Marrakech,26.748377793799566,
135,B.S. louta,Nador,2,Bni Sidel Louta,0.64,Louta,0.667,Al Hoceïma,26.892573900504686,
136,B.Hmed,Chefchaouen,2,Bni Ahmed Gharbia,0.435,Ben Ahmed,0.667,Khouribga,27.036770007209807,
137,B.Bch,Al Hoceïma,2,Bni Bouayach,0.471,Sabbah,0.545,Skhirate-Témara,27.180966113914923,
138,B'sabsa,Taounate,2,El Bsabsa,0.75,El Bsabsa,0.75,Taounate,27.325162220620044,
139,B'Sabsa,Taounate,2,El Bsabsa,0.75,El Bsabsa,0.75,Taounate,27.46935832732516,
140,Ribat Elkher,Sefrou,2,Dar El Hamra,0.5,Mers El Kheir,0.64,Skhirate-Témara,27.61355443403028,
141,RassLoued,Taounate,2,Ras El Oued,0.8,Ras El Oued,0.8,Taounate,27.7577505407354,
142,Ras Alam,Moulay Yacoub,2,Sebt Loudaya,0.2,Ras Al Ain,0.778,Settat,27.901946647440518,
143,Qods1,Taza,2,Oued Amlil,0.267,Adis,0.444,Tata,28.046142754145638,
144,Qods,Taza,2,Oued Amlil,0.286,Adis,0.5,Tata,28.19033886085076,
145,"Q,Industriel",Agadir-Ida Ou Tanane,2,Aqesri,0.444,Tindine,0.526,Taroudant,28.334534967555875,
146,Oum bakht,Béni Mellal,2,Oulad M'Barek,0.636,Ait Oum El Bekht,0.64,Khénifra,28.478731074260995,
147,ait hamou oussaid,Tinghir,2,Ait Ouassif,0.643,Ait Haddou Youssef,0.743,Taroudant,28.622927180966116,
148,ait gmate,Tinghir,2,Aït Hani,0.588,Ait Mait,0.824,Driouch,28.767123287671232,
149,ait driss,Tinghir,2,Ait Ouassif,0.6,Ait Oumdis,0.737,Ouarzazate,28.911319394376353,
150,ait boullal,Tinghir,2,Ait Youl,0.737,Ait Ouallal,0.909,Zagora,29.05551550108147,
151,ait boamrane,Tinghir,2,Aït Hani,0.6,Ait Naamane,0.783,El Hajeb,29.19971160778659,
152,ain bziz,Meknès,2,Aïn Orma,0.5,Ain Sbit,0.75,Khemisset,29.34390771449171,
153,Zerhoune,Meknès,2,Ouislane,0.5,Mzefroune,0.824,Ouezzane,29.488103821196827,
154,Z'Rizar,Taounate,2,Zrizer,0.769,Zrizer,0.769,Taounate,29.632299927901947,
155,Toufist,Al Hoceïma,2,Targuist,0.667,Tounfit,0.857,Midelt,29.776496034607067,
156,Tizagui,Azilal,2,Tisqi,0.5,Touizgui,0.8,Assa-Zag,29.920692141312184,
157,Timskalte,Tinghir,2,Tilmi,0.429,Takate,0.667,Essaouira,30.064888248017304,
158,Tessa,Taounate,2,Tissa,0.8,Tissa,0.8,Taounate,30.20908435472242,
159,Ben Yazgha,Sefrou,2,Mtarnagha,0.526,Beni Ftah,0.632,Taza,30.35328046142754,
160,Bel,Sidi Kacem,2,Selfat,0.444,Jbiel,0.75,El Kelâa des Sraghna,30.49747656813266,
161,Barraka,Nador,2,Arekmane,0.4,Braksa,0.769,Khouribga,30.64167267483778,
162,Ouled Boukhadou,Fquih Ben Salah,2,Ouled Bourahmoune,0.75,Oulad Boughadi,0.759,Khouribga,30.7858687815429,
163,Oulad-Tahar,Taounate,2,Oulad Daoud,0.636,Oulad Amghar,0.87,Al Hoceïma,30.93006488824802,
164,Ouidane,Al Haouz,2,Ouirgane,0.8,Al Ouidane,0.824,Marrakech,31.074260994953136,
165,Oued elabid,Azilal,2,Ouaoula,0.444,Oued Laou,0.7,Tétouan,31.218457101658256,
166,Oued Romman,Meknès,2,Oued Jdida,0.571,Oued Ifrane,0.727,Khénifra,31.362653208363373,
167,Ouald Bder,Ouezzane,2,Moulay Abdelkader,0.593,Oulad Berhil,0.727,Taroudant,31.506849315068493,
168,Oled Bder,Ouezzane,2,Moulay Abdelkader,0.538,Ouled Zidane,0.667,Berrechid,31.651045421773613,
169,Bensergao,Ouarzazate,2,Amerzgane,0.444,El Kansera,0.632,Khemisset,31.79524152847873,
170,Bensergao,Agadir-Ida Ou Tanane,2,Idmine,0.133,El Kansera,0.632,Khemisset,31.93943763518385,
171,Beni Gorfet,Larache,2,Bni Garfett,0.818,Bni Garfett,0.818,Larache,32.08363374188897,
172,Bencharrou,Béni Mellal,2,Naour,0.533,Ben Maachou,0.667,El Jadida,32.22782984859409,
173,Oel Bousalham,Taounate,2,El Bsabsa,0.636,Moulay Bousselham,0.733,Larache,32.37202595529921,
