rang,Commune,Province,Region_std,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
20,A.Mediouna,Taounate,Fès-Meknès,51,Ain Mediouna,0.818,Médiouna,0.889,Nouaceur,35.3416149068323,
21,Hanchen,Essaouira,Marrakech-Safi,49,El Hanchane,0.667,Khnichet,0.667,Sidi Kacem,36.10248447204969,
22,Tanfarda,Azilal,Béni Mellal-Khénifra,48,Tanant,0.571,Tangarfa,0.625,Sidi Ifni,36.84782608695652,
23,Iminifri,Azilal,Béni Mellal-Khénifra,43,Tifni,0.462,Sidi Ifni,0.471,Sidi Ifni,37.515527950310556,
24,khmiss dades,Tinghir,Drâa-Tafilalet,41,Souk Lakhmis Dades,0.733,Souk Lakhmis Dades,0.733,Tinghir,38.15217391304348,
25,Lakhmis,Tinghir,Drâa-Tafilalet,39,Souk Lakhmis Dades,0.56,Lakhsas,0.714,Tiznit,38.75776397515528,
26,Ait Sedrat Jbel Oulya,Ouarzazate,Drâa-Tafilalet,35,Skoura Ahl El Oust,0.462,Ait Sedrate Jbel El Oulia,0.87,Tinghir,39.30124223602485,
27,ait hamd,Tinghir,Drâa-Tafilalet,34,Aït Hani,0.75,Ait Hadi,0.875,Chichaoua,39.82919254658385,
28,Takhsayte,Fquih Ben Salah,Béni Mellal-Khénifra,33,Tachraft,0.588,Takate,0.8,Essaouira,40.3416149068323,
29,Belksiri,Sidi Kacem,Rabat-Salé-Kénitra,33,Bir Taleb,0.353,Mechra Bel Ksiri,0.667,Sidi Slimane,40.85403726708075,
30,mcissi,Tinghir,Drâa-Tafilalet,32,M'Ssici,0.615,Tissint,0.615,Tata,41.350931677018636,
31,Ain Dorrij,Sidi Kacem,Rabat-Salé-Kénitra,31,Ain Jemaa,0.526,Aïn Orma,0.667,Meknès,41.83229813664596,
32,taguella,Azilal,Béni Mellal-Khénifra,30,Ait Taguella,0.8,Ait Taguella,0.8,Azilal,42.298136645962735,
33,Sarghine,Tinghir,Drâa-Tafilalet,29,Tinghir,0.4,Serghina,0.75,Boulemane,42.74844720496895,
34,Bouzemlan,Taza,Fès-Meknès,29,Bouyablane,0.632,Boulemane,0.778,Boulemane,43.19875776397515,
35,Lakhmis,Ouarzazate,Drâa-Tafilalet,29,Ait Oumdis,0.471,Lakhsas,0.714,Tiznit,43.649068322981364,
36,Lamzem,El Kelâa des Sraghna,Marrakech-Safi,28,Oulad Amer,0.5,Talzemt,0.615,Boulemane,44.08385093167702,
37,Kelaa Centre,Tinghir,Drâa-Tafilalet,28,Kalaat M'Gouna,0.462,Laaounate,0.381,Sidi Bennour,44.51863354037267,
38,Taguella,Azilal,Béni Mellal-Khénifra,28,Ait Taguella,0.8,Ait Taguella,0.8,Azilal,44.953416149068325,
39,A.Maatouf,Taounate,Fès-Meknès,27,Ain Maatouf,0.8,Ain Maatouf,0.8,Taounate,45.37267080745342,
40,Ait hamd,Tinghir,Drâa-Tafilalet,27,Aït Hani,0.75,Ait Hadi,0.875,Chichaoua,45.79192546583851,
41,Ouzoud,Azilal,Béni Mellal-Khénifra,26,Ouaoula,0.615,Ouzioua,0.769,Al Haouz,46.19565217391305,
42,ait idir,Tinghir,Drâa-Tafilalet,25,Aït Hani,0.625,Ait Said,0.75,Essaouira,46.58385093167702,
43,Bab Tete,Taza,Fès-Meknès,25,Bni Lent,0.375,Bab Berred,0.667,Chefchaouen,46.97204968944099,
44,Babtété,Taza,Fès-Meknès,24,Bouyablane,0.471,Abteh,0.667,Tan-Tan,47.34472049689441,
45,Ain Dorij,Ouezzane,Tanger-Tétouan-Al Hoceïma,24,Ain Dfali,0.667,Aïn Orma,0.706,Meknès,47.71739130434783,
