rang,Commune,Province,Region_std,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
197,lakhmis,Tinghir,Drâa-Tafilalet,5,Souk Lakhmis Dades,0.56,Lakhsas,0.714,Tiznit,72.06521739130434,
198,Taghgigt,Guelmim,Guelmim-Oued Noun,5,Tiglit,0.571,Taghzirt,0.75,Béni Mellal,72.14285714285714,
199,Taouima,Nador,Oriental,5,Al Aroui,0.533,Touama,0.769,Marrakech,72.22049689440993,
200,Ait Tazarin,Tinghir,Drâa-Tafilalet,5,Aït Elfarsi,0.636,Tazarine,0.737,Taza,72.29813664596273,
201,H K,Sidi Kacem,Rabat-Salé-Kénitra,5,Sidi Kacem,0.308,N'Kob,0.5,Tinghir,72.37577639751552,
202,Al ouhda,Taza,Fès-Meknès,5,El Gouzate,0.556,Al Oued,0.8,Chefchaouen,72.45341614906832,
203,Al quods,Taza,Fès-Meknès,5,Bab Boudir,0.444,Al Oued,0.667,Chefchaouen,72.53105590062111,
204,Rhouazi,Taounate,Fès-Meknès,5,Rghioua,0.714,Ghouazi,0.857,Moulay Yacoub,72.6086956521739,
205,Bssabssa,Taounate,Fès-Meknès,5,Messassa,0.75,Messassa,0.75,Taounate,72.6863354037267,
206,Bouzmlane,Taza,Fès-Meknès,5,Bouyablane,0.737,Boulemane,0.778,Boulemane,72.7639751552795,
207,A.Medouna,Taounate,Fès-Meknès,5,Ain Mediouna,0.762,Médiouna,0.824,Nouaceur,72.8416149068323,
208,A.Taourirt,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,5,Arbaa Taourirt,0.75,Taourirt,0.889,Taourirt,72.9192546583851,
209,Bkakcha,Settat,Casablanca-Settat,4,Dar Chaffai,0.444,Brikcha,0.714,Ouezzane,72.98136645962732,
210,Binlwidane,Azilal,Béni Mellal-Khénifra,4,Bin El Ouidane,0.75,Bin El Ouidane,0.75,Azilal,73.04347826086956,
211,M.I.B.D,Azilal,Béni Mellal-Khénifra,4,Moulay Aissa Ben Driss,0.276,Mibladen,0.533,Midelt,73.1055900621118,
212,Lahmadna,El Kelâa des Sraghna,Marrakech-Safi,4,Hiadna,0.714,Lahsasna,0.75,Berrechid,73.16770186335404,
213,Beni Aros,Larache,Tanger-Tétouan-Al Hoceïma,4,Bni Garfett,0.6,Bni Arouss,0.842,Tétouan,73.22981366459628,
214,15 Eme Gare,Taza,Fès-Meknès,4,El Gouzate,0.476,Oulad El Garne,0.56,El Kelâa des Sraghna,73.2919254658385,
215,"A,Mediouna",Taounate,Fès-Meknès,4,Ain Mediouna,0.818,Médiouna,0.889,Nouaceur,73.35403726708074,
216,"A,Aicha",Taounate,Fès-Meknès,4,Aïn Aïcha,0.75,Ayacha,0.769,Larache,73.41614906832298,
217,tazitount,Chichaoua,Marrakech-Safi,4,Ain Tazitounte,0.783,Ain Tazitounte,0.783,Chichaoua,73.47826086956522,
218,tabrkhcht,Tinghir,Drâa-Tafilalet,4,Outerbat,0.353,Tabaroucht,0.737,Béni Mellal,73.54037267080746,
219,tabrkhacht,Tinghir,Drâa-Tafilalet,4,Outerbat,0.333,Tabaroucht,0.7,Béni Mellal,73.6024844720497,
220,Bourached,Taza,Fès-Meknès,4,Bouchfaa,0.588,Rouached,0.824,Fquih Ben Salah,73.66459627329192,
221,Jyarine,Taza,Fès-Meknès,4,Barkine,0.714,Barkine,0.714,Taza,73.72670807453416,
222,Kolla,Larache,Tanger-Tétouan-Al Hoceïma,4,Souk Tolba,0.533,Kechoula,0.615,Chichaoua,73.7888198757764,
223,Ouled Abdellah,Fquih Ben Salah,Béni Mellal-Khénifra,4,Oulad Fares El Halla,0.588,Oulad Salah,0.72,Nouaceur,73.85093167701864,
224,Boumlne,Ouarzazate,Drâa-Tafilalet,4,Toundoute,0.5,Boulemane,0.75,Boulemane,73.91304347826087,
225,Hajra,Béni Mellal,Béni Mellal-Khénifra,4,Had Bradia,0.533,Anjra,0.8,Fahs-Anjra,73.9751552795031,
226,B.S.jbel,Nador,Oriental,4,Bni Sidel Jbel,0.545,Jbiel,0.615,El Kelâa des Sraghna,74.03726708074534,
227,Hcia,Tinghir,Drâa-Tafilalet,4,M'Ssici,0.364,Zghira,0.6,Ouezzane,74.09937888198758,
228,Iwariden,Azilal,Béni Mellal-Khénifra,4,Aït Majden,0.556,Mibladen,0.625,Midelt,74.16149068322981,
229,Ras lma,Moulay Yacoub,Fès-Meknès,4,Sidi El Abed,0.105,Ras El Ma,0.875,Berkane,74.22360248447205,
230,Passage,Chichaoua,Marrakech-Safi,4,Gmassa,0.615,Assa,0.727,Assa-Zag,74.28571428571429,
231,Ouled Mbarek,Fquih Ben Salah,Béni Mellal-Khénifra,4,Oulad Zmam,0.636,Oulad M'Barek,0.88,Béni Mellal,74.34782608695652,
232,Sarghin,Tinghir,Drâa-Tafilalet,4,Tinghir,0.429,Serghina,0.8,Boulemane,74.40993788819875,
233,Alouahda,Taza,Fès-Meknès,4,Oulad Zbair,0.526,Lounasda,0.75,El Kelâa des Sraghna,74.472049689441,
234,Alqods,Agadir-Ida Ou Tanane,Souss-Massa,4,Aqesri,0.5,Al Oued,0.615,Chefchaouen,74.53416149068323,
235,Rk,Guercif,Oriental,4,Saka,0.333,Zarkat,0.5,Taounate,74.59627329192547,
236,Ighilamgoune,Tinghir,Drâa-Tafilalet,4,Kalaat M'Gouna,0.538,Ighil N'Oumgoun,0.741,Azilal,74.6583850931677,
237,Ait Hamou Ousaid,Tinghir,Drâa-Tafilalet,4,Ait Ouassif,0.593,Ait Haddou Youssef,0.706,Taroudant,74.72049689440993,
238,ait abdoune,Tinghir,Drâa-Tafilalet,4,Ait Youl,0.632,Ait Yadine,0.762,Khemisset,74.78260869565217,
239,Tichibite,Azilal,Béni Mellal-Khénifra,4,Tisqi,0.429,Chaibate,0.706,El Jadida,74.84472049689441,
240,Tigoudar,Essaouira,Marrakech-Safi,4,Lagdadra,0.5,Tigouga,0.8,Taroudant,74.90683229813665,
241,Skoura,Taounate,Fès-Meknès,4,Ourtzagh,0.571,Meskoura,0.857,Khouribga,74.96894409937889,
242,Skhinate,Fès,Fès-Meknès,4,Sidi Hrazem,0.421,Skhirate,0.875,Skhirate-Témara,75.03105590062111,
243,Ait brahim,Tinghir,Drâa-Tafilalet,4,Aït Hani,0.667,Ait Baha,0.778,Chtouka-Aït Baha,75.09316770186335,
244,Syba,Al Haouz,Marrakech-Safi,4,Sidi Badhaj,0.4,Sbouya,0.6,Sidi Ifni,75.15527950310559,
245,Guéliz,Tinghir,Drâa-Tafilalet,4,Ouaklim,0.462,Guelmim,0.769,Guelmim,75.21739130434783,
246,Ghorm El Alam,Béni Mellal,Béni Mellal-Khénifra,4,Foum El Anceur,0.519,Sour El Aaz,0.667,El Kelâa des Sraghna,75.27950310559007,
247,Ait h said,Tinghir,Drâa-Tafilalet,4,Aït Hani,0.778,Ait Said,0.889,Essaouira,75.3416149068323,
248,Takerkoust,Al Haouz,Marrakech-Safi,4,Lalla Takarkoust,0.692,Tamegroute,0.7,Zagora,75.40372670807453,
249,"S,Redouane",Ouezzane,Tanger-Tétouan-Al Hoceïma,4,Sidi Redouane,0.783,Sidi Redouane,0.783,Ouezzane,75.46583850931677,
250,bab tété,Taza,Fès-Meknès,4,Bni Lent,0.375,Bab Berred,0.667,Chefchaouen,75.527950310559,
251,bab tete,Taza,Fès-Meknès,4,Bni Lent,0.375,Bab Berred,0.667,Chefchaouen,75.59006211180125,
252,Ait Hamd,Tinghir,Drâa-Tafilalet,4,Aït Hani,0.75,Ait Hadi,0.875,Chichaoua,75.65217391304348,
253,ighilnoumgoune,Tinghir,Drâa-Tafilalet,4,Ikniouen,0.455,Ighil N'Oumgoun,0.897,Azilal,75.71428571428571,
254,Agoudid,Azilal,Béni Mellal-Khénifra,4,Agoudi N'Lkhair,0.545,Agoudim,0.857,Midelt,75.77639751552795,
255,ait h ousaid,Tinghir,Drâa-Tafilalet,4,Aït Hani,0.7,Ait Said,0.8,Essaouira,75.83850931677019,
256,AS jberl,Tinghir,Drâa-Tafilalet,4,Assoul,0.429,Sidi Jaber,0.667,Béni Mellal,75.90062111801242,
257,Z . Cheikh,Béni Mellal,Béni Mellal-Khénifra,4,Oulad M'Barek,0.348,Zaouiat Cheikh,0.667,Khénifra,75.96273291925466,
258,boukerra,Ouezzane,Tanger-Tétouan-Al Hoceïma,4,Bou Jedyane,0.526,Boukraa,0.8,Laâyoune,76.0248447204969,
259,laamarcha,Settat,Casablanca-Settat,4,Dar Chaffai,0.5,Laamamra,0.824,Chichaoua,76.08695652173913,
260,Babmrouj,Taza,Fès-Meknès,4,Bab Marzouka,0.7,Bab Marzouka,0.7,Taza,76.14906832298136,
261,Boutghrah,Tinghir,Drâa-Tafilalet,4,Outerbat,0.588,Boughriba,0.778,Berkane,76.2111801242236,
262,,Sidi Slimane,Rabat-Salé-Kénitra,4,Souk Tlet El Gharb,0.0,,0.0,,76.27329192546584,
263,,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,4,Tanger,0.0,,0.0,,76.33540372670808,
264,,Ouezzane,Tanger-Tétouan-Al Hoceïma,4,Zoumi,0.0,,0.0,,76.3975155279503,
265,***,Al Haouz,Marrakech-Safi,4,Zerkten,0.0,Zrizer,0.0,Taounate,76.45962732919254,
266,,Chichaoua,Marrakech-Safi,4,Zaouia Annahlia,0.0,,0.0,,76.52173913043478,
267,A S S gharbia,Tinghir,Drâa-Tafilalet,4,Ait Sedrate Sahl El Gharbia,0.65,Had Al Gharbia,0.741,Tanger-Assilah,76.58385093167702,
268,,Taza,Fès-Meknès,4,Zrarda,0.0,,0.0,,76.64596273291926,
269,A h said,Tinghir,Drâa-Tafilalet,3,Ferkla Es-Soufla,0.417,Ait Said,0.75,Essaouira,76.69254658385093,
270,wardana,Driouch,Oriental,3,Ourdana,0.714,Argana,0.769,Taroudant,76.73913043478261,
271,zte sidi kacem,Tétouan,Tanger-Tétouan-Al Hoceïma,3,Zaouiat Sidi Kacem,0.812,Sidi Kacem,0.833,Sidi Kacem,76.78571428571429,
272,B.Abdellah,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,3,Bni Abdellah,0.818,Bni Abdellah,0.818,Al Hoceïma,76.83229813664596,
273,Jamila,Fquih Ben Salah,Béni Mellal-Khénifra,3,Bejaad,0.5,Msila,0.727,Taza,76.87888198757764,
274,Jiyarine,Taza,Fès-Meknès,3,Barkine,0.667,Bni Yagrine,0.737,Settat,76.92546583850931,
275,"M,Bouchta",Taounate,Fès-Meknès,3,Bouhouda,0.588,Bouchfaa,0.706,Taza,76.972049689441,
276,Ihchach,Agadir-Ida Ou Tanane,Souss-Massa,3,Ait Aissi Ihahane,0.333,Tichla,0.615,Aousserd,77.01863354037268,
277,Lalla Aicha,Sidi Kacem,Rabat-Salé-Kénitra,3,Bab Tiouka,0.19,Laagagcha,0.7,Sidi Bennour,77.06521739130434,
278,ighrmloulne,Tinghir,Drâa-Tafilalet,3,Aghbalou N'Kerdous,0.483,Tighedouine,0.636,Al Haouz,77.11180124223603,
279,tansgharte,Tinghir,Drâa-Tafilalet,3,Tinghir,0.588,Tamanarte,0.737,Assa-Zag,77.1583850931677,
280,"A,chefkaoui",Al Haouz,Marrakech-Safi,3,Askaouen,0.526,Dar Chaoui,0.667,Tanger-Assilah,77.20496894409938,
281,Bit goulem,Taza,Fès-Meknès,3,Bni Lent,0.556,Sebt Gzoula,0.667,Safi,77.25155279503106,
282,Mansoura,Chefchaouen,Tanger-Tétouan-Al Hoceïma,3,Bni Mansour,0.737,Mançoura,0.875,Taounate,77.29813664596273,
283,B.chiker,Nador,Oriental,3,Beni Chiker,0.737,Beni Chiker,0.737,Nador,77.34472049689441,
284,B.ensar,Nador,Oriental,3,Beni Ansar,0.706,Beni Ansar,0.706,Nador,77.3913043478261,
285,Hay mohamadi,Agadir-Ida Ou Tanane,Souss-Massa,3,Agadir,0.444,Mohammédia,0.636,Mohammedia,77.43788819875776,
286,Hdr,Guercif,Oriental,3,Debdou,0.222,Lahdar,0.667,Youssoufia,77.48447204968944,
287,Municipalité,Nador,Oriental,3,Beni Chiker,0.435,Mzilate,0.526,Chichaoua,77.53105590062111,
288,MunicipalitéBM,Béni Mellal,Béni Mellal-Khénifra,3,Tilougguite,0.32,Bni Tadjite,0.48,Errachidia,77.5776397515528,
289,Menara,Tinghir,Drâa-Tafilalet,3,Imider,0.5,Mnasra,0.833,Kénitra,77.62422360248448,
290,Mesmoda,Ouezzane,Tanger-Tétouan-Al Hoceïma,3,Masmouda,0.8,Masmouda,0.8,Ouezzane,77.67080745341615,
291,boumalne k,Tinghir,Drâa-Tafilalet,3,Boumalne Dadès,0.75,Boumalne Dadès,0.75,Tinghir,77.71739130434783,
292,Bouargane,Agadir-Ida Ou Tanane,Souss-Massa,3,Imsouane,0.588,Ouirgane,0.824,Al Haouz,77.7639751552795,
293,Bouazier,Azilal,Béni Mellal-Khénifra,3,Bin El Ouidane,0.455,Bouarg,0.714,Nador,77.81055900621118,
294,Hay Mohamadi,Agadir-Ida Ou Tanane,Souss-Massa,3,Agadir,0.444,Mohammédia,0.636,Mohammedia,77.85714285714286,
295,Mbarek El bakay,Sefrou,Fès-Meknès,3,Dar El Hamra,0.593,Dar El Hamra,0.593,Sefrou,77.90372670807453,
296,Medina,Al Haouz,Marrakech-Safi,3,Oukaimeden,0.5,Médiouna,0.857,Nouaceur,77.95031055900621,
297,Haouafate,Sidi Kacem,Rabat-Salé-Kénitra,3,Chbanate,0.588,Al Haouafate,0.857,Sidi Slimane,77.9968944099379,
298,My Idriss,Meknès,Fès-Meknès,3,Moulay Idriss Zarhoun,0.6,Moulay Idriss Zarhoun,0.6,Meknès,78.04347826086956,
299,My brahim,Al Haouz,Marrakech-Safi,3,Moulay Brahim,0.818,Moulay Brahim,0.818,Al Haouz,78.09006211180125,
300,Ouizghet,Taounate,Fès-Meknès,3,Ourtzagh,0.625,Ouizeght,0.875,Midelt,78.13664596273291,
301,Od Youssef,Settat,Casablanca-Settat,3,Guisser,0.471,Ouled Youssef,0.87,Fquih Ben Salah,78.1832298136646,
302,"Ol,DAOUD",Taounate,Fès-Meknès,3,Oulad Daoud,0.737,Oulad Daoud,0.737,Taounate,78.22981366459628,
303,Foum er,Béni Mellal,Béni Mellal-Khénifra,3,Foum El Anceur,0.667,Foum Jemaa,0.706,El Kelâa des Sraghna,78.27639751552795,
304,Ghorm el alam,Béni Mellal,Béni Mellal-Khénifra,3,Foum El Anceur,0.519,Sour El Aaz,0.667,El Kelâa des Sraghna,78.32298136645963,
305,Gouzat,Taza,Fès-Meknès,3,El Gouzate,0.75,El Gouzate,0.75,Taza,78.3695652173913,
306,As jbel olia,Tinghir,Drâa-Tafilalet,3,Ferkla El Oulia,0.667,Ras El Ma,0.667,Berkane,78.41614906832298,
307,Oulad L'Harti,Larache,Tanger-Tétouan-Al Hoceïma,3,Oulad Ouchih,0.64,Oulad Chrif,0.75,Taza,78.46273291925466,
308,ait s jbel,Tinghir,Drâa-Tafilalet,3,Ait Sedrate Jbel El Oulia,0.571,Bni Sidel Jbel,0.667,Nador,78.50931677018633,
309,ait slimane,Tinghir,Drâa-Tafilalet,3,Aït Hani,0.632,Sidi Slimane,0.783,Sidi Slimane,78.55590062111801,
310,Oued Laabid,Azilal,Béni Mellal-Khénifra,3,Agoudi N'Lkhair,0.538,Oued Naam,0.7,Errachidia,78.6024844720497,
311,Bab M'rouj,Taza,Fès-Meknès,3,Bab Marzouka,0.727,Bab Marzouka,0.727,Taza,78.64906832298136,
312,Rquen,Tinghir,Drâa-Tafilalet,3,Ikniouen,0.462,Tafraouten,0.533,Taroudant,78.69565217391305,
313,R'Ghiwa,Taounate,Fès-Meknès,3,Rghioua,0.714,Rghioua,0.714,Taounate,78.74223602484471,
314,Sais,Fès,Fès-Meknès,3,Ain Kansra,0.429,Assais,0.8,Taroudant,78.7888198757764,
315,Ait mraou,Tinghir,Drâa-Tafilalet,3,Ait Youl,0.706,Aït Kamra,0.778,Al Hoceïma,78.83540372670808,
316,S.Kacem,Sidi Kacem,Rabat-Salé-Kénitra,3,Sidi Kacem,0.706,Sidi Kacem,0.706,Sidi Kacem,78.88198757763975,
317,S/R,Ouezzane,Tanger-Tétouan-Al Hoceïma,3,Sidi Bousber,0.4,Smara,0.5,Es-Semara,78.92857142857143,
318,Slilou,Tinghir,Drâa-Tafilalet,3,Assoul,0.5,Smimou,0.667,Essaouira,78.9751552795031,
319,Sekoura,Sefrou,Fès-Meknès,3,Sefrou,0.615,Meskoura,0.8,Khouribga,79.02173913043478,
320,Senhaja,Sefrou,Fès-Meknès,3,Dar El Hamra,0.421,Senada,0.769,Al Hoceïma,79.06832298136646,
321,Si a ben brahim,Azilal,Béni Mellal-Khénifra,3,Aït Abbas,0.5,Si Hsaien Ben Abderrahmane,0.683,El Jadida,79.11490683229813,
322,Sidi A Tadeli,Sefrou,Fès-Meknès,3,Ahl Sidi Lahcen,0.5,Sidi Al Kamel,0.769,Sidi Slimane,79.16149068322981,
323,boutaghrar,Tinghir,Drâa-Tafilalet,3,Outerbat,0.444,Boughriba,0.737,Berkane,79.2080745341615,
324,b.chiker,Nador,Oriental,3,Beni Chiker,0.737,Beni Chiker,0.737,Nador,79.25465838509317,
325,berraka,Nador,Oriental,3,Hassi Berkane,0.5,Braksa,0.769,Khouribga,79.30124223602485,
326,Ben cheikh,Al Haouz,Marrakech-Safi,3,Ouneine,0.353,Beni Chiker,0.762,Nador,79.34782608695652,
327,Beni Gorfat,Larache,Tanger-Tétouan-Al Hoceïma,3,Bni Garfett,0.727,Bni Garfett,0.727,Larache,79.3944099378882,
328,Sidi Ahmed Bouheddane,Ouezzane,Tanger-Tétouan-Al Hoceïma,3,Sidi Redouane,0.706,Sidi Ahmed Ou Amar,0.718,Taroudant,79.44099378881988,
329,Ait yassine,Tinghir,Drâa-Tafilalet,3,Ait Ouassif,0.727,Ait Yadine,0.857,Khemisset,79.48757763975155,
330,Safsaf,Sidi Kacem,Rabat-Salé-Kénitra,3,Selfat,0.333,Sefsaf,0.833,Sidi Slimane,79.53416149068323,
331,Tibihite,Béni Mellal,Béni Mellal-Khénifra,3,Tilougguite,0.526,Tighirt,0.667,Tiznit,79.5807453416149,
332,Tighboula,Béni Mellal,Béni Mellal-Khénifra,3,Timoulilt,0.556,Tigouga,0.75,Taroudant,79.62732919254658,
333,Taddert,Guercif,Oriental,3,Tissaf,0.308,Taddart,0.857,Taza,79.67391304347827,
334,Sidi ahmed tadli,Sefrou,Fès-Meknès,3,Sidi Youssef Ben Ahmed,0.526,Sidi Ahmed El Khadir,0.778,El Kelâa des Sraghna,79.72049689440993,
335,Walili,Meknès,Fès-Meknès,3,Oualili,0.769,Talilit,0.769,Driouch,79.76708074534162,
336,Ait Tazarine,Tinghir,Drâa-Tafilalet,3,Aït Elfarsi,0.609,Tazarine,0.8,Taza,79.8136645962733,
337,Tassouite,Ouarzazate,Drâa-Tafilalet,3,Tansifte,0.706,Tassousfi,0.778,Tata,79.86024844720497,
338,ait idr,Tinghir,Drâa-Tafilalet,3,Aït Hani,0.667,Ait Said,0.8,Essaouira,79.90683229813665,
339,agouidir,Chichaoua,Marrakech-Safi,3,Ighoud,0.571,Agoudim,0.8,Midelt,79.95341614906832,
340,Barraca,Nador,Oriental,3,Bouarg,0.462,Brachoua,0.667,Skhirate-Témara,80.0,
341,,Tinghir,Drâa-Tafilalet,3,Toudgha Essoufla,0.0,,0.0,,80.04658385093168,
342,15éme GARE,Taza,Fès-Meknès,3,El Gouzate,0.5,M'Garto,0.588,Khouribga,80.09316770186335,
343,Kamoune,Béni Mellal,Béni Mellal-Khénifra,3,Naour,0.5,Zaïtoune,0.667,Tétouan,80.13975155279503,
344,Kebdani,Driouch,Oriental,3,Dar El Kebdani,0.667,Dar El Kebdani,0.667,Driouch,80.1863354037267,
345,Iknioune,Ouarzazate,Drâa-Tafilalet,3,Toundoute,0.471,Ikniouen,0.875,Tinghir,80.23291925465838,
346,A. taourirt,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,3,Arbaa Taourirt,0.8,Taourirt,0.842,Taourirt,80.27950310559007,
347,segangan,Nador,Oriental,3,Zeghanghane,0.737,Zeghanghane,0.737,Nador,80.32608695652173,
348,,Errachidia,Drâa-Tafilalet,3,Taouz,0.0,,0.0,,80.37267080745342,
349,Jnan ward,Fès,Fès-Meknès,3,Ain Kansra,0.421,Ain Harrouda,0.571,Médiouna,80.4192546583851,
350,Laanoucer,Sefrou,Fès-Meknès,3,Laanoussar,0.737,Laanoussar,0.737,Sefrou,80.46583850931677,
351,ouarchdik,Tinghir,Drâa-Tafilalet,2,Ouaklim,0.5,Rouached,0.706,Fquih Ben Salah,80.4968944099379,
352,"B,Ounjel",Taounate,Fès-Meknès,2,Bouadel,0.667,Bouadel,0.667,Taounate,80.527950310559,
353,senhaja,Sefrou,Fès-Meknès,2,Dar El Hamra,0.421,Senada,0.769,Al Hoceïma,80.55900621118012,
354,A H Said,Tinghir,Drâa-Tafilalet,2,Ferkla Es-Soufla,0.417,Ait Said,0.75,Essaouira,80.59006211180125,
355,A H oyahya,Tinghir,Drâa-Tafilalet,2,Aït Hani,0.444,Ait Yahya,0.737,Midelt,80.62111801242236,
356,A S Jbel,Tinghir,Drâa-Tafilalet,2,Ait Sedrate Jbel El Oulia,0.485,Bni Sidel Jbel,0.636,Nador,80.65217391304348,
357,tasouit,Tinghir,Drâa-Tafilalet,2,Assoul,0.615,Tarsouat,0.8,Chtouka-Aït Baha,80.6832298136646,
358,old taher,Taounate,Fès-Meknès,2,Oulad Daoud,0.5,Oulad Amer,0.737,El Kelâa des Sraghna,80.71428571428571,
359,saiss,Fès,Fès-Meknès,2,Ain Kansra,0.4,Assaisse,0.769,Ouarzazate,80.74534161490683,
360,"s,yahya/zeroual",Taounate,Fès-Meknès,2,Sidi Yahya Bni Zeroual,0.757,Sidi Yahya Bni Zeroual,0.757,Taounate,80.77639751552795,
361,Bnisadden,Sefrou,Fès-Meknès,2,Ahl Sidi Lahcen,0.333,Bni Said,0.706,Tétouan,80.80745341614907,
362,J Melha,Sidi Kacem,Rabat-Salé-Kénitra,2,Selfat,0.462,Jorf El Melha,0.7,Ouezzane,80.83850931677019,
363,Isskssi,Azilal,Béni Mellal-Khénifra,2,Tisqi,0.5,Isseksi,0.857,Béni Mellal,80.8695652173913,
364,Ikaouen,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Imzouren,0.667,Imaouen,0.857,Taroudant,80.90062111801242,
365,Khlalta,Fquih Ben Salah,Béni Mellal-Khénifra,2,Fkih Ben Salah,0.381,Khlalfa,0.857,Taounate,80.93167701863354,
366,Laaouina,Azilal,Béni Mellal-Khénifra,2,Taounza,0.667,Laaouinate,0.889,Jerada,80.96273291925466,
367,Bensergao,Ouarzazate,Drâa-Tafilalet,2,Amerzgane,0.444,El Kansera,0.632,Khemisset,80.99378881987577,
368,Bensergao,Agadir-Ida Ou Tanane,Souss-Massa,2,Idmine,0.133,El Kansera,0.632,Khemisset,81.0248447204969,
369,zaouit nogart,Tinghir,Drâa-Tafilalet,2,Ait Ouassif,0.5,Zaouiat Saiss,0.615,Sidi Bennour,81.05590062111801,
370,***,Azilal,Béni Mellal-Khénifra,2,Zaouiat Ahansal,0.0,Zrizer,0.0,Taounate,81.08695652173913,
371,,Taounate,Fès-Meknès,2,Zrizer,0.0,,0.0,,81.11801242236025,
372,,Béni Mellal,Béni Mellal-Khénifra,2,Timoulilt,0.0,,0.0,,81.14906832298136,
373,ait kassi,Tinghir,Drâa-Tafilalet,2,Ait Ouassif,0.8,Ait Ouassif,0.8,Tinghir,81.18012422360249,
374,ait harouit,Tinghir,Drâa-Tafilalet,2,Aït Hani,0.737,Ait Hammou,0.762,Rehamna,81.2111801242236,
375,ait hamou oussaid,Tinghir,Drâa-Tafilalet,2,Ait Ouassif,0.643,Ait Haddou Youssef,0.743,Taroudant,81.24223602484471,
376,ait h said,Tinghir,Drâa-Tafilalet,2,Aït Hani,0.778,Ait Said,0.889,Essaouira,81.27329192546584,
377,ait gmate,Tinghir,Drâa-Tafilalet,2,Aït Hani,0.588,Ait Mait,0.824,Driouch,81.30434782608695,
378,ait driss,Tinghir,Drâa-Tafilalet,2,Ait Ouassif,0.6,Ait Oumdis,0.737,Ouarzazate,81.33540372670808,
379,Tessa,Taounate,Fès-Meknès,2,Tissa,0.8,Tissa,0.8,Taounate,81.36645962732919,
380,Tasouit,Tinghir,Drâa-Tafilalet,2,Assoul,0.615,Tarsouat,0.8,Chtouka-Aït Baha,81.3975155279503,
381,Timskalte,Tinghir,Drâa-Tafilalet,2,Tilmi,0.429,Takate,0.667,Essaouira,81.42857142857143,
382,Ait atab,Azilal,Béni Mellal-Khénifra,2,Aït Abbas,0.706,Ait Taleb,0.824,Rehamna,81.45962732919254,
383,Bouzemalne,Taza,Fès-Meknès,2,Bouyablane,0.7,Boulemane,0.842,Boulemane,81.49068322981367,
384,Cmsu,Agadir-Ida Ou Tanane,Souss-Massa,2,Imsouane,0.5,Missour,0.545,Boulemane,81.52173913043478,
385,Chouiter,Al Haouz,Marrakech-Safi,2,Tighedouine,0.526,Aïn Chouater,0.7,Errachidia,81.5527950310559,
386,Ait Sawane,Ouarzazate,Drâa-Tafilalet,2,Ait Zineb,0.632,Ait Naamane,0.762,El Hajeb,81.58385093167702,
387,Toufist,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Targuist,0.667,Tounfit,0.857,Midelt,81.61490683229813,
388,Tizagui,Azilal,Béni Mellal-Khénifra,2,Tisqi,0.5,Touizgui,0.8,Assa-Zag,81.64596273291926,
389,Z'Rizar,Taounate,Fès-Meknès,2,Zrizer,0.769,Zrizer,0.769,Taounate,81.67701863354037,
390,Zerhoune,Meknès,Fès-Meknès,2,Ouislane,0.5,Mzefroune,0.824,Ouezzane,81.7080745341615,
391,Ain dorrij,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Ain Dfali,0.632,Aïn Orma,0.667,Meknès,81.73913043478261,
392,Syba,Chichaoua,Marrakech-Safi,2,Saidate,0.364,Sbouya,0.6,Sidi Ifni,81.77018633540372,
393,Souk laarbaa,Kénitra,Rabat-Salé-Kénitra,2,Oulad Slama,0.522,Souk Tolba,0.727,Larache,81.80124223602485,
394,Somâa,Béni Mellal,Béni Mellal-Khénifra,2,Oulad Gnaou,0.375,Smara,0.8,Es-Semara,81.83229813664596,
395,Taglafte,Azilal,Béni Mellal-Khénifra,2,Tanant,0.571,Tagleft,0.8,Béni Mellal,81.86335403726709,
396,Tadout,Boulemane,Fès-Meknès,2,Talzemt,0.462,Tazouta,0.769,Sefrou,81.8944099378882,
397,Ait majber,Tinghir,Drâa-Tafilalet,2,Aït Elfarsi,0.571,Aït Majden,0.8,Azilal,81.92546583850931,
398,Dg,Sidi Kacem,Rabat-Salé-Kénitra,2,Zaggota,0.222,Madagh,0.5,Berkane,81.95652173913044,
399,Darksdani,Driouch,Oriental,2,Dar El Kebdani,0.696,Dar El Kebdani,0.696,Driouch,81.98757763975155,
400,Tabrkhachet,Tinghir,Drâa-Tafilalet,2,Souk Lakhmis Dades,0.345,Tabaroucht,0.667,Béni Mellal,82.01863354037268,
401,Tarmast,Fquih Ben Salah,Béni Mellal-Khénifra,2,Tachraft,0.667,Tarmigt,0.714,Ouarzazate,82.04968944099379,
402,Taoujtat,El Hajeb,Fès-Meknès,2,Agourai,0.533,Tazouta,0.8,Sefrou,82.0807453416149,
403,Takerkouste,Al Haouz,Marrakech-Safi,2,Lalla Takarkoust,0.667,Tamegroute,0.762,Zagora,82.11180124223603,
