rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
154,Ouled Mbarek,Fquih Ben Salah,4,Oulad Zmam,0.636,Oulad M'Barek,0.88,Béni Mellal,44.171779141104295,
155,Passage,Chichaoua,4,Gmassa,0.615,Assa,0.727,Assa-Zag,44.31613136051967,
156,Boumlne,Ouarzazate,4,Toundoute,0.5,Boulemane,0.75,Boulemane,44.460483579935044,
157,laamarcha,Settat,4,Dar Chaffai,0.5,Laamamra,0.824,Chichaoua,44.60483579935042,
158,Agoudid,Azilal,4,Agoudi N'Lkhair,0.545,Agoudim,0.857,Midelt,44.749188018765786,
159,M.I.B.D,Azilal,4,Moulay Aissa Ben Driss,0.276,Mibladen,0.533,Midelt,44.89354023818116,
160,Lahmadna,El Kelâa des Sraghna,4,Hiadna,0.714,Lahsasna,0.75,Berrechid,45.037892457596534,
161,ighilnoumgoune,Tinghir,4,Ikniouen,0.455,Ighil N'Oumgoun,0.897,Azilal,45.18224467701191,
162,Sarghin,Tinghir,4,Tinghir,0.429,Serghina,0.8,Boulemane,45.32659689642728,
163,Ait brahim,Tinghir,4,Aït Hani,0.667,Ait Baha,0.778,Chtouka-Aït Baha,45.47094911584266,
164,ait abdoune,Tinghir,4,Ait Youl,0.632,Ait Yadine,0.762,Khemisset,45.61530133525803,
165,Skhinate,Fès,4,Sidi Hrazem,0.421,Skhirate,0.875,Skhirate-Témara,45.759653554673406,
166,"S,Redouane",Ouezzane,4,Sidi Redouane,0.783,Sidi Redouane,0.783,Ouezzane,45.90400577408877,
167,Boutghrah,Tinghir,4,Outerbat,0.588,Boughriba,0.778,Berkane,46.04835799350415,
168,B.S.jbel,Nador,4,Bni Sidel Jbel,0.545,Jbiel,0.615,El Kelâa des Sraghna,46.19271021291952,
169,Ras lma,Moulay Yacoub,4,Sidi El Abed,0.105,Ras El Ma,0.875,Berkane,46.337062432334896,
170,Ouled Abdellah,Fquih Ben Salah,4,Oulad Fares El Halla,0.588,Oulad Salah,0.72,Nouaceur,46.48141465175027,
171,Rk,Guercif,4,Saka,0.333,Zarkat,0.5,Taounate,46.625766871165645,
172,boukerra,Ouezzane,4,Bou Jedyane,0.526,Boukraa,0.8,Laâyoune,46.77011909058102,
173,Z . Cheikh,Béni Mellal,4,Oulad M'Barek,0.348,Zaouiat Cheikh,0.667,Khénifra,46.914471309996394,
174,Bourached,Taza,4,Bouchfaa,0.588,Rouached,0.824,Fquih Ben Salah,47.05882352941177,
175,Ghorm El Alam,Béni Mellal,4,Foum El Anceur,0.519,Sour El Aaz,0.667,El Kelâa des Sraghna,47.203175748827135,
176,tazitount,Chichaoua,4,Ain Tazitounte,0.783,Ain Tazitounte,0.783,Chichaoua,47.34752796824251,
177,Tichibite,Azilal,4,Tisqi,0.429,Chaibate,0.706,El Jadida,47.491880187657884,
178,tabrkhacht,Tinghir,4,Outerbat,0.333,Tabaroucht,0.7,Béni Mellal,47.63623240707326,
179,As jbel olia,Tinghir,3,Ferkla El Oulia,0.667,Ras El Ma,0.667,Berkane,47.74449657163479,
180,Kamoune,Béni Mellal,3,Naour,0.5,Zaïtoune,0.667,Tétouan,47.852760736196316,
181,Jnan ward,Fès,3,Ain Kansra,0.421,Ain Harrouda,0.571,Médiouna,47.96102490075785,
182,Ait mraou,Tinghir,3,Ait Youl,0.706,Aït Kamra,0.778,Al Hoceïma,48.06928906531938,
183,Kebdani,Driouch,3,Dar El Kebdani,0.667,Dar El Kebdani,0.667,Driouch,48.17755322988091,
184,Ait Tazarine,Tinghir,3,Aït Elfarsi,0.609,Tazarine,0.8,Taza,48.28581739444244,
185,Ait yassine,Tinghir,3,Ait Ouassif,0.727,Ait Yadine,0.857,Khemisset,48.39408155900397,
186,Hdr,Guercif,3,Debdou,0.222,Lahdar,0.667,Youssoufia,48.5023457235655,
187,A h said,Tinghir,3,Ferkla Es-Soufla,0.417,Ait Said,0.75,Essaouira,48.61060988812703,
188,zte sidi kacem,Tétouan,3,Zaouiat Sidi Kacem,0.812,Sidi Kacem,0.833,Sidi Kacem,48.71887405268856,
189,Iknioune,Ouarzazate,3,Toundoute,0.471,Ikniouen,0.875,Tinghir,48.82713821725009,
190,Jiyarine,Taza,3,Barkine,0.667,Bni Yagrine,0.737,Settat,48.93540238181162,
191,Ihchach,Agadir-Ida Ou Tanane,3,Ait Aissi Ihahane,0.333,Tichla,0.615,Aousserd,49.04366654637315,
192,Gouzat,Taza,3,El Gouzate,0.75,El Gouzate,0.75,Taza,49.15193071093468,
193,Jamila,Fquih Ben Salah,3,Bejaad,0.5,Msila,0.727,Taza,49.26019487549621,
194,Ben cheikh,Al Haouz,3,Ouneine,0.353,Beni Chiker,0.762,Nador,49.36845904005774,
195,B.chiker,Nador,3,Beni Chiker,0.737,Beni Chiker,0.737,Nador,49.47672320461927,
196,Safsaf,Sidi Kacem,3,Selfat,0.333,Sefsaf,0.833,Sidi Slimane,49.5849873691808,
197,S/R,Ouezzane,3,Sidi Bousber,0.4,Smara,0.5,Es-Semara,49.693251533742334,
198,Sais,Fès,3,Ain Kansra,0.429,Assais,0.8,Taroudant,49.80151569830386,
199,B.ensar,Nador,3,Beni Ansar,0.706,Beni Ansar,0.706,Nador,49.90977986286539,
200,Bab M'rouj,Taza,3,Bab Marzouka,0.727,Bab Marzouka,0.727,Taza,50.018044027426924,
201,B.Abdellah,Al Hoceïma,3,Bni Abdellah,0.818,Bni Abdellah,0.818,Al Hoceïma,50.12630819198845,
202,R'Ghiwa,Taounate,3,Rghioua,0.714,Rghioua,0.714,Taounate,50.23457235654998,
203,Ouizghet,Taounate,3,Ourtzagh,0.625,Ouizeght,0.875,Midelt,50.342836521111515,
204,Oulad L'Harti,Larache,3,Oulad Ouchih,0.64,Oulad Chrif,0.75,Taza,50.45110068567304,
205,"Ol,DAOUD",Taounate,3,Oulad Daoud,0.737,Oulad Daoud,0.737,Taounate,50.55936485023457,
206,ait idr,Tinghir,3,Aït Hani,0.667,Ait Said,0.8,Essaouira,50.667629014796105,
207,Rquen,Tinghir,3,Ikniouen,0.462,Tafraouten,0.533,Taroudant,50.77589317935763,
208,Laanoucer,Sefrou,3,Laanoussar,0.737,Laanoussar,0.737,Sefrou,50.88415734391916,
209,Foum er,Béni Mellal,3,Foum El Anceur,0.667,Foum Jemaa,0.706,El Kelâa des Sraghna,50.992421508480696,
210,Mesmoda,Ouezzane,3,Masmouda,0.8,Masmouda,0.8,Ouezzane,51.10068567304222,
211,Mbarek El bakay,Sefrou,3,Dar El Hamra,0.593,Dar El Hamra,0.593,Sefrou,51.208949837603754,
212,ighrmloulne,Tinghir,3,Aghbalou N'Kerdous,0.483,Tighedouine,0.636,Al Haouz,51.31721400216529,
213,boutaghrar,Tinghir,3,Outerbat,0.444,Boughriba,0.737,Berkane,51.42547816672681,
