rang,Commune,Province,Region_std,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,CONFIRME_MANQUANT_REFERENTIEL,DECISION_HUMAINE
394,Segangan,Nador,Oriental,2,Zeghanghane,0.737,Zeghanghane,0.737,Nador,77.07986688851913,False,
395,Sebab,Guercif,Oriental,2,Assebbab,0.769,Assebbab,0.769,Guercif,77.12146422628952,False,
396,Sbab,Guercif,Oriental,2,Assebbab,0.667,Assebbab,0.667,Guercif,77.1630615640599,False,
397,B'sabsa,Taounate,Fès-Meknès,2,El Bsabsa,0.75,El Bsabsa,0.75,Taounate,77.20465890183029,False,
398,Sidi Abdelaziz,Sidi Slimane,Rabat-Salé-Kénitra,2,Sidi Al Kamel,0.593,Sidi Abdeljalil,0.828,Safi,77.24625623960067,False,
399,"Sidi A,Tadli",Sefrou,Fès-Meknès,2,Ahl Sidi Lahcen,0.444,Sidi Ali,0.8,Zagora,77.28785357737105,False,
400,B'Sabsa,Taounate,Fès-Meknès,2,El Bsabsa,0.75,El Bsabsa,0.75,Taounate,77.32945091514144,False,
401,Somâa,Béni Mellal,Béni Mellal-Khénifra,2,Oulad Gnaou,0.375,Smara,0.8,Es-Semara,77.37104825291182,False,
402,Fersiou,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Teroual,0.571,Tafersit,0.667,Driouch,77.4126455906822,False,
403,Feriata,Béni Mellal,Béni Mellal-Khénifra,2,Boutferda,0.5,Fraita,0.769,El Kelâa des Sraghna,77.45424292845257,False,
404,B.Boufrah,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Bni Boufrah,0.8,Bni Boufrah,0.8,Al Hoceïma,77.49584026622296,False,
405,Skhinat,Fès,Fès-Meknès,2,Ain Bida,0.4,Skhirate,0.8,Skhirate-Témara,77.53743760399334,False,
406,Lkhmis,Tinghir,Drâa-Tafilalet,2,Tilmi,0.545,Khémisset,0.667,Khemisset,77.57903494176372,False,
407,Tabrkhachet,Tinghir,Drâa-Tafilalet,2,Souk Lakhmis Dades,0.345,Tabaroucht,0.667,Béni Mellal,77.6206322795341,False,
408,Syba,Chichaoua,Marrakech-Safi,2,Saidate,0.364,Sbouya,0.6,Sidi Ifni,77.66222961730449,False,
409,B.Bch,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Bni Bouayach,0.471,Sabbah,0.545,Skhirate-Témara,77.70382695507487,False,
410,Souk laarbaa,Kénitra,Rabat-Salé-Kénitra,2,Oulad Slama,0.522,Souk Tolba,0.727,Larache,77.74542429284526,False,
411,Takerkouste,Al Haouz,Marrakech-Safi,2,Lalla Takarkoust,0.667,Tamegroute,0.762,Zagora,77.78702163061564,False,
412,Ait atab,Azilal,Béni Mellal-Khénifra,2,Aït Abbas,0.706,Ait Taleb,0.824,Rehamna,77.82861896838602,False,
413,Taglafte,Azilal,Béni Mellal-Khénifra,2,Tanant,0.571,Tagleft,0.8,Béni Mellal,77.87021630615641,False,
414,Menara,Béni Mellal,Béni Mellal-Khénifra,2,Naour,0.545,Mnasra,0.833,Kénitra,77.91181364392679,False,
415,Tadout,Boulemane,Fès-Meknès,2,Talzemt,0.462,Tazouta,0.769,Sefrou,77.95341098169717,False,
416,J Melha,Sidi Kacem,Rabat-Salé-Kénitra,2,Selfat,0.462,Jorf El Melha,0.7,Ouezzane,77.99500831946756,False,
417,As s charkia,Tinghir,Drâa-Tafilalet,2,Ait Sedrate Sahl Charkia,0.611,Meknassa Acharqia,0.621,Taza,78.03660565723794,False,
418,Tasouit,Tinghir,Drâa-Tafilalet,2,Assoul,0.615,Tarsouat,0.8,Chtouka-Aït Baha,78.07820299500833,False,
419,Tarmast,Fquih Ben Salah,Béni Mellal-Khénifra,2,Tachraft,0.667,Tarmigt,0.714,Ouarzazate,78.11980033277871,False,
420,Taoujtat,El Hajeb,Fès-Meknès,2,Agourai,0.533,Tazouta,0.8,Sefrou,78.16139767054908,False,
421,As jbel sofla,Tinghir,Drâa-Tafilalet,2,Ait Sedrate Jbel El Soufla,0.667,Ait Sedrate Jbel El Soufla,0.667,Tinghir,78.20299500831946,False,
422,Aait adel,Al Haouz,Marrakech-Safi,2,Sti Fadma,0.444,Ait Aadel,0.889,El Kelâa des Sraghna,78.24459234608985,False,
423,B.bouayach II,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Bni Bouayach,0.72,Bni Bouayach,0.72,Al Hoceïma,78.28618968386023,False,
424,A.taourirt,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Arbaa Taourirt,0.75,Taourirt,0.889,Taourirt,78.32778702163061,False,
425,Bouzemalne,Taza,Fès-Meknès,2,Bouyablane,0.7,Boulemane,0.842,Boulemane,78.369384359401,False,
426,B.S. louta,Nador,Oriental,2,Bni Sidel Louta,0.64,Louta,0.667,Al Hoceïma,78.41098169717138,False,
427,Mokrissat,Chefchaouen,Tanger-Tétouan-Al Hoceïma,2,Moqrisset,0.778,Moqrisset,0.778,Chefchaouen,78.45257903494176,False,
428,Isskssi,Azilal,Béni Mellal-Khénifra,2,Tisqi,0.5,Isseksi,0.857,Béni Mellal,78.49417637271215,False,
429,B.Hmed,Chefchaouen,Tanger-Tétouan-Al Hoceïma,2,Bni Ahmed Gharbia,0.435,Ben Ahmed,0.667,Khouribga,78.53577371048253,False,
430,Tessa,Taounate,Fès-Meknès,2,Tissa,0.8,Tissa,0.8,Taounate,78.57737104825291,False,
431,Tizagui,Azilal,Béni Mellal-Khénifra,2,Tisqi,0.5,Touizgui,0.8,Assa-Zag,78.6189683860233,False,
432,Timskalte,Tinghir,Drâa-Tafilalet,2,Tilmi,0.429,Takate,0.667,Essaouira,78.66056572379368,False,
433,Guèliz,Tinghir,Drâa-Tafilalet,2,Ouaklim,0.462,Guelmim,0.769,Guelmim,78.70216306156406,False,
434,Mly Hassan,Tétouan,Tanger-Tétouan-Al Hoceïma,2,Bni Arouss,0.4,Massa,0.667,Tiznit,78.74376039933445,False,
435,Toufist,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Targuist,0.667,Tounfit,0.857,Midelt,78.78535773710483,False,
436,Zerhoune,Meknès,Fès-Meknès,2,Ouislane,0.5,Mzefroune,0.824,Ouezzane,78.8269550748752,False,
437,Z'Rizar,Taounate,Fès-Meknès,2,Zrizer,0.769,Zrizer,0.769,Taounate,78.86855241264558,False,
438,Mazrawa,Taounate,Fès-Meknès,2,Mezraoua,0.667,Smara,0.667,Es-Semara,78.91014975041597,False,
439,Marjane,Meknès,Fès-Meknès,2,Majjate,0.714,Zemrane,0.714,El Kelâa des Sraghna,78.95174708818635,False,
440,Cmsu,Agadir-Ida Ou Tanane,Souss-Massa,2,Imsouane,0.5,Missour,0.545,Boulemane,78.99334442595674,False,
441,ait Attab,Azilal,Béni Mellal-Khénifra,2,Aït Abbas,0.667,Ait Taleb,0.778,Rehamna,79.03494176372712,True,
442,ain bziz,Meknès,Fès-Meknès,2,Aïn Orma,0.5,Ain Sbit,0.75,Khemisset,79.0765391014975,False,
443,Lakmis,Tinghir,Drâa-Tafilalet,2,Tilmi,0.545,Lamssid,0.615,Boujdour,79.11813643926789,False,
444,ait harouit,Tinghir,Drâa-Tafilalet,2,Aït Hani,0.737,Ait Hammou,0.762,Rehamna,79.15973377703827,False,
445,ait hamou oussaid,Tinghir,Drâa-Tafilalet,2,Ait Ouassif,0.643,Ait Haddou Youssef,0.743,Taroudant,79.20133111480865,False,
446,ait h said,Tinghir,Drâa-Tafilalet,2,Aït Hani,0.778,Ait Said,0.889,Essaouira,79.24292845257904,False,
447,Chouiter,Al Haouz,Marrakech-Safi,2,Tighedouine,0.526,Aïn Chouater,0.7,Errachidia,79.28452579034942,False,
448,ait gmate,Tinghir,Drâa-Tafilalet,2,Aït Hani,0.588,Ait Mait,0.824,Driouch,79.3261231281198,False,
449,ait driss,Tinghir,Drâa-Tafilalet,2,Ait Ouassif,0.6,Ait Oumdis,0.737,Ouarzazate,79.36772046589019,False,
450,Hay Elmohammadi,Agadir-Ida Ou Tanane,Souss-Massa,2,Agadir,0.381,Mohammédia,0.64,Mohammedia,79.40931780366057,False,
451,ait boullal,Tinghir,Drâa-Tafilalet,2,Ait Youl,0.737,Ait Ouallal,0.909,Zagora,79.45091514143095,False,
452,Marinienne,Fès,Fès-Meknès,2,Ain Bida,0.444,Mallalienne,0.667,Tétouan,79.49251247920134,False,
453,B.hadifa,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Bni Hadifa,0.778,Bni Hadifa,0.778,Al Hoceïma,79.53410981697171,False,
454,Marigha,Al Haouz,Marrakech-Safi,2,Amghras,0.571,Mtarnagha,0.75,Sefrou,79.57570715474209,False,
455,"A, kansara",Moulay Yacoub,Fès-Meknès,2,Laajajra,0.556,Ain Kansra,0.8,Fès,79.61730449251247,False,
456,Alouhda,Taza,Fès-Meknès,2,Bouchfaa,0.533,Tabouda,0.714,Chefchaouen,79.65890183028286,False,
457,ait ouffi,Tinghir,Drâa-Tafilalet,2,Ait Youl,0.706,Ait Ourir,0.778,Marrakech,79.70049916805324,False,
458,ait kassi,Tinghir,Drâa-Tafilalet,2,Ait Ouassif,0.8,Ait Ouassif,0.8,Tinghir,79.74209650582362,False,
459,Alhaouz,Al Haouz,Marrakech-Safi,2,Tahannaout,0.588,Haouza,0.769,Es-Semara,79.78369384359401,False,
460,akdim,Tinghir,Drâa-Tafilalet,2,Ouaklim,0.667,Aklim,0.8,Berkane,79.82529118136439,False,
461,ait wahi,Tinghir,Drâa-Tafilalet,2,Aït Hani,0.75,Ait Said,0.75,Essaouira,79.86688851913478,False,
462,Ben Yazgha,Sefrou,Fès-Meknès,2,Mtarnagha,0.526,Beni Ftah,0.632,Taza,79.90848585690516,False,
463,Hamria,Moulay Yacoub,Fès-Meknès,2,Charqaoua,0.533,Lamrija,0.769,Guercif,79.95008319467554,False,
464,Bel,Sidi Kacem,Rabat-Salé-Kénitra,2,Selfat,0.444,Jbiel,0.75,El Kelâa des Sraghna,79.99168053244593,False,
465,Dg,Sidi Kacem,Rabat-Salé-Kénitra,2,Zaggota,0.222,Madagh,0.5,Berkane,80.03327787021631,False,
466,Barraka,Nador,Oriental,2,Arekmane,0.4,Braksa,0.769,Khouribga,80.0748752079867,False,
467,Beni Gorfet,Larache,Tanger-Tétouan-Al Hoceïma,2,Bni Garfett,0.818,Bni Garfett,0.818,Larache,80.11647254575708,False,
468,Marenienne,Fès,Fès-Meknès,2,Louadaine,0.421,Mallalienne,0.667,Tétouan,80.15806988352746,False,
469,bab mrouj,Taza,Fès-Meknès,2,Bab Marzouka,0.762,Bab Marzouka,0.762,Taza,80.19966722129784,False,
470,Bencharrou,Béni Mellal,Béni Mellal-Khénifra,2,Naour,0.533,Ben Maachou,0.667,El Jadida,80.24126455906821,False,
471,akdim ait mraou,Tinghir,Drâa-Tafilalet,2,Ait Youl,0.522,Sebt Aït Rahou,0.621,Khemisset,80.2828618968386,False,
472,bouchair,Settat,Casablanca-Settat,2,Oulad Sghir,0.526,Bouqachmir,0.778,Khemisset,80.32445923460898,False,
473,bni enssar,Nador,Oriental,2,Beni Ansar,0.8,Beni Ansar,0.8,Nador,80.36605657237936,False,
474,Amria 2,Béni Mellal,Béni Mellal-Khénifra,2,Had Bradia,0.471,Lamrija,0.714,Guercif,80.40765391014975,False,
475,chahid baha,Sefrou,Fès-Meknès,2,Ahl Sidi Lahcen,0.538,Ait Baha,0.737,Chtouka-Aït Baha,80.44925124792013,False,
476,Amria,Béni Mellal,Béni Mellal-Khénifra,2,Had Bradia,0.533,Lamrija,0.833,Guercif,80.49084858569051,False,
477,bouzmlane,Taza,Fès-Meknès,2,Bouyablane,0.737,Boulemane,0.778,Boulemane,80.5324459234609,False,
478,Kolea,Inezgane-Aït Melloul,Souss-Massa,2,Ouled Teima,0.5,Boulemane,0.571,Boulemane,80.57404326123128,False,
479,boumardoul,Tinghir,Drâa-Tafilalet,2,Bou Azmou,0.632,Bouarouss,0.737,Taounate,80.61564059900167,False,
480,Darksdani,Driouch,Oriental,2,Dar El Kebdani,0.696,Dar El Kebdani,0.696,Driouch,80.65723793677205,False,
481,Koka si Moussa,Settat,Casablanca-Settat,2,Zaouiat Sidi Ben Hamdoun,0.474,Sidi Moussa,0.72,El Kelâa des Sraghna,80.69883527454243,False,
482,iazaneen,Nador,Oriental,2,Iaazzanene,0.778,Iaazzanene,0.778,Nador,80.74043261231282,False,
483,hay salam kelaa,Tinghir,Drâa-Tafilalet,2,Ait Sedrate Sahl El Gharbia,0.476,Had Al Gharbia,0.483,Tanger-Assilah,80.7820299500832,False,
484,hadkouret,Sidi Kacem,Rabat-Salé-Kénitra,2,Taoughilt,0.444,Had Kourt,0.889,Ouezzane,80.82362728785358,False,
485,Alwahda,Taza,Fès-Meknès,2,Tahla,0.5,Lahdar,0.769,Youssoufia,80.86522462562397,False,
486,ighramloulne,Tinghir,Drâa-Tafilalet,2,Aghbalou N'Kerdous,0.533,Ighzrane,0.7,Taza,80.90682196339434,False,
487,ait boamrane,Tinghir,Drâa-Tafilalet,2,Aït Hani,0.6,Ait Naamane,0.783,El Hajeb,80.94841930116472,False,
488,Ait Sawane,Ouarzazate,Drâa-Tafilalet,2,Ait Zineb,0.632,Ait Naamane,0.762,El Hajeb,80.9900166389351,False,
489,igheram amazdar,Tinghir,Drâa-Tafilalet,2,Ait Sedrate Sahl Charkia,0.41,M'Saada,0.545,Sidi Slimane,81.03161397670549,False,
490,ida ouguerd,Essaouira,Marrakech-Safi,2,Aguerd,0.706,Ida Ougoummad,0.75,Al Haouz,81.07321131447587,False,
491,ibrghoussne,Tinghir,Drâa-Tafilalet,2,Ait Ouassif,0.455,Tighedouine,0.636,Al Haouz,81.11480865224625,False,
492,Bensergao,Ouarzazate,Drâa-Tafilalet,2,Amerzgane,0.444,El Kansera,0.632,Khemisset,81.15640599001664,False,
493,khmiss dadaes,Tinghir,Drâa-Tafilalet,2,Souk Lakhmis Dades,0.71,Souk Lakhmis Dades,0.71,Tinghir,81.19800332778702,False,
494,Mesker,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Moulay Abdelkader,0.435,Meskoura,0.714,Khouribga,81.2396006655574,False,
495,"k,militaire",Taza,Fès-Meknès,2,Msila,0.5,Mzilate,0.556,Chichaoua,81.28119800332779,False,
496,my bouchta,Taounate,Fès-Meknès,2,Bni Bouchibet,0.609,Moulay Bouchta,0.833,Moulay Yacoub,81.32279534109817,False,
497,mezguitem,Guercif,Oriental,2,Mazguitam,0.778,Mezguita,0.824,Ouarzazate,81.36439267886855,False,
498,merna,Tinghir,Drâa-Tafilalet,2,Imider,0.545,Merija,0.727,Jerada,81.40599001663894,False,
499,mecheraa laine,Taroudant,Souss-Massa,2,Machraa El Ain,0.786,Machraa El Ain,0.786,Taroudant,81.44758735440932,False,
500,magaz kelaa,Tinghir,Drâa-Tafilalet,2,Aït Elfarsi,0.455,Melaab,0.588,Errachidia,81.4891846921797,False,
501,"s,yahya/zeroual",Taounate,Fès-Meknès,2,Sidi Yahya Bni Zeroual,0.757,Sidi Yahya Bni Zeroual,0.757,Taounate,81.53078202995009,False,
502,ouarchdik,Tinghir,Drâa-Tafilalet,2,Ouaklim,0.5,Rouached,0.706,Fquih Ben Salah,81.57237936772047,False,
503,old taher,Taounate,Fès-Meknès,2,Oulad Daoud,0.5,Oulad Amer,0.737,El Kelâa des Sraghna,81.61397670549084,False,
504,sidi h o hamd,Essaouira,Marrakech-Safi,2,Sidi H'Mad Ou Hamed,0.812,Sidi H'Mad Ou Hamed,0.812,Essaouira,81.65557404326123,False,
505,sidi ahmed tadli,Sefrou,Fès-Meknès,2,Sidi Youssef Ben Ahmed,0.526,Sidi Ahmed El Khadir,0.778,El Kelâa des Sraghna,81.69717138103161,False,
506,senhaja,Sefrou,Fès-Meknès,2,Dar El Hamra,0.421,Senada,0.769,Al Hoceïma,81.73876871880199,False,
507,Bensergao,Agadir-Ida Ou Tanane,Souss-Massa,2,Idmine,0.133,El Kansera,0.632,Khemisset,81.78036605657238,False,
508,Douar Oulad Mkadem,Guelmim,Guelmim-Oued Noun,2,Aouint Yghomane,0.242,Houara Oulad Raho,0.686,Guercif,81.82196339434276,False,
509,saiss,Fès,Fès-Meknès,2,Ain Kansra,0.4,Assaisse,0.769,Ouarzazate,81.86356073211314,False,
510,tasouit,Tinghir,Drâa-Tafilalet,2,Assoul,0.615,Tarsouat,0.8,Chtouka-Aït Baha,81.90515806988353,False,
511,tarmoucht,Tinghir,Drâa-Tafilalet,2,Bou Azmou,0.444,Tabaroucht,0.842,Béni Mellal,81.94675540765391,False,
512,M'kanssa,Taounate,Fès-Meknès,2,Kissane,0.533,Mkansa,0.857,Sidi Kacem,81.9883527454243,False,
513,tansghart,Tinghir,Drâa-Tafilalet,2,Tinghir,0.625,Tanougha,0.706,Béni Mellal,82.02995008319468,False,
514,Mezguitem,Guercif,Oriental,2,Mazguitam,0.778,Mezguita,0.824,Ouarzazate,82.07154742096506,False,
515,Khlalta,Fquih Ben Salah,Béni Mellal-Khénifra,2,Fkih Ben Salah,0.381,Khlalfa,0.857,Taounate,82.11314475873544,False,
516,M kellat magouna,Tinghir,Drâa-Tafilalet,2,Kalaat M'Gouna,0.733,Kalaat M'Gouna,0.733,Tinghir,82.15474209650583,False,
517,A S Jbel,Tinghir,Drâa-Tafilalet,2,Ait Sedrate Jbel El Oulia,0.485,Bni Sidel Jbel,0.636,Nador,82.19633943427621,False,
518,tigoudar,Essaouira,Marrakech-Safi,2,Lagdadra,0.5,Tigouga,0.8,Taroudant,82.2379367720466,False,
519,Douar Chems,Ouarzazate,Drâa-Tafilalet,2,Skoura Ahl El Oust,0.483,Rouached,0.632,Fquih Ben Salah,82.27953410981698,False,
520,tibihite,Béni Mellal,Béni Mellal-Khénifra,2,Tilougguite,0.526,Tighirt,0.667,Tiznit,82.32113144758735,False,
521,tazzakht,Tinghir,Drâa-Tafilalet,2,Outerbat,0.375,Taznakht,0.875,Ouarzazate,82.36272878535773,False,
522,Bnisadden,Sefrou,Fès-Meknès,2,Ahl Sidi Lahcen,0.333,Bni Said,0.706,Tétouan,82.40432612312812,False,
523,Bni wanjel,Taounate,Fès-Meknès,2,Bni Rzine,0.632,Bni Zrantel,0.762,Béni Mellal,82.4459234608985,False,
524,Menara,Taroudant,Souss-Massa,2,Lamhara,0.615,Mnasra,0.833,Kénitra,82.48752079866888,False,
525,,Taounate,Fès-Meknès,2,Zrizer,0.0,,0.0,,82.52911813643927,False,
526,S.M.B.L,Taounate,Fès-Meknès,2,Bouadel,0.286,Mibladen,0.4,Midelt,82.57071547420965,False,
527,El Kassam,Settat,Casablanca-Settat,2,Oulad Saïd,0.421,El Kansera,0.737,Khemisset,82.61231281198003,False,
528,Meknassa,Taza,Fès-Meknès,2,Meknassa Acharqia,0.64,Massa,0.769,Tiznit,82.65391014975042,False,
529,zouagha,Fès,Fès-Meknès,2,Louadaine,0.5,Ounagha,0.857,Essaouira,82.6955074875208,False,
530,zaouit nogart,Tinghir,Drâa-Tafilalet,2,Ait Ouassif,0.5,Zaouiat Saiss,0.615,Sidi Bennour,82.73710482529118,False,
531,Ait oum bakht,Béni Mellal,Béni Mellal-Khénifra,2,Ait Ouqabli,0.583,Ait Oum El Bekht,0.828,Khénifra,82.77870216306157,False,
532,,Béni Mellal,Béni Mellal-Khénifra,2,Timoulilt,0.0,,0.0,,82.82029950083195,False,
533,A H oyahya,Tinghir,Drâa-Tafilalet,2,Aït Hani,0.444,Ait Yahya,0.737,Midelt,82.86189683860233,False,
534,A H Said,Tinghir,Drâa-Tafilalet,2,Ferkla Es-Soufla,0.417,Ait Said,0.75,Essaouira,82.90349417637272,False,
535,ighramloule,Tinghir,Drâa-Tafilalet,2,Toudgha El Oulia,0.519,Ighzrane,0.632,Taza,82.9450915141431,False,
536,Dr Zhair Bouata,Sidi Kacem,Rabat-Salé-Kénitra,1,Zirara,0.476,Dar Bouazza,0.692,Casablanca,82.96589018302829,False,
537,Dr Lamharig,Sidi Kacem,Rabat-Salé-Kénitra,1,Zirara,0.353,Lamhara,0.667,Taroudant,82.98668885191347,False,
538,Douar zrarda,Taounate,Fès-Meknès,1,Oulad Daoud,0.522,Zrarda,0.667,Taza,83.00748752079866,False,
539,Douar tiaret bni frassen,Taza,Fès-Meknès,1,Oulad Chrif,0.343,Bni Frassen,0.629,Taounate,83.02828618968385,False,
540,Douar tarouate,Ouezzane,Tanger-Tétouan-Al Hoceïma,1,Teroual,0.476,Ouarzazate,0.667,Ouarzazate,83.04908485856905,False,
541,Far,Tinghir,Drâa-Tafilalet,1,Aït Elfarsi,0.429,Ifarni,0.667,Driouch,83.06988352745424,False,
542,Fahs anjra,Fahs-Anjra,Tanger-Tétouan-Al Hoceïma,1,Anjra,0.667,Lahsasna,0.667,Berrechid,83.09068219633943,False,
543,Fahs Anjra,Fahs-Anjra,Tanger-Tétouan-Al Hoceïma,1,Anjra,0.667,Lahsasna,0.667,Berrechid,83.11148086522462,False,
544,F.B.Salah,Fquih Ben Salah,Béni Mellal-Khénifra,1,Fkih Ben Salah,0.609,Bni Salah,0.667,Chefchaouen,83.13227953410981,False,
545,Ess ville,Essaouira,Marrakech-Safi,1,Essaouira,0.444,Guers Tiaallaline,0.538,Errachidia,83.153078202995,False,
546,Ennakhil,Ouarzazate,Drâa-Tafilalet,1,Taznakht,0.5,Ben Khlil,0.706,Tan-Tan,83.1738768718802,False,
547,Ennakhil,Chichaoua,Marrakech-Safi,1,Ahdil,0.615,Ben Khlil,0.706,Tan-Tan,83.19467554076539,False,
548,Elwafae,Larache,Tanger-Tétouan-Al Hoceïma,1,Larache,0.143,Selfat,0.615,Sidi Kacem,83.21547420965058,False,
549,Elqods,Guelmim,Guelmim-Oued Noun,1,Guelmim,0.308,Loulad,0.5,Khouribga,83.23627287853577,False,
550,Eloualja,Taounate,Fès-Meknès,1,Khlalfa,0.533,Loulja,0.857,Fès,83.25707154742096,False,
551,Elkodia,Taroudant,Souss-Massa,1,El Koudia El Beida,0.56,El Ksiba,0.667,Béni Mellal,83.27787021630616,False,
552,Elhajeb II,El Hajeb,Fès-Meknès,1,El Hajeb,0.778,El Hajeb,0.778,El Hajeb,83.29866888519135,False,
553,Gourziana,Taounate,Fès-Meknès,1,Ourtzagh,0.588,Ourdana,0.75,Driouch,83.31946755407654,False,
554,Ghiyata gharb,Taza,Fès-Meknès,1,Ghiata Al Gharbia,0.8,Ghiata Al Gharbia,0.8,Taza,83.34026622296173,False,
555,Ghafsey,Taounate,Fès-Meknès,1,Ghafsai,0.714,Ghafsai,0.714,Taounate,83.36106489184692,False,
556,Fraoua,Sidi Kacem,Rabat-Salé-Kénitra,1,Zirara,0.5,Arbaoua,0.769,Larache,83.38186356073211,False,
557,Foum anseur,Béni Mellal,Béni Mellal-Khénifra,1,Foum El Anceur,0.8,Foum El Anceur,0.8,Béni Mellal,83.4026622296173,False,
558,Foum Anseur,Béni Mellal,Béni Mellal-Khénifra,1,Foum El Anceur,0.8,Foum El Anceur,0.8,Béni Mellal,83.4234608985025,False,
559,Fokra,Settat,Casablanca-Settat,1,Mzoura,0.545,Boukraa,0.667,Laâyoune,83.44425956738769,False,
560,Hamd,Tinghir,Drâa-Tafilalet,1,Imider,0.4,Tamda,0.667,Rehamna,83.46505823627288,False,
561,Hal Merbea,Fquih Ben Salah,Béni Mellal-Khénifra,1,Hel Merbaa,0.8,Hel Merbaa,0.8,Fquih Ben Salah,83.48585690515807,False,
562,Had msila,Taza,Fès-Meknès,1,Msila,0.714,Msila,0.714,Taza,83.50665557404326,False,
563,Had Sidi Abdellah,Rehamna,Marrakech-Safi,1,Sidi Abdallah,0.8,Sidi Abdallah,0.8,Rehamna,83.52745424292846,False,
564,Hachane,Essaouira,Marrakech-Safi,1,El Hanchane,0.778,El Hanchane,0.778,Essaouira,83.54825291181365,False,
565,H.Mohmadi,Béni Mellal,Béni Mellal-Khénifra,1,Sidi Hammadi,0.571,Mohammédia,0.632,Mohammedia,83.56905158069884,False,
566,H.Mohamadi,Béni Mellal,Béni Mellal-Khénifra,1,Sidi Hammadi,0.545,Mohammédia,0.7,Mohammedia,83.58985024958403,False,
567,Guéliz,Taza,Fès-Meknès,1,Oued Amlil,0.5,Guelmim,0.769,Guelmim,83.61064891846922,False,
568,Guéliz,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Targuist,0.429,Guelmim,0.769,Guelmim,83.63144758735442,False,
569,Guéliz,Al Haouz,Marrakech-Safi,1,Iguidi,0.5,Guelmim,0.769,Guelmim,83.65224625623961,False,
570,Guèliz,Al Haouz,Marrakech-Safi,1,Iguidi,0.5,Guelmim,0.769,Guelmim,83.6730449251248,False,
571,Gueldaman,Taza,Fès-Meknès,1,Galdamane,0.778,Galdamane,0.778,Taza,83.69384359400998,False,
572,Hay Taslouine,Agadir-Ida Ou Tanane,Souss-Massa,1,Imsouane,0.476,Taliouine,0.727,Tata,83.71464226289517,False,
573,Hay Sidi Daoud,Inezgane-Aït Melloul,Souss-Massa,1,Oulad Dahou,0.56,Ait Sidi Daoud,0.857,Marrakech,83.73544093178036,False,
574,Hay Salam,Meknès,Fès-Meknès,1,Ait Yaazem,0.526,Had Soualem,0.7,Nouaceur,83.75623960066555,False,
575,Hay Mohammadi,Béni Mellal,Béni Mellal-Khénifra,1,Sidi Hammadi,0.64,Mohammédia,0.696,Mohammedia,83.77703826955074,False,
576,Hay Maurice,Inezgane-Aït Melloul,Souss-Massa,1,Ait Melloul,0.364,Ait Ouribel,0.545,Khemisset,83.79783693843594,False,
577,Hay Korsi Rue Almasjid,Taroudant,Souss-Massa,1,Sidi Abdellah Ou Said,0.419,Ksar al Majaz,0.457,Fahs-Anjra,83.81863560732113,False,
578,Hay Jadid,Sidi Kacem,Rabat-Salé-Kénitra,1,Ain Jemaa,0.444,El Jadida,0.667,El Jadida,83.83943427620632,False,
579,Hay Alfarah Im 14 N°5,Agadir-Ida Ou Tanane,Souss-Massa,1,Ait Aissi Ihahane,0.216,Moulay Brahim,0.485,Al Haouz,83.86023294509151,False,
580,Haoura,Guercif,Oriental,1,Bouchaouene,0.471,Harhoura,0.857,Skhirate-Témara,83.8810316139767,False,
581,Haouara,Taza,Fès-Meknès,1,Maghraoua,0.625,Laouamra,0.8,Larache,83.9018302828619,False,
582,Hana,El Kelâa des Sraghna,Marrakech-Safi,1,Hiadna,0.8,Hiadna,0.8,El Kelâa des Sraghna,83.92262895174709,False,
583,Hamria,Taounate,Fès-Meknès,1,Zarkat,0.5,Lamrija,0.769,Guercif,83.94342762063228,False,
584,Ait kassi ouali,Tinghir,Drâa-Tafilalet,1,Ait Ouassif,0.615,Aït Youssef Ou Ali,0.727,Al Hoceïma,83.96422628951747,False,
585,Ait kassi,Tinghir,Drâa-Tafilalet,1,Ait Ouassif,0.8,Ait Ouassif,0.8,Tinghir,83.98502495840266,False,
586,Ait hamoyahya,Tinghir,Drâa-Tafilalet,1,Aït Hani,0.571,Ait Yahya,0.818,Midelt,84.00582362728785,False,
587,Ait hamou yahya,Boulemane,Fès-Meknès,1,Almis Marmoucha,0.533,Ait Yahya,0.75,Midelt,84.02662229617304,False,
588,Ait halli ait Daoud,Khemisset,Rabat-Salé-Kénitra,1,Sebt Aït Rahou,0.545,Ait Sidi Daoud,0.727,Marrakech,84.04742096505824,False,
589,Ait hadouch,Tinghir,Drâa-Tafilalet,1,Ait Youl,0.632,Ait Hammou,0.762,Rehamna,84.06821963394343,False,
590,Hed Mssila,Taza,Fès-Meknès,1,Msila,0.667,H'Ssyia,0.706,Zagora,84.08901830282862,False,
591,Hdida,Tinghir,Drâa-Tafilalet,1,Tinejdad,0.462,Haddada,0.667,Kénitra,84.10981697171381,False,
