rang,Commune,Province,Region_std,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,CONFIRME_MANQUANT_REFERENTIEL,DECISION_HUMAINE
68,Iminoulaouen,Ouarzazate,Drâa-Tafilalet,11,Toundoute,0.476,Imi N'Oulaoune,0.846,Azilal,47.54575707154742,False,
69,My Bouchta,Taounate,Fès-Meknès,11,Bni Bouchibet,0.609,Moulay Bouchta,0.833,Moulay Yacoub,47.77454242928452,False,
70,kabdani,Driouch,Oriental,11,Dar El Kebdani,0.571,Tabant,0.615,Azilal,48.00332778702163,False,
71,bab zitouna,Taza,Fès-Meknès,11,Bab Marzouka,0.696,Bab Tiouka,0.762,Sidi Kacem,48.232113144758735,True,
72,"A,Chefk",Al Haouz,Marrakech-Safi,11,Ahl Tifnoute,0.316,Tancherfi,0.625,Jerada,48.46089850249584,False,
73,Ighilamgone,Tinghir,Drâa-Tafilalet,11,Kalaat M'Gouna,0.48,Ighil N'Oumgoun,0.692,Azilal,48.68968386023295,False,
74,Lkhmiss Dades,Tinghir,Drâa-Tafilalet,11,Souk Lakhmis Dades,0.774,Souk Lakhmis Dades,0.774,Tinghir,48.91846921797005,False,
75,Kouacem,Fquih Ben Salah,Béni Mellal-Khénifra,11,Rouached,0.667,Kouzemt,0.714,Essaouira,49.14725457570715,False,
76,Yasmine,Sidi Kacem,Rabat-Salé-Kénitra,11,Ain Jemaa,0.5,Lahsinate,0.625,Essaouira,49.37603993344426,False,
77,Tirest,Azilal,Béni Mellal-Khénifra,11,Tisqi,0.545,Tiflet,0.667,Khemisset,49.60482529118136,False,
78,Bab Mrouj,Taza,Fès-Meknès,10,Bab Marzouka,0.762,Bab Marzouka,0.762,Taza,49.81281198003328,False,
79,Tibihit,Béni Mellal,Béni Mellal-Khénifra,10,Taghzirt,0.4,Tighirt,0.714,Tiznit,50.02079866888519,False,
80,Neknafa,Essaouira,Marrakech-Safi,10,Meskala,0.571,Tekna,0.667,Sidi Kacem,50.2287853577371,False,
81,Ourbiaa,Béni Mellal,Béni Mellal-Khénifra,10,Naour,0.5,Ourika,0.769,Al Haouz,50.43677204658902,False,
82,Bani saden,Sefrou,Fès-Meknès,10,Aït Seghrouchen,0.48,Bni Said,0.778,Tétouan,50.64475873544093,False,
83,Boujediane,Larache,Tanger-Tétouan-Al Hoceïma,10,Souaken,0.471,Bou Jedyane,0.857,Ouezzane,50.85274542429285,False,
84,lekhmiss,Tinghir,Drâa-Tafilalet,10,Souk Lakhmis Dades,0.538,Khémisset,0.706,Khemisset,51.06073211314476,False,
85,"A,Mediona",Taounate,Fès-Meknès,10,Ain Mediouna,0.762,Médiouna,0.824,Nouaceur,51.26871880199667,False,
86,Mesker,Sidi Kacem,Rabat-Salé-Kénitra,9,Sidi Kacem,0.125,Meskoura,0.714,Khouribga,51.455906821963396,False,
87,tassouite,Tinghir,Drâa-Tafilalet,9,Assoul,0.667,Tassousfi,0.778,Tata,51.643094841930115,False,
88,Ain Doreij,Ouezzane,Tanger-Tétouan-Al Hoceïma,9,Ain Dfali,0.632,Aïn Orma,0.667,Meknès,51.83028286189684,False,
89,Lakhemis,Tinghir,Drâa-Tafilalet,9,Souk Lakhmis Dades,0.538,Khémisset,0.706,Khemisset,52.01747088186356,False,
90,Tisi ousli,Taza,Fès-Meknès,9,Oued Amlil,0.4,Tizi Ouzli,0.8,Driouch,52.204658901830285,False,
91,Kansara,Moulay Yacoub,Fès-Meknès,9,Laajajra,0.533,Mkansa,0.769,Sidi Kacem,52.391846921797004,False,
92,Ait guirte,Azilal,Béni Mellal-Khénifra,9,Ait Taguella,0.636,Ait Ourir,0.737,Marrakech,52.57903494176373,False,
93,Bouzmlne,Taza,Fès-Meknès,9,Bouyablane,0.667,Boulemane,0.706,Boulemane,52.76622296173045,False,
94,Amsa,Tétouan,Tanger-Tétouan-Al Hoceïma,9,Azla,0.5,Assa,0.75,Assa-Zag,52.95341098169717,False,
95,"B,Oulid",Taounate,Fès-Meknès,9,Bni Oulid,0.75,Bni Oulid,0.75,Taounate,53.140599001663894,False,
96,Sahraoua,Sidi Kacem,Rabat-Salé-Kénitra,8,Bab Tiouka,0.444,Maghraoua,0.824,Taza,53.30698835274542,False,
97,Taouloklot,Chichaoua,Marrakech-Safi,8,Taouloukoult,0.818,Taouloukoult,0.818,Chichaoua,53.473377703826955,False,
98,Daour Jdid,Fquih Ben Salah,Béni Mellal-Khénifra,8,Dar Oulad Zidouh,0.538,Oued Jdida,0.7,Meknès,53.63976705490849,False,
