province,region,annee,mois,cas_predits,ci_lower_95,ci_upper_95
Agadir-Ida Ou Tanane,Souss-Massa,2037,2,0.30981970131109826,0.0,0.8928916726345371
Agadir-Ida Ou Tanane,Souss-Massa,2037,3,0.3122219618740816,0.0,0.8976993329263685
Agadir-Ida Ou Tanane,Souss-Massa,2037,4,0.32246069020010754,0.0,0.9181067755744223
Agadir-Ida Ou Tanane,Souss-Massa,2037,5,0.3175704465319354,0.0,0.9083779068440863
Agadir-Ida Ou Tanane,Souss-Massa,2037,6,0.31487508835907607,0.0,0.9029990216676812
Agadir-Ida Ou Tanane,Souss-Massa,2037,7,0.3190334890186933,0.0,0.9112951550616382
Agadir-Ida Ou Tanane,Souss-Massa,2037,8,0.3131611596978704,0.0,0.8995772802628438
Agadir-Ida Ou Tanane,Souss-Massa,2037,9,0.31515505298690766,0.0,0.9035578350260622
Agadir-Ida Ou Tanane,Souss-Massa,2037,10,0.3179721247164379,0.0,0.9091797616397306
Agadir-Ida Ou Tanane,Souss-Massa,2037,11,0.31148587428686286,0.0,0.896226739641214
Agadir-Ida Ou Tanane,Souss-Massa,2037,12,0.3142511404186194,0.0,0.9017546269742283
Agadir-Ida Ou Tanane,Souss-Massa,2038,1,0.31232429903990105,0.0,0.8979039531813928
Agadir-Ida Ou Tanane,Souss-Massa,2038,2,0.3098797913874405,0.0,0.8930120268642405
Agadir-Ida Ou Tanane,Souss-Massa,2038,3,0.3122219618740816,0.0,0.8976993329263685
Agadir-Ida Ou Tanane,Souss-Massa,2038,4,0.32246069020010754,0.0,0.9181067755744223
Agadir-Ida Ou Tanane,Souss-Massa,2038,5,0.3175704465319354,0.0,0.9083779068440863
Agadir-Ida Ou Tanane,Souss-Massa,2038,6,0.31487508835907607,0.0,0.9029990216676812
Agadir-Ida Ou Tanane,Souss-Massa,2038,7,0.3176173465668559,0.0,0.9084727862083573
Agadir-Ida Ou Tanane,Souss-Massa,2038,8,0.3131611596978704,0.0,0.8995772802628438
Agadir-Ida Ou Tanane,Souss-Massa,2038,9,0.3151652646492466,0.0,0.9035782110252226
Agadir-Ida Ou Tanane,Souss-Massa,2038,10,0.3179721247164379,0.0,0.9091797616397306
Agadir-Ida Ou Tanane,Souss-Massa,2038,11,0.31148587428686286,0.0,0.896226739641214
Agadir-Ida Ou Tanane,Souss-Massa,2038,12,0.31423861393679076,0.0,0.9017296363875346
Agadir-Ida Ou Tanane,Souss-Massa,2039,1,0.3124011774251682,0.0,0.8980574828735557
Agadir-Ida Ou Tanane,Souss-Massa,2039,2,0.3098797913874405,0.0,0.8930120268642405
Agadir-Ida Ou Tanane,Souss-Massa,2039,3,0.31224959102204053,0.0,0.8977545894240601
Agadir-Ida Ou Tanane,Souss-Massa,2039,4,0.32248519902243133,0.0,0.9181550278562162
Agadir-Ida Ou Tanane,Souss-Massa,2039,5,0.3175704465319354,0.0,0.9083779068440863
Agadir-Ida Ou Tanane,Souss-Massa,2039,6,0.3148745884274706,0.0,0.9029980242992856
Agadir-Ida Ou Tanane,Souss-Massa,2039,7,0.3176163503057041,0.0,0.9084708066269868
Agadir-Ida Ou Tanane,Souss-Massa,2039,8,0.3131611596978704,0.0,0.8995772802628438
Agadir-Ida Ou Tanane,Souss-Massa,2039,9,0.31516526555997965,0.0,0.9035782128382706
Agadir-Ida Ou Tanane,Souss-Massa,2039,10,0.3179721247164379,0.0,0.9091797616397306
Agadir-Ida Ou Tanane,Souss-Massa,2039,11,0.31149384800455526,0.0,0.8962426992821148
Agadir-Ida Ou Tanane,Souss-Massa,2039,12,0.3142865895578336,0.0,0.9018254474097969
Agadir-Ida Ou Tanane,Souss-Massa,2040,1,0.3124011774251682,0.0,0.8980574828735557
Agadir-Ida Ou Tanane,Souss-Massa,2040,2,0.3098800462890077,0.0,0.8930125365684212
Agadir-Ida Ou Tanane,Souss-Massa,2040,3,0.31224959102204053,0.0,0.8977545894240601
Agadir-Ida Ou Tanane,Souss-Massa,2040,4,0.32248519902243133,0.0,0.9181550278562162
Agadir-Ida Ou Tanane,Souss-Massa,2040,5,0.3175687035933087,0.0,0.9083744434370202
