commune_id,commune,province,region,latitude,longitude,temp_mean,precip_annual
131,Ait Oumdis,Ouarzazate,Drâa-Tafilalet,31.489372,-7.075358,12.23576923076923,588.7092307692308
132,Ait Ouqabli,Béni Mellal,Béni Mellal-Khénifra,32.320219,-6.012975,12.779935897435898,644.4715384615386
133,Ait Ouribel,Khemisset,Rabat-Salé-Kénitra,33.770706,-6.11783,17.70974358974359,459.3184615384616
134,Ait Ourir,Marrakech,Marrakech-Safi,31.561443,-7.672963,18.26628205128205,436.5215384615385
135,Ait Saadelli,Khénifra,Béni Mellal-Khénifra,32.625503,-5.361433,10.945576923076922,619.2
136,Ait Said,Essaouira,Marrakech-Safi,31.436666,-9.461202,18.775384615384617,259.9276923076923
137,Ait Sebaa Lajrouf,Ifrane,Fès-Meknès,33.737336,-5.044262,13.798910256410258,697.0953846153845
138,Ait Sedrate Jbel El Oulia,Tinghir,Drâa-Tafilalet,31.641507,-5.953975,9.930192307692307,351.6276923076923
139,Ait Sedrate Jbel El Soufla,Tinghir,Drâa-Tafilalet,31.510677,-5.958674,13.004935897435898,271.15230769230766
140,Ait Sedrate Sahl Charkia,Tinghir,Drâa-Tafilalet,31.17429,-6.054771,16.282115384615384,152.8176923076923
141,Ait Sedrate Sahl El Gharbia,Tinghir,Drâa-Tafilalet,31.089057,-6.149029,15.671153846153844,159.78769230769228
142,Ait Siberne,Khemisset,Rabat-Salé-Kénitra,33.848132,-5.865402,17.835256410256413,548.0584615384615
143,Ait Sidi Daoud,Marrakech,Marrakech-Safi,31.610031,-7.671967,18.26628205128205,436.5215384615385
144,Ait Taguella,Azilal,Béni Mellal-Khénifra,31.935466,-6.739462,14.912820512820513,640.1284615384616
145,Ait Taleb,Rehamna,Marrakech-Safi,32.383541,-8.185672,18.341282051282054,260.95153846153846
146,Ait Tamlil,Azilal,Béni Mellal-Khénifra,31.483706,-6.848471,9.924358974358976,611.5838461538461
147,Ait Yaazem,Meknès,Fès-Meknès,33.744491,-5.615193,16.237243589743592,619.9107692307692
148,Ait Yadine,Khemisset,Rabat-Salé-Kénitra,33.947603,-5.994622,18.03397435897436,467.9599999999999
149,Ait Yahya,Midelt,Drâa-Tafilalet,32.252935,-5.175913,10.425320512820512,494.1946153846155
150,Ait Youl,Tinghir,Drâa-Tafilalet,31.311535,-5.979211,16.436666666666667,140.83076923076925
151,Ait Zineb,Ouarzazate,Drâa-Tafilalet,30.999632,-7.124266,16.87128205128205,111.41461538461536
152,Ajdir 1,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,34.769951,-3.940339,14.545705128205128,427.85461538461544
153,Ajdir 2,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.197139,-3.912523,17.901923076923076,432.45923076923077
154,Akarma,El Kelâa des Sraghna,Marrakech-Safi,31.899763,-7.632837,19.204358974358975,301.85769230769233
155,Akhfennir,Tan-Tan,Guelmim-Oued Noun,27.936774,-11.901876,18.918589743589745,80.25
156,Akka,Tata,Souss-Massa,29.339261,-8.153306,24.245384615384616,47.403076923076924
157,Akka Ighane,Tata,Souss-Massa,29.964907,-7.596022,21.83480769230769,94.4523076923077
158,Aklim,Berkane,Oriental,34.88388,-2.521129,17.862371794871795,346.85461538461544
159,Aknoul,Taza,Fès-Meknès,34.652819,-3.865798,14.441794871794873,395.01692307692304
160,Al Aioun,Berkane,Oriental,34.577477,-2.503523,17.281666666666666,355.9338461538461
161,Al Aroui,Nador,Oriental,35.021062,-2.995705,17.966602564102566,328.52769230769235
162,Al Bahraoyine,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,35.757193,-5.713893,17.6899358974359,599.4138461538462
163,Al Barkanyene,Berkane,Oriental,35.057037,-2.562727,18.029935897435898,337.22923076923075
164,Al Hamra,Chefchaouen,Tanger-Tétouan-Al Hoceïma,35.349107,-5.362013,15.4025,939.4853846153846
165,Al Haouafate,Sidi Slimane,Rabat-Salé-Kénitra,34.462169,-5.991918,19.02628205128205,513.3146153846154
166,Al Hoceïma,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.236042,-3.938905,17.901923076923076,432.45923076923077
167,Al Khalfia,Fquih Ben Salah,Béni Mellal-Khénifra,32.538998,-6.534738,19.963333333333335,418.32769230769236
168,Al Kharroub,Tétouan,Tanger-Tétouan-Al Hoceïma,35.404995,-5.6826,16.906089743589742,894.376923076923
169,Al Machouar Stinia,Meknès,Fès-Meknès,33.88682,-5.560077,17.66730769230769,570.2276923076923
170,Al Mahbass,Assa-Zag,Guelmim-Oued Noun,27.565503,-8.992992,22.454358974358975,33.48384615384616
171,Al Manzla,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,35.549065,-5.847322,17.419679487179486,779.0446153846154
172,Al Oued,Chefchaouen,Tanger-Tétouan-Al Hoceïma,35.265003,-5.320284,15.32173076923077,892.5853846153847
173,Al Ouidane,Marrakech,Marrakech-Safi,31.630347,-7.836058,18.56275641025641,395.11999999999995
174,Allougoum,Ouarzazate,Drâa-Tafilalet,29.955454,-6.824971,23.651346153846156,55.99923076923076
175,Allyène,Fahs-Anjra,Tanger-Tétouan-Al Hoceïma,35.728378,-5.414194,17.30948717948718,612.9715384615383
176,Almis Marmoucha,Boulemane,Fès-Meknès,33.241015,-4.164299,15.103782051282051,268.35692307692307
177,Alnif,Tinghir,Drâa-Tafilalet,31.113154,-5.139801,21.984615384615385,80.36153846153847
178,Amalou,Taroudant,Souss-Massa,30.180436,-8.751825,18.433461538461536,351.75461538461536
179,Amejjaou,Driouch,Oriental,35.13794,-3.241723,17.653846153846153,384.49384615384616
180,Amellagou,Errachidia,Drâa-Tafilalet,32.023269,-4.936591,16.45326923076923,167.70000000000005
181,Amersid,Midelt,Drâa-Tafilalet,32.678844,-4.487887,15.20519230769231,241.8492307692308
182,Amerzgane,Ouarzazate,Drâa-Tafilalet,30.958967,-7.278353,15.917884615384615,155.47
