rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
96,Taghgigt,Guelmim,5,Tiglit,0.571,Taghzirt,0.75,Béni Mellal,35.64988730277987,
97,Beni Garfat,Larache,5,Bni Garfett,0.818,Bni Garfett,0.818,Larache,35.83771600300526,
98,Bssabssa,Taounate,5,Messassa,0.75,Messassa,0.75,Taounate,36.02554470323065,
99,Taouima,Nador,5,Al Aroui,0.533,Touama,0.769,Marrakech,36.213373403456046,
100,Farkhana,Nador,5,Arekmane,0.625,Argana,0.714,Taroudant,36.40120210368144,
101,c boumalne,Tinghir,5,Boumalne Dadès,0.667,Boulemane,0.737,Boulemane,36.58903080390684,
102,Ait Tazarin,Tinghir,5,Aït Elfarsi,0.636,Tazarine,0.737,Taza,36.77685950413223,
103,Bouzmlane,Taza,5,Bouyablane,0.737,Boulemane,0.778,Boulemane,36.96468820435763,
104,ait brahim,Tinghir,5,Aït Hani,0.667,Ait Baha,0.778,Chtouka-Aït Baha,37.15251690458302,
105,Al ouhda,Taza,5,El Gouzate,0.556,Al Oued,0.8,Chefchaouen,37.34034560480841,
106,Al quods,Taza,5,Bab Boudir,0.444,Al Oued,0.667,Chefchaouen,37.52817430503381,
107,Menara,Chichaoua,5,Majjat,0.5,Mnasra,0.833,Kénitra,37.7160030052592,
108,H K,Sidi Kacem,5,Sidi Kacem,0.308,N'Kob,0.5,Tinghir,37.9038317054846,
109,A.Y.Ouali,Al Hoceïma,5,Rouadi,0.533,Oualili,0.625,Meknès,38.091660405709995,
110,kansara,Moulay Yacoub,5,Laajajra,0.533,Mkansa,0.769,Sidi Kacem,38.27948910593539,
111,A.Taourirt,Al Hoceïma,5,Arbaa Taourirt,0.75,Taourirt,0.889,Taourirt,38.46731780616078,
112,Kelaa,El Kelâa des Sraghna,5,El Aamria,0.571,Melaab,0.727,Errachidia,38.655146506386174,
113,Ait Atab,Azilal,5,Aït Abbas,0.706,Ait Taleb,0.824,Rehamna,38.84297520661157,
114,sekoura,Sefrou,5,Sefrou,0.615,Meskoura,0.8,Khouribga,39.030803906836965,
115,Kabdani,Driouch,5,Dar El Kebdani,0.571,Tabant,0.615,Azilal,39.21863260706236,
116,Rhouazi,Taounate,5,Rghioua,0.714,Ghouazi,0.857,Moulay Yacoub,39.406461307287756,
117,Oulad Harti,Larache,5,Oulad Ouchih,0.696,Oulad Chrif,0.818,Taza,39.594290007513145,
118,B.E.O,Azilal,5,Bin El Ouidane,0.316,Bzou,0.444,El Kelâa des Sraghna,39.78211870773854,
119,Dhar,Essaouira,5,Had Dra,0.545,Adar,0.75,Tata,39.969947407963936,
120,Hcia,Tinghir,4,M'Ssici,0.364,Zghira,0.6,Ouezzane,40.12021036814425,
121,"A,Aicha",Taounate,4,Aïn Aïcha,0.75,Ayacha,0.769,Larache,40.27047332832457,
122,tazitount,Chichaoua,4,Ain Tazitounte,0.783,Ain Tazitounte,0.783,Chichaoua,40.420736288504884,
123,"A,Mediouna",Taounate,4,Ain Mediouna,0.818,Médiouna,0.889,Nouaceur,40.5709992486852,
124,Binlwidane,Azilal,4,Bin El Ouidane,0.75,Bin El Ouidane,0.75,Azilal,40.72126220886552,
125,Boutghrah,Tinghir,4,Outerbat,0.588,Boughriba,0.778,Berkane,40.87152516904583,
126,Skoura,Taounate,4,Ourtzagh,0.571,Meskoura,0.857,Khouribga,41.021788129226145,
127,Ighilamgoune,Tinghir,4,Kalaat M'Gouna,0.538,Ighil N'Oumgoun,0.741,Azilal,41.17205108940646,
128,Skhinate,Fès,4,Sidi Hrazem,0.421,Skhirate,0.875,Skhirate-Témara,41.32231404958678,
129,tabrkhcht,Tinghir,4,Outerbat,0.353,Tabaroucht,0.737,Béni Mellal,41.47257700976709,
130,A S S gharbia,Tinghir,4,Ait Sedrate Sahl El Gharbia,0.65,Had Al Gharbia,0.741,Tanger-Assilah,41.62283996994741,
131,Sarghin,Tinghir,4,Tinghir,0.429,Serghina,0.8,Boulemane,41.77310293012772,
132,Syba,Al Haouz,4,Sidi Badhaj,0.4,Sbouya,0.6,Sidi Ifni,41.92336589030804,
133,Beni Aros,Larache,4,Bni Garfett,0.6,Bni Arouss,0.842,Tétouan,42.073628850488355,
134,Ouled Abdellah,Fquih Ben Salah,4,Oulad Fares El Halla,0.588,Oulad Salah,0.72,Nouaceur,42.22389181066867,
135,Ouled Mbarek,Fquih Ben Salah,4,Oulad Zmam,0.636,Oulad M'Barek,0.88,Béni Mellal,42.37415477084899,
136,Babmrouj,Taza,4,Bab Marzouka,0.7,Bab Marzouka,0.7,Taza,42.5244177310293,
137,Tigoudar,Essaouira,4,Lagdadra,0.5,Tigouga,0.8,Taroudant,42.674680691209616,
138,Tichibite,Azilal,4,Tisqi,0.429,Chaibate,0.706,El Jadida,42.82494365138993,
139,B.S.jbel,Nador,4,Bni Sidel Jbel,0.545,Jbiel,0.615,El Kelâa des Sraghna,42.97520661157025,
140,Boumlne,Ouarzazate,4,Toundoute,0.5,Boulemane,0.75,Boulemane,43.125469571750564,
141,Takerkoust,Al Haouz,4,Lalla Takarkoust,0.692,Tamegroute,0.7,Zagora,43.27573253193088,
