feature,importance_gain,importance_pct,classe_altitude_rank,classe_altitude
sin_month,5756.072994232178,0.28823730778144857,0,Plaine/Cotier
cases_lag2,5158.10919380188,0.2582940676315235,0,Plaine/Cotier
cases_lag1,4048.5053882598877,0.20273028066531304,0,Plaine/Cotier
cos_month,2243.770001411438,0.11235754396020835,0,Plaine/Cotier
cases_lag3,1523.0430397987366,0.07626689686992423,0,Plaine/Cotier
psi_mean,1317.6186962127686,0.06598020318009047,0,Plaine/Cotier
psi_sd,196.5012035369873,0.009839864424942191,0,Plaine/Cotier
y_ento_soft,170.5054931640625,0.00853812040966192,0,Plaine/Cotier
cases_roll3,3305905.844549179,57.76185443269696,1,Plateau
cases_roll6,806024.3918800354,14.083118449892408,1,Plateau
province,316736.67053222656,5.534125385617105,1,Plateau
cases_lag12,172365.8060207367,3.0116310217848867,1,Plateau
cases_lag1,167264.73032188416,2.9225033799758777,1,Plateau
latitude,94447.01882457733,1.6502088109806325,1,Plateau
aridity_index,64594.47057914734,1.128615448289828,1,Plateau
temp_moy,56981.09308052063,0.9955920581827163,1,Plateau
longitude,49125.02972602844,0.8583283824357429,1,Plateau
elevation_m,46102.83826255798,0.8055236772840373,1,Plateau
lai,43056.50645542145,0.7522971842525907,1,Plateau
temp_moy_lag2,40483.972173690796,0.7073490345799518,1,Plateau
temp_moy_lag1,39623.309639930725,0.6923112608718186,1,Plateau
precip_mm,33824.798954963684,0.590997809775277,1,Plateau
precip_mm_lag6,33141.21381378174,0.5790539894506874,1,Plateau
humidite_pct_lag1,31902.48468399048,0.5574105140944492,1,Plateau
humidite_pct,31881.17686367035,0.5570382169772646,1,Plateau
precip_mm_lag5,31706.52132987976,0.5539865790925043,1,Plateau
humidite_pct_lag6,31238.02974128723,0.5458009427750504,1,Plateau
precip_mm_lag2,30730.1303691864,0.5369267609388926,1,Plateau
humidite_pct_lag2,29556.08696079254,0.5164134953947067,1,Plateau
temp_moy_lag6,27879.1407623291,0.4871133499090693,1,Plateau
precip_mm_lag4,27549.41649055481,0.4813523009606983,1,Plateau
temp_moy_lag5,24773.645884513855,0.4328531406022577,1,Plateau
precip_mm_lag1,24067.614824295044,0.4205171379321989,1,Plateau
cases_lag2,21740.539470672607,0.3798577259131049,1,Plateau
