rang,Commune_origine,Commune,Province,n_cas,DECISION_HUMAINE,niveau_resolution,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct
443,Laabiate,Sidi Slimane,Sidi Slimane,1,Sidi Slimane,province,Nouirate,0.5,Laaouinate,0.778,Jerada,58.543619322278296
444,L'Habita,Sefrou,Sefrou,1,Sefrou,province,Dar El Hamra,0.5,Lgharbia,0.75,Sidi Bennour,58.61571737563086
445,L Foukani,Driouch,Driouch,1,Driouch,province,Ifarni,0.533,El Gouraani,0.7,Youssoufia,58.68781542898342
446,Kssibiya,Sidi Kacem,Sidi Kacem,1,Sidi Kacem,province,Sidi Kacem,0.444,Kceibya,0.667,Sidi Slimane,58.759913482335975
447,Kssibat,Chefchaouen,Chefchaouen,1,Chefchaouen,province,Tassift,0.571,Khmis Ksiba,0.667,Rehamna,58.83201153568854
448,Kmis Anjra,Fahs-Anjra,Fahs-Anjra,1,Fahs-Anjra,province,Anjra,0.667,Anjra,0.667,Fahs-Anjra,58.9041095890411
449,Khmiss anjra,Fahs-Anjra,Fahs-Anjra,1,Fahs-Anjra,province,Anjra,0.588,Kissane,0.632,Taounate,58.97620764239365
450,Khmiss Anjra,Chefchaouen,Chefchaouen,1,Chefchaouen,province,Bni Mansour,0.348,Kissane,0.632,Taounate,59.048305695746215
451,Khmiss AitAmira,Chtouka-Aït Baha,Chtouka-Aït Baha,1,Chtouka-Aït Baha,province,Ait Mzal,0.348,Ait Amira,0.667,Inezgane-Aït Melloul,59.12040374909878
452,Khmis Anjra,Fahs-Anjra,Fahs-Anjra,1,Fahs-Anjra,province,Anjra,0.625,Khmis Ksiba,0.636,Rehamna,59.19250180245133
453,Khmalca,Taounate,Taounate,1,Taounate,province,Khlalfa,0.714,Khlalfa,0.714,Taounate,59.26459985580389
454,Kharba,Chtouka-Aït Baha,Chtouka-Aït Baha,1,Chtouka-Aït Baha,province,Tabia,0.545,Hrara,0.727,Safi,59.336697909156456
455,Khandak Zeboua,Tétouan,Tétouan,1,Tétouan,province,Al Kharroub,0.4,Had Boumoussa,0.593,Fquih Ben Salah,59.40879596250901
456,"Kelaat M,",Tinghir,Tinghir,1,Tinghir,province,Kalaat M'Gouna,0.609,Kalaat M'Gouna,0.609,Tinghir,59.48089401586157
457,Kebdani,Nador,Nador,1,Nador,province,Iksane,0.462,Dar El Kebdani,0.667,Driouch,59.552992069214135
