rang,Commune_origine,Commune,Province,n_cas,DECISION_HUMAINE,niveau_resolution,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct
710,Assifane,Chefchaouen,Chefchaouen,1,Chefchaouen,province,Tassift,0.667,Ifrane,0.714,Ifrane,77.79379956741168
711,As s Gharbia,Tinghir,Tinghir,1,Tinghir,province,Ait Sedrate Sahl El Gharbia,0.564,Had Al Gharbia,0.769,Tanger-Assilah,77.86589762076424
712,As jbel oulia,Tinghir,Tinghir,1,Tinghir,province,Ferkla El Oulia,0.714,Ferkla El Oulia,0.714,Tinghir,77.9379956741168
713,Aruit,Nador,Nador,1,Nador,province,Al Aroui,0.615,Targuist,0.769,Al Hoceïma,78.01009372746935
714,Sahrij,Azilal,Azilal,1,Azilal,province,Aït Majden,0.375,Assahrij,0.857,El Kelâa des Sraghna,78.08219178082192
715,Sidi Khyar,Sefrou,Sefrou,1,Sefrou,province,Kandar Sidi Khiar,0.667,Sidi Amar,0.737,Khénifra,78.15428983417448
716,Sidi Ghayat,Al Haouz,Al Haouz,1,Al Haouz,province,Sidi Badhaj,0.636,Sidi Aayad,0.762,Midelt,78.22638788752704
717,Sidi Driss,El Kelâa des Sraghna,El Kelâa des Sraghna,1,El Kelâa des Sraghna,province,Sidi Moussa,0.667,Sidi Aissa,0.8,Safi,78.2984859408796
718,Sidi Brahim,Fès,Fès,1,Fès,province,Sidi Hrazem,0.727,Sidi Borja,0.762,Taroudant,78.37058399423215
719,Sidi Amer Hadi,Sidi Kacem,Sidi Kacem,1,Sidi Kacem,province,Sidi Kacem,0.583,Sidi Ameur Al Hadi,0.875,Ouezzane,78.44268204758471
720,Sidi Amer,Meknès,Meknès,1,Meknès,province,Nzala Bni Ammar,0.417,Sidi Amar,0.889,Khénifra,78.51478010093727
721,Sidi Ahmed Zerrouk,Taza,Taza,1,Taza,province,Bab Marzouka,0.4,Sidi Ahmed Cherif,0.743,Ouezzane,78.58687815428983
722,Sidi Ahmed Tadli,Sefrou,Sefrou,1,Sefrou,province,Sidi Youssef Ben Ahmed,0.526,Sidi Ahmed El Khadir,0.778,El Kelâa des Sraghna,78.6589762076424
723,Sidi Abdellah Rhamna,Settat,Settat,1,Settat,province,Sidi Abdelkhaleq,0.667,Sidi Abdallah Ghiat,0.769,Marrakech,78.73107426099496
724,Sekour,Boulemane,Boulemane,1,Boulemane,province,Missour,0.615,Nekkour,0.769,Al Hoceïma,78.8031723143475
725,Sebt lgardane,Taroudant,Taroudant,1,Taroudant,province,El Guerdane,0.667,El Guerdane,0.667,Taroudant,78.87527036770007
726,Sebt Lagfifat,Taroudant,Taroudant,1,Taroudant,province,Lakhnafif,0.455,Lagfifat,0.762,Chtouka-Aït Baha,78.94736842105263
727,Sebt Kdim,Tétouan,Tétouan,1,Tétouan,province,Bni Karrich,0.4,Souk Kdim,0.667,Fahs-Anjra,79.01946647440519
728,Sebt Bni Guerfet,Larache,Larache,1,Larache,province,Bni Garfett,0.667,Bni Garfett,0.667,Larache,79.09156452775775
729,Sebt,Taroudant,Taroudant,1,Taroudant,province,Sidi Borja,0.286,Settat,0.6,Settat,79.16366258111032
730,Sbt Lagfifat,Taroudant,Taroudant,1,Taroudant,province,Lakhnafif,0.476,Lagfifat,0.8,Chtouka-Aït Baha,79.23576063446286
731,Sidi ghiate,Al Haouz,Al Haouz,1,Al Haouz,province,Ghmate,0.588,Sidi Ghanem,0.818,Chichaoua,79.30785868781543
732,Sidi boujida,Fès,Fès,1,Fès,province,Ain Bida,0.6,Sidi Bouhria,0.833,Berkane,79.37995674116799
733,Sidi ahmed Tadeli,Sefrou,Sefrou,1,Sefrou,province,Sidi Youssef Ben Ahmed,0.513,Sidi Ahmed Ou Abdellah,0.769,Taroudant,79.45205479452055
734,Sidi Yahya,Sidi Slimane,Sidi Slimane,1,Sidi Slimane,province,Sidi Al Kamel,0.609,Sidi Yahya Zaer,0.8,Skhirate-Témara,79.52415284787311
735,Aolos,Taroudant,Taroudant,1,Taroudant,province,Aoulouz,0.667,Aoulouz,0.667,Taroudant,79.59625090122567
736,Anamer,Taroudant,Taroudant,1,Taroudant,province,Argana,0.5,Ameur,0.727,Salé,79.66834895457822
737,Amsernat,Agadir-Ida Ou Tanane,Agadir-Ida Ou Tanane,1,Agadir-Ida Ou Tanane,province,Tamri,0.462,Ternata,0.667,Zagora,79.74044700793078
738,Amkhlij,Al Haouz,Al Haouz,1,Al Haouz,province,Assaki,0.462,Mkhalif,0.714,Safi,79.81254506128334
739,Amdnagh,Tinghir,Tinghir,1,Tinghir,province,Tinghir,0.429,Madagh,0.769,Berkane,79.8846431146359
740,Amallal,Chefchaouen,Chefchaouen,1,Chefchaouen,province,Amtar,0.5,Tamallalt,0.875,El Kelâa des Sraghna,79.95674116798847
741,Alwafae,Larache,Larache,1,Larache,province,Larache,0.429,Ahlaf,0.667,Benslimane,80.02883922134103
742,Alquods,Taza,Taza,1,Taza,province,Galdamane,0.375,Aquermoud,0.625,Essaouira,80.10093727469358
743,Alquds,Agadir-Ida Ou Tanane,Agadir-Ida Ou Tanane,1,Agadir-Ida Ou Tanane,province,Aqesri,0.5,Al Oued,0.615,Chefchaouen,80.17303532804614
744,Alqods,Taza,Taza,1,Taza,province,Galdamane,0.4,Al Oued,0.615,Chefchaouen,80.2451333813987
745,Sidi Yahia,Taounate,Taounate,1,Taounate,province,Sidi El Mokhfi,0.583,Sidi Aissa,0.8,Safi,80.31723143475126
746,Sidi Mbraek,Sidi Ifni,Sidi Ifni,1,Sidi Ifni,province,Sidi M'Bark,0.818,Sidi M'Bark,0.818,Sidi Ifni,80.38932948810383
747,Tabarante,Taounate,Taounate,1,Taounate,province,Tafrant,0.75,Targante,0.824,Essaouira,80.46142754145639
748,TAOUNATEDouar,Taounate,Taounate,1,Taounate,province,Taounate,0.762,Taounate,0.762,Taounate,80.53352559480894
749,Syba,Tinghir,Tinghir,1,Tinghir,province,Outerbat,0.333,Sbouya,0.6,Sidi Ifni,80.6056236481615
750,Syba,Essaouira,Essaouira,1,Essaouira,province,Bizdad,0.4,Sbouya,0.6,Sidi Ifni,80.67772170151406
751,Syba,Azilal,Azilal,1,Azilal,province,Tabant,0.4,Sbouya,0.6,Sidi Ifni,80.74981975486662
752,Syba,Agadir-Ida Ou Tanane,Agadir-Ida Ou Tanane,1,Agadir-Ida Ou Tanane,province,Imsouane,0.333,Sbouya,0.6,Sidi Ifni,80.82191780821918
753,Sraghna,Sefrou,Sefrou,1,Sefrou,province,Mtarnagha,0.625,Serghina,0.8,Boulemane,80.89401586157173
754,Souk laarbia,Taounate,Taounate,1,Taounate,province,Oudka,0.471,Souk Tolba,0.636,Larache,80.96611391492429
755,Souk Tlat,Sidi Kacem,Sidi Kacem,1,Sidi Kacem,province,Selfat,0.533,Souk Tolba,0.842,Larache,81.03821196827685
756,Souk Lhad,Chefchaouen,Chefchaouen,1,Chefchaouen,province,Oued Malha,0.632,Souk Tolba,0.737,Larache,81.11031002162942
757,Smd,Chichaoua,Chichaoua,1,Chichaoua,province,Saidate,0.4,Smià,0.571,Taza,81.18240807498198
758,SidiAhmed Tadli,Sefrou,Sefrou,1,Sefrou,province,Sidi Youssef Ben Ahmed,0.486,Sidi Ahmed El Khadir,0.743,El Kelâa des Sraghna,81.25450612833454
759,Sidi-Yahia Ben,Taounate,Taounate,1,Taounate,province,Sidi Yahya Bni Zeroual,0.667,Sidi Yahya Zaer,0.759,Skhirate-Témara,81.32660418168709
760,Sidi-Yahia,Taounate,Taounate,1,Taounate,province,Sidi El Mokhfi,0.583,Sidi Aissa,0.8,Safi,81.39870223503965
761,Sidi ouabdellah,Taroudant,Taroudant,1,Taroudant,province,Sidi Ahmed Ou Abdellah,0.811,Sidi Bouabdelli,0.867,Tiznit,81.47080028839221
762,Sidi khyar,Sefrou,Sefrou,1,Sefrou,province,Kandar Sidi Khiar,0.667,Sidi Amar,0.737,Khénifra,81.54289834174477
763,Taoujdate,El Hajeb,El Hajeb,1,El Hajeb,province,Ait Boubidmane,0.522,Taounate,0.824,Taounate,81.61499639509734
764,Taouiyalt,Taroudant,Taroudant,1,Taroudant,province,Taroudant,0.667,Taouyalte,0.889,Al Haouz,81.6870944484499
765,Tamzirt,Ouarzazate,Ouarzazate,1,Ouarzazate,province,Tarmigt,0.714,Taghzirt,0.8,Béni Mellal,81.75919250180245
766,Tamsslout,Taroudant,Taroudant,1,Taroudant,province,Tamaloukte,0.737,Tameslouht,0.842,Al Haouz,81.83129055515501
767,Tamsemen,Driouch,Driouch,1,Driouch,province,Temsamane,0.471,Tamezmoute,0.667,Zagora,81.90338860850757
768,Tamassint,Al Hoceïma,Al Hoceïma,1,Al Hoceïma,province,Targuist,0.471,Tissint,0.75,Tata,81.97548666186013
769,Tamaounza,Agadir-Ida Ou Tanane,Agadir-Ida Ou Tanane,1,Agadir-Ida Ou Tanane,province,Taghazout,0.556,Taounza,0.875,Azilal,82.0475847152127
770,Tamait Oufella,Agadir-Ida Ou Tanane,Agadir-Ida Ou Tanane,1,Agadir-Ida Ou Tanane,province,Ida Ou Guelloul,0.483,Ait Ouallal,0.72,Zagora,82.11968276856526
771,Tamadite,Taounate,Taounate,1,Taounate,province,Tamedit,0.8,Tamedit,0.8,Taounate,82.1917808219178
772,Takyout,El Kelâa des Sraghna,El Kelâa des Sraghna,1,El Kelâa des Sraghna,province,Taouzint,0.667,Takoucht,0.8,Essaouira,82.26387887527036
773,Taienest,Taza,Taza,1,Taza,province,Taïnaste,0.75,Taïnaste,0.75,Taza,82.33597692862293
774,Tahar-Souk,Taounate,Taounate,1,Taounate,province,Thar Es-Souk,0.818,Thar Es-Souk,0.818,Taounate,82.40807498197549
775,Tahar Souk,Taounate,Taounate,1,Taounate,province,Thar Es-Souk,0.818,Thar Es-Souk,0.818,Taounate,82.48017303532805
776,Tabrent,Al Hoceïma,Al Hoceïma,1,Al Hoceïma,province,Targuist,0.533,Tabant,0.769,Azilal,82.55227108868061
777,Tabolkhirte,Tinghir,Tinghir,1,Tinghir,province,Tinghir,0.444,Taourirt,0.632,Taourirt,82.62436914203316
778,Tabarrant,Al Hoceïma,Al Hoceïma,1,Al Hoceïma,province,Chakran,0.5,Tabant,0.8,Azilal,82.69646719538572
779,Tassaltant,Azilal,Azilal,1,Azilal,province,Tabant,0.625,Tasoultante,0.762,Marrakech,82.76856524873828
780,Tassaltant,Al Haouz,Al Haouz,1,Al Haouz,province,Taouyalte,0.526,Tasoultante,0.762,Marrakech,82.84066330209085
781,Tasouite,Tinghir,Tinghir,1,Tinghir,province,Assoul,0.571,Tagounite,0.824,Zagora,82.91276135544341
782,Alhouda Bloc B N° 545,Agadir-Ida Ou Tanane,Agadir-Ida Ou Tanane,1,Agadir-Ida Ou Tanane,province,Ida Ou Kazzou,0.303,El Koudia El Beida,0.474,Taroudant,82.98485940879596
783,Albassatine,Meknès,Meknès,1,Meknès,province,Mrhassiyine,0.545,Al Bahraoyine,0.667,Tanger-Assilah,83.05695746214852
784,Al qods,Taza,Taza,1,Taza,province,Bab Boudir,0.471,Al Oued,0.714,Chefchaouen,83.12905551550108
785,Al qods,Nador,Nador,1,Nador,province,Al Aroui,0.533,Al Oued,0.714,Chefchaouen,83.20115356885364
786,Al masjid,Nador,Nador,1,Nador,province,Al Aroui,0.588,Al Mahbass,0.632,Assa-Zag,83.2732516222062
787,Al Boustane,Meknès,Meknès,1,Meknès,province,Dar Oum Soltane,0.692,Al Ouidane,0.762,Marrakech,83.34534967555877
788,Akdim,Tinghir,Tinghir,1,Tinghir,province,Ouaklim,0.667,Aklim,0.8,Berkane,83.41744772891131
789,Akch hsiya,Tinghir,Tinghir,1,Tinghir,province,Aït Hani,0.444,Lakhsas,0.588,Tiznit,83.48954578226387
790,Aity wassif,Tinghir,Tinghir,1,Tinghir,province,Ait Ouassif,0.818,Ait Ouassif,0.818,Tinghir,83.56164383561644
791,Ait sedrat jbel,Tinghir,Tinghir,1,Tinghir,province,Ait Sedrate Jbel El Oulia,0.75,Ait Sedrate Jbel El Oulia,0.75,Tinghir,83.633741888969
792,Ait s jbel,Tinghir,Tinghir,1,Tinghir,province,Ait Sedrate Jbel El Oulia,0.571,Bni Sidel Jbel,0.667,Nador,83.70583994232156
793,Ait moussa,Zagora,Zagora,1,Zagora,province,Ait Ouallal,0.667,Sidi Moussa,0.762,El Kelâa des Sraghna,83.77793799567412
794,Targha,Chefchaouen,Chefchaouen,1,Chefchaouen,province,Amtar,0.545,Mtarnagha,0.8,Sefrou,83.85003604902667
795,Tmaloust,Ouezzane,Ouezzane,1,Ouezzane,province,Masmouda,0.5,Tamaloukte,0.778,Taroudant,83.92213410237923
796,Tlat louta,Nador,Nador,1,Nador,province,Bni Sidel Louta,0.56,Tazouta,0.706,Sefrou,83.9942321557318
797,Tlat Lamzam,Azilal,Azilal,1,Azilal,province,Ait Blal,0.421,Nzalat Laadam,0.667,Rehamna,84.06633020908436
798,Tizki Akesri Tamraght,Agadir-Ida Ou Tanane,Agadir-Ida Ou Tanane,1,Agadir-Ida Ou Tanane,province,Aqesri,0.37,Sidi Ali Labrahla,0.526,Rehamna,84.13842826243692
799,Tizi Oussli,Taza,Taza,1,Taza,province,Oued Amlil,0.381,Tizi Ouzli,0.857,Driouch,84.21052631578948
800,Tislite,Azilal,Azilal,1,Azilal,province,Tisqi,0.667,Tlite,0.833,Ouarzazate,84.28262436914203
801,Tirset,Azilal,Azilal,1,Azilal,province,Tisqi,0.545,Tisrasse,0.714,Al Haouz,84.35472242249459
802,Tinzerte,Taroudant,Taroudant,1,Taroudant,province,Tinzart,0.8,Tigzmerte,0.824,Tata,84.42682047584715
803,Tikiouine,Marrakech,Marrakech,1,Marrakech,province,Sid Zouine,0.632,Tizounine,0.778,Tata,84.49891852919971
804,Tiguenziouine,Al Haouz,Al Haouz,1,Al Haouz,province,Tighedouine,0.75,Tinzouline,0.783,Zagora,84.57101658255228
805,Tifirte,Azilal,Azilal,1,Azilal,province,Tifni,0.667,Tighirt,0.714,Tiznit,84.64311463590484
806,Tidrara,Al Haouz,Al Haouz,1,Al Haouz,province,Tisrasse,0.533,Tendrara,0.8,Jerada,84.71521268925738
807,Tazourakht,Al Hoceïma,Al Hoceïma,1,Al Hoceïma,province,Arbaa Taourirt,0.5,Taznakht,0.778,Ouarzazate,84.78731074260995
808,Taughmerte,Taroudant,Taroudant,1,Taroudant,province,Toughmart,0.737,Toughmart,0.737,Taroudant,84.85940879596251
809,Tassaltnt,Al Haouz,Al Haouz,1,Al Haouz,province,Taouyalte,0.556,Tasoultante,0.7,Marrakech,84.93150684931507
810,Tassaltant,Marrakech,Marrakech,1,Marrakech,province,Tasoultante,0.762,Tasoultante,0.762,Marrakech,85.00360490266763
811,Zaouia Nezzaghia,Settat,Settat,1,Settat,province,Oulad Sghir,0.519,Zaouia Annahlia,0.774,Chichaoua,85.0757029560202
812,Zagmouzne,Taroudant,Taroudant,1,Taroudant,province,Talgjount,0.556,Zagmouzen,0.889,Al Haouz,85.14780100937274
813,Zaazaa,Larache,Larache,1,Larache,province,Zaaroura,0.571,Azzaba,0.5,Sefrou,85.2198990627253
814,Z.S.A.Kader,Al Hoceïma,Al Hoceïma,1,Al Hoceïma,province,Zouaiat sidi Abdelkader,0.471,Saka,0.533,Guercif,85.29199711607787
815,Z'Rarka,Taounate,Taounate,1,Taounate,province,Zarkat,0.769,Zrarda,0.769,Taza,85.36409516943043
816,Z'Mamra,Taounate,Taounate,1,Taounate,province,Zarkat,0.615,Zemamra,0.857,Sidi Bennour,85.43619322278299
817,Wawirzagh,Azilal,Azilal,1,Azilal,province,Ouaouizaght,0.6,Ouaouizaght,0.6,Azilal,85.50829127613554
818,Urbaine,Chefchaouen,Chefchaouen,1,Chefchaouen,province,Bni Selmane,0.444,Barkine,0.714,Taza,85.5803893294881
819,Trik Alouahda,Taza,Taza,1,Taza,province,Tahla,0.444,Tabouda,0.6,Chefchaouen,85.65248738284066
820,Trifa II,Berkane,Berkane,1,Berkane,province,Saidia,0.286,Tifariti,0.75,Es-Semara,85.72458543619322
821,Tozrigutte,Tinghir,Tinghir,1,Tinghir,province,Outerbat,0.444,Tizguite,0.667,Ifrane,85.79668348954579
822,Touilaa,Tétouan,Tétouan,1,Tétouan,province,Tétouan,0.571,Toulal,0.769,Meknès,85.86878154289835
823,Touibla,Tétouan,Tétouan,1,Tétouan,province,Tétouan,0.571,Toulal,0.769,Meknès,85.9408795962509
824,Touelaa,Tétouan,Tétouan,1,Tétouan,province,Oued Laou,0.625,Toufelaazt,0.824,Chtouka-Aït Baha,86.01297764960346
825,Tnine el ouleja,Taounate,Taounate,1,Taounate,province,Ras El Oued,0.538,Tnine Amellou,0.714,Sidi Ifni,86.08507570295602
826,Tnin Ait Rkha,Tiznit,Tiznit,1,Tiznit,province,Ait Erkha,0.727,Ait Erkha,0.727,Tiznit,86.15717375630858
827,Ait Sdrat Shel Charqia,Ouarzazate,Ouarzazate,1,Ouarzazate,province,Skoura Ahl El Oust,0.4,Ait Sedrate Sahl Charkia,0.87,Tinghir,86.22927180966114
828,ait amer,Tinghir,Tinghir,1,Tinghir,province,Aït Elfarsi,0.632,Aït Kamra,0.824,Al Hoceïma,86.3013698630137
829,ait alouane,Tinghir,Tinghir,1,Tinghir,province,Ait Ouassif,0.636,Zaïtoune,0.737,Tétouan,86.37346791636625
830,ait aliyahya,Tinghir,Tinghir,1,Tinghir,province,Aït Hani,0.6,Ait Yahya,0.857,Midelt,86.44556596971881
831,ait aatab,Azilal,Azilal,1,Azilal,province,Ait Ouaarda,0.7,Ait Taleb,0.778,Rehamna,86.51766402307138
832,ainzora,Nador,Nador,1,Nador,province,Zaïo,0.545,Aïn Zohra,0.875,Driouch,86.58976207642394
833,ain chaib,Taroudant,Taroudant,1,Taroudant,province,Lamhadi,0.5,Ain Chair,0.889,Figuig,86.6618601297765
834,agouti,Tinghir,Tinghir,1,Tinghir,province,Assoul,0.5,Aghouatim,0.8,Al Haouz,86.73395818312906
835,____,Ouarzazate,Ouarzazate,1,Ouarzazate,province,Toundoute,0.0,Zrizer,0.0,Taounate,86.80605623648161
836,Zoualet,Meknès,Meknès,1,Meknès,province,Toulal,0.615,Toualet,0.857,Settat,86.87815428983417
837,Zouagha,Fès,Fès,1,Fès,province,Louadaine,0.5,Ounagha,0.857,Essaouira,86.95025234318673
838,Zerhounia,Meknès,Meknès,1,Meknès,province,Ouislane,0.353,El Hagounia,0.7,Es-Semara,87.0223503965393
839,Zelten,Essaouira,Essaouira,1,Essaouira,province,Tahelouante,0.471,Zerkten,0.769,Al Haouz,87.09444844989186
840,Zeagngan,Nador,Nador,1,Nador,province,Zeghanghane,0.737,Zaggota,0.667,Sidi Kacem,87.16654650324442
841,Zaouite ait Ishaq,Khénifra,Khénifra,1,Khénifra,province,Aït Ishaq,0.692,Aït Ishaq,0.692,Khénifra,87.23864455659697
842,Zaouia S K,Tétouan,Tétouan,1,Tétouan,province,Zaouiat Sidi Kacem,0.714,Zaouiat Sidi Kacem,0.714,Tétouan,87.31074260994953
843,ait bouallal,Tinghir,Tinghir,1,Tinghir,province,Ait Youl,0.7,Ait Ouallal,0.957,Zagora,87.38284066330209
844,Ait mahdi,Tinghir,Tinghir,1,Tinghir,province,Aït Hani,0.706,Ait Mait,0.824,Driouch,87.45493871665465
845,Ait maala,Azilal,Azilal,1,Azilal,province,Ait Blal,0.706,Ait Mzal,0.824,Chtouka-Aït Baha,87.52703677000721
846,Ait kassi ouali,Tinghir,Tinghir,1,Tinghir,province,Ait Ouassif,0.615,Aït Youssef Ou Ali,0.727,Al Hoceïma,87.59913482335978
847,Ait kassi,Tinghir,Tinghir,1,Tinghir,province,Ait Ouassif,0.8,Ait Ouassif,0.8,Tinghir,87.67123287671232
848,Ait hamoyahya,Tinghir,Tinghir,1,Tinghir,province,Aït Hani,0.571,Ait Yahya,0.818,Midelt,87.74333093006489
849,Ait hamou yahya,Boulemane,Boulemane,1,Boulemane,province,Almis Marmoucha,0.533,Ait Yahya,0.75,Midelt,87.81542898341745
850,Ait halli ait Daoud,Khemisset,Khemisset,1,Khemisset,province,Sebt Aït Rahou,0.545,Ait Sidi Daoud,0.727,Marrakech,87.88752703677001
851,Ait hadouch,Tinghir,Tinghir,1,Tinghir,province,Ait Youl,0.632,Ait Hammou,0.762,Rehamna,87.95962509012257
852,Ait gmat,Tinghir,Tinghir,1,Tinghir,province,Aït Hani,0.625,Ait Mait,0.875,Driouch,88.03172314347512
853,Ait boyoussef,Tinghir,Tinghir,1,Tinghir,province,Ait Ouassif,0.75,Ait Haddou Youssef,0.774,Taroudant,88.10382119682768
854,Ait amar ouissa,Tinghir,Tinghir,1,Tinghir,province,Ait Ouassif,0.615,Aït Kamra,0.583,Al Hoceïma,88.17591925018024
855,Ait ali imider,Tinghir,Tinghir,1,Tinghir,province,Imider,0.6,Ait Amira,0.696,Inezgane-Aït Melloul,88.2480173035328
856,Ait aabou,Tinghir,Tinghir,1,Tinghir,province,Ait Youl,0.706,Ait Daoud,0.778,Essaouira,88.32011535688537
857,Ait Tisslit,Béni Mellal,Béni Mellal,1,Béni Mellal,province,Ait Ouqabli,0.545,Tissint,0.667,Tata,88.39221341023793
858,Ait Tislit,Béni Mellal,Béni Mellal,1,Béni Mellal,province,Ait Ouqabli,0.571,Ait Tamlil,0.7,Azilal,88.46431146359048
859,ait tazrine,Tinghir,Tinghir,1,Tinghir,province,Aït Hani,0.632,Ait Zineb,0.8,Ouarzazate,88.53640951694304
860,ait sakri,Tinghir,Tinghir,1,Tinghir,province,Aït Hani,0.706,Ait Said,0.824,Essaouira,88.6085075702956
861,ait ouglif,Tinghir,Tinghir,1,Tinghir,province,Ait Youl,0.778,Ait Youl,0.778,Tinghir,88.68060562364816
862,ait oglif,Tinghir,Tinghir,1,Tinghir,province,Ait Youl,0.706,Aglif,0.714,Essaouira,88.75270367700072
863,ait messoud,Tinghir,Tinghir,1,Tinghir,province,Ait Youl,0.632,Ait Melloul,0.727,Inezgane-Aït Melloul,88.82480173035329
864,ait mahdi,Tinghir,Tinghir,1,Tinghir,province,Aït Hani,0.706,Ait Mait,0.824,Driouch,88.89689978370583
865,ait idit,Tinghir,Tinghir,1,Tinghir,province,Aït Hani,0.625,Ait Said,0.75,Essaouira,88.9689978370584
866,ait iaala,Tinghir,Tinghir,1,Tinghir,province,Aït Elfarsi,0.5,Ait Iaaza,0.889,Taroudant,89.04109589041096
867,ait hmoudene,Tinghir,Tinghir,1,Tinghir,province,Ait Youl,0.6,Ait Mimoune,0.783,Khemisset,89.11319394376352
868,ait hmed,Tinghir,Tinghir,1,Tinghir,province,Aït Hani,0.625,Ait M'Hamed,0.842,Azilal,89.18529199711608
869,ait hdouch,Tinghir,Tinghir,1,Tinghir,province,Ait Youl,0.667,Ait Daoud,0.737,Essaouira,89.25739005046864
870,ait boyoysef,Tinghir,Tinghir,1,Tinghir,province,Ait Ouassif,0.609,Ait Haddou Youssef,0.667,Taroudant,89.32948810382119
871,ait boyousef,Tinghir,Tinghir,1,Tinghir,province,Ait Youl,0.7,Ait Haddou Youssef,0.733,Taroudant,89.40158615717375
872,ait bouyossef,Tinghir,Tinghir,1,Tinghir,province,Ait Ouassif,0.75,Ait Haddou Youssef,0.774,Taroudant,89.47368421052632
873,ait boulmane,Tinghir,Tinghir,1,Tinghir,province,Ait Youl,0.7,Ait Boubidmane,0.846,El Hajeb,89.54578226387888
874,ait boubker,Tinghir,Tinghir,1,Tinghir,province,Ait Youl,0.632,Sidi Boubker,0.783,Oujda-Angad,89.61788031723144
875,bni enssar,Agadir-Ida Ou Tanane,Agadir-Ida Ou Tanane,1,Agadir-Ida Ou Tanane,province,Aziar,0.4,Beni Ansar,0.8,Nador,89.689978370584
876,bizamame,Ouarzazate,Ouarzazate,1,Ouarzazate,province,Ouarzazate,0.444,Bir Tamtam,0.667,Sefrou,89.76207642393655
877,beni bouyafrour,Nador,Nador,1,Nador,province,Bni Bouifrou,0.815,Bni Bouifrou,0.815,Nador,89.83417447728911
878,ben souda,Fès,Fès,1,Fès,province,Ain Bou Ali,0.5,Bni Oual,0.706,Ouezzane,89.90627253064167
879,bab zitouba,Taza,Taza,1,Taza,province,Bab Marzouka,0.696,Bab Tiouka,0.762,Sidi Kacem,89.97837058399423
880,bab merzk,Taza,Taza,1,Taza,province,Bab Marzouka,0.762,Bab Marzouka,0.762,Taza,90.0504686373468
881,"b,s,louta",Nador,Nador,1,Nador,province,Selouane,0.588,Louta,0.714,Al Hoceïma,90.12256669069936
882,arroui,Nador,Nador,1,Nador,province,Al Aroui,0.714,Azrou,0.727,Ifrane,90.1946647440519
883,anonizme,Tinghir,Tinghir,1,Tinghir,province,Alnif,0.462,Tagounite,0.588,Zagora,90.26676279740448
884,amejjaw,Driouch,Driouch,1,Driouch,province,Amejjaou,0.8,Amejjaou,0.8,Driouch,90.33886085075704
885,amdnagh,Tinghir,Tinghir,1,Tinghir,province,Tinghir,0.429,Madagh,0.769,Berkane,90.4109589041096
886,amassine tondout,Tinghir,Tinghir,1,Tinghir,province,Assoul,0.455,Imintanoute,0.593,Chichaoua,90.48305695746215
887,almasjid,Nador,Nador,1,Nador,province,Al Aroui,0.5,Lamssid,0.667,Boujdour,90.5551550108147
888,aitali oyahya,Tinghir,Tinghir,1,Tinghir,province,Aït Hani,0.476,Ait Yahya,0.818,Midelt,90.62725306416726
889,ait ziad,Tinghir,Tinghir,1,Tinghir,province,Aït Hani,0.625,Ait Said,0.75,Essaouira,90.69935111751984
890,ait zelten,Essaouira,Essaouira,1,Essaouira,province,Tahelouante,0.476,Ait El Man,0.7,Boulemane,90.7714491708724
891,bohrou,Tinghir,Tinghir,1,Tinghir,province,Bou Azmou,0.533,Bouhlou,0.769,Taza,90.84354722422496
892,Ait Sdrat Ghrbia,Ouarzazate,Ouarzazate,1,Ouarzazate,province,Ait Oumdis,0.385,Ait Sedrate Sahl El Gharbia,0.744,Tinghir,90.91564527757753
893,Ait Sadrat J oulioa,Tinghir,Tinghir,1,Tinghir,province,Ait Sedrate Jbel El Oulia,0.773,Ait Sedrate Jbel El Oulia,0.773,Tinghir,90.98774333093006
894,Ait Rouadi,Béni Mellal,Béni Mellal,1,Béni Mellal,province,Ait Ouqabli,0.762,Ait Ouadrim,0.857,Chtouka-Aït Baha,91.05984138428262
895,Ait Moussa Fadma,Ouarzazate,Ouarzazate,1,Ouarzazate,province,Ait Oumdis,0.538,Ait Ouaarda,0.741,Azilal,91.13193943763518
896,Ait Moumen,Taza,Taza,1,Taza,province,Bab Marzouka,0.455,Ait Mimoune,0.762,Khemisset,91.20403749098774
897,Ait Iaala,Tinghir,Tinghir,1,Tinghir,province,Aït Elfarsi,0.5,Ait Iaaza,0.889,Taroudant,91.2761355443403
898,Ait Guirt,Azilal,Azilal,1,Azilal,province,Ait Ouaarda,0.6,Ait Ourir,0.778,Marrakech,91.34823359769288
899,Ait Abou,Khemisset,Khemisset,1,Khemisset,province,Ait Ikkou,0.706,Ait Daoud,0.824,Essaouira,91.42033165104542
900,Ainjamaa,Meknès,Meknès,1,Meknès,province,Aïn Orma,0.625,Ain Jemaa,0.824,Sidi Kacem,91.49242970439798
901,Ainchgag,Sefrou,Sefrou,1,Sefrou,province,Ain Timguenai,0.476,Ain Cheggag,0.842,Fès,91.56452775775054
902,AinDoreij,Ouezzane,Ouezzane,1,Ouezzane,province,Ain Dfali,0.556,Adrej,0.714,Boulemane,91.6366258111031
903,Ain Taoujtat,El Hajeb,El Hajeb,1,El Hajeb,province,Ait Boubidmane,0.462,Ain Taoujdate,0.88,Moulay Yacoub,91.70872386445566
