province,temp_moy_an,temp_max,temp_min,precip_totale_an,amplitude_thermique,humidite_moy_an,elevation_m,zone_bioclim,total_cas,statut_vecteur,latitude,longitude
Rehamna,18.627358974358973,19.163205128205128,18.31435897435897,254.99743589743588,0.8488461538461571,60.37564102564102,385.0466666666667,0,17,non_documente,32.39084726666667,-8.0485468
Safi,18.409113712374584,18.69826923076923,18.0975641025641,282.72545150501674,0.6007051282051314,68.98205128205129,160.88695652173914,0,4,non_documente,32.211854521739134,-9.111342565217392
Salé,18.214807692307694,18.32198717948718,18.021217948717947,455.45326923076925,0.3007692307692338,74.54439102564102,130.525,0,2,non_documente,34.035829500000006,-6.69691
Sefrou,16.01080586080586,18.912564102564104,12.126666666666669,659.792271062271,6.785897435897436,58.78376068376068,918.9285714285714,1,839,confirme,33.85250385714286,-4.663104619047619
Settat,18.470010683760684,19.782435897435896,17.508397435897436,327.93451282051285,2.27403846153846,61.61040598290599,414.87,0,320,confirme,32.87128773333333,-7.598133633333333
Sidi Bennour,18.43856684981685,18.583076923076923,18.317628205128205,288.24005494505496,0.2654487179487184,68.95448717948719,174.28214285714284,0,0,non_documente,32.712988357142855,-8.478239035714285
Sidi Ifni,18.40457532051282,18.67051282051282,18.02198717948718,223.55365384615385,0.648525641025639,63.76001602564103,337.2,0,1,non_documente,29.329367333333337,-10.045011
Sidi Kacem,19.03224358974359,19.38948717948718,18.438333333333333,543.9776923076923,0.9511538461538471,63.322161172161174,201.33571428571426,0,1121,indice_indirect,34.27525242857143,-5.628216
Sidi Slimane,18.925924908424907,19.28128205128205,18.580384615384617,514.4778021978022,0.7008974358974349,67.57094017094018,63.98571428571429,0,18,non_documente,34.415450666666665,-5.997908190476191
Skhirate-Témara,17.971423992673994,18.276153846153846,17.308205128205127,428.3763736263736,0.967948717948719,70.18946886446886,215.4,0,0,non_documente,33.78296578571429,-6.8241349285714294
Tan-Tan,19.515420227920227,19.915384615384617,18.918589743589745,93.91,0.9967948717948723,62.86189458689459,166.88888888888889,0,0,non_documente,28.292212555555555,-11.175606
Tanger-Assilah,17.647333333333332,18.014358974358974,17.102564102564102,720.339,0.9117948717948714,73.67435897435898,98.49166666666666,0,8,non_documente,35.616158,-5.822810833333333
Taounate,16.924156888309433,19.433012820512825,12.823076923076924,713.8924641460235,6.609935897435902,61.69106910039113,662.0745762711865,1,1416,confirme,34.62643230508474,-4.627347101694916
Taourirt,17.21798076923077,18.996410256410257,14.973589743589743,297.59836538461536,4.022820512820514,55.06730769230769,716.6625,0,2,indice_indirect,34.316071,-2.83614675
Tarfaya,20.34034188034188,20.468205128205128,20.188846153846157,58.269487179487186,0.2793589743589706,64.07286324786324,38.733333333333334,0,0,non_documente,27.749939333333334,-12.81996
Taroudant,18.78610970996217,21.99544871794872,12.155,307.2420428751576,9.84044871794872,42.806630937368645,943.7786885245902,1,463,non_documente,30.538088147540982,-8.740010540983606
Tata,19.710261538461538,25.14128205128205,15.283076923076925,155.8288923076923,9.858205128205126,32.58117948717949,1077.484,2,4,indice_indirect,29.903712,-8.023498479999999
Taza,16.232829415954413,18.655641025641028,12.089551282051282,579.971858974359,6.566089743589746,58.158315527065525,924.8166666666667,1,1592,confirme,34.17463683333333,-4.071058861111111
Tinghir,15.716650124069478,23.087307692307693,8.439358974358974,206.82305210918113,14.647948717948719,34.24733250620348,1730.664516129032,1,2576,confirme,31.4841664516129,-5.601890806451613
Tiznit,18.290223076923077,19.352371794871797,17.029358974358974,240.73218461538463,2.3230128205128224,53.324179487179485,675.1500000000001,0,18,non_documente,29.529571961538462,-9.560379192307693
Tétouan,16.892217194570136,17.56801282051282,15.931602564102564,728.7384615384616,1.6364102564102563,74.81926847662142,257.8333333333333,0,81,confirme,35.49909127777778,-5.421401333333333
Youssoufia,18.67168690958165,19.329423076923074,18.310384615384617,254.6782995951417,1.0190384615384573,62.09699730094467,330.94210526315794,0,3,non_documente,32.21199552631579,-8.579817684210527
Zagora,22.216562881562883,24.47794871794872,19.84730769230769,68.06179487179487,4.6306410256410295,24.478663003663005,926.5,2,3,confirme,30.437697476190475,-5.758145380952381
