rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
92,Tikiouine,Agadir-Ida Ou Tanane,7,Imsouane,0.588,Tizounine,0.778,Tata,41.635256596114814,
93,Dar kebdani,Nador,7,Arekmane,0.526,Dar El Kebdani,0.88,Driouch,41.83821397506524,
94,imzilne,Tinghir,7,Imider,0.615,Idmine,0.769,Agadir-Ida Ou Tanane,42.04117135401566,
95,Bab Wandar,Taounate,7,Jbabra,0.5,Bab Taza,0.667,Chefchaouen,42.244128732966075,
96,Somaa,Béni Mellal,7,Oulad Gnaou,0.375,Smara,0.8,Es-Semara,42.4470861119165,
97,Sebbab,Taza,7,Smià,0.4,Assebbab,0.857,Guercif,42.65004349086692,
98,S Y B Z,Taounate,7,Sidi Yahya Bni Zeroual,0.483,Sidi Yahya Bni Zeroual,0.483,Taounate,42.853000869817336,
99,tabrkhachte,Tinghir,7,Souk Lakhmis Dades,0.345,Tamchachate,0.727,El Hajeb,43.05595824876776,
100,Beni sadden,Sefrou,7,Aït Seghrouchen,0.154,Bni Said,0.737,Tétouan,43.25891562771818,
101,lbrouj,Settat,7,Lahouaza,0.429,El Borouj,0.8,Khouribga,43.4618730066686,
102,Tizentest,Taroudant,6,Tizi N'Test,0.8,Tizi N'Test,0.8,Taroudant,43.63583647434039,
103,Municipalité,Tétouan,6,Mallalienne,0.435,Mzilate,0.526,Chichaoua,43.80979994201218,
104,amajaw,Driouch,6,Amejjaou,0.571,Majjat,0.667,Chichaoua,43.98376340968397,
105,slilou,Tinghir,6,Assoul,0.5,Smimou,0.667,Essaouira,44.157726877355756,
106,"A,chefk",Al Haouz,6,Ahl Tifnoute,0.316,Tancherfi,0.625,Jerada,44.331690345027546,
107,Bin jradi,Taza,6,Bab Boudir,0.421,Bir Jdid,0.706,Nouaceur,44.505653812699336,
108,Ras Alma,Moulay Yacoub,6,Moulay Abdelkrim,0.417,Ras El Ma,0.824,Berkane,44.67961728037112,
109,Sk,Sidi Kacem,6,Sidi Kacem,0.333,Saka,0.667,Guercif,44.85358074804291,
110,B.Bouayach,Al Hoceïma,6,Bni Bouayach,0.818,Bni Bouayach,0.818,Al Hoceïma,45.0275442157147,
111,B.Mellal,Béni Mellal,6,Beni Mellal,0.737,Beni Mellal,0.737,Béni Mellal,45.20150768338649,
112,Ghorm El Alem,Béni Mellal,6,Foum El Anceur,0.593,Laghoualem,0.609,Benslimane,45.37547115105828,
113,O Akalay,Agadir-Ida Ou Tanane,6,Adaghas,0.4,Saadla,0.571,Safi,45.54943461873007,
114,Boutaghrar,Fquih Ben Salah,6,Tachraft,0.556,Boughriba,0.737,Berkane,45.72339808640186,
115,"Bouzemlane,c",Taza,6,Bouyablane,0.636,Boulemane,0.762,Boulemane,45.89736155407365,
116,B.bouayach,Al Hoceïma,6,Bni Bouayach,0.818,Bni Bouayach,0.818,Al Hoceïma,46.07132502174543,
117,Ait Idir,Ouarzazate,6,Ait Oumdis,0.667,Ait Said,0.75,Essaouira,46.24528848941722,
118,"S,Redoune",Ouezzane,6,Sidi Redouane,0.727,Sidi Redouane,0.727,Ouezzane,46.41925195708901,
119,Bouazayer,Azilal,6,Taounza,0.5,Ouazzane,0.706,Ouezzane,46.5932154247608,
120,A S Jbel sofla,Tinghir,6,Ait Sedrate Jbel El Soufla,0.7,Ait Sedrate Jbel El Soufla,0.7,Tinghir,46.76717889243259,
121,M.B.Mellal,Béni Mellal,6,Beni Mellal,0.667,Beni Mellal,0.667,Béni Mellal,46.94114236010438,
122,Al wahda,Taza,6,Outat El Haj,0.4,Lahdar,0.714,Youssoufia,47.11510582777617,
123,Ajdir,Taza,6,Bab Boudir,0.533,Ajdir 2,0.833,Al Hoceïma,47.28906929544796,
124,"s,redouane",Ouezzane,6,Sidi Redouane,0.783,Sidi Redouane,0.783,Ouezzane,47.46303276311974,
125,Ghar Nhal,Béni Mellal,6,Had Bradia,0.421,Hjar Ennhal,0.8,Tanger-Assilah,47.63699623079153,
126,Ait Tazarin,Tinghir,5,Aït Elfarsi,0.636,Tazarine,0.737,Taza,47.78196578718469,
127,Bssabssa,Taounate,5,Messassa,0.75,Messassa,0.75,Taounate,47.926935343577846,
128,Oulad Harti,Larache,5,Oulad Ouchih,0.696,Oulad Chrif,0.818,Taza,48.071904899971,
129,Menara,Chichaoua,5,Majjat,0.5,Mnasra,0.833,Kénitra,48.21687445636417,
130,Dhar,Essaouira,5,Had Dra,0.545,Adar,0.75,Tata,48.361844012757324,
131,Al ouhda,Taza,5,El Gouzate,0.556,Al Oued,0.8,Chefchaouen,48.50681356915048,
132,A.Medouna,Taounate,5,Ain Mediouna,0.762,Médiouna,0.824,Nouaceur,48.65178312554364,
133,A.Y.Ouali,Al Hoceïma,5,Rouadi,0.533,Oualili,0.625,Meknès,48.796752681936795,
134,Kabdani,Driouch,5,Dar El Kebdani,0.571,Tabant,0.615,Azilal,48.94172223832995,
135,ait brahim,Tinghir,5,Aït Hani,0.667,Ait Baha,0.778,Chtouka-Aït Baha,49.08669179472311,
